q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12
-1.6622,1.0997,-0.3475,-1.0661,-1.9274,-2.0504,0.4186,0.1817,0.0862,-0.6851,-0.91,-0.2573
0.5202,-0.1402,1.3221,0.9432,0.7507,-1.5022,0.3038,-1.4978,0.3788,0.2929,-0.8655,0.782
1.0841,-0.3392,-0.9213,-1.8134,0.546,2.0393,0.5247,1.4774,-0.1658,0.1671,0.3242,-0.498
0.6697,-0.1027,0.4553,0.313,0.4102,-0.5632,1.264,-1.2928,0.2512,-1.1924,-1.2735,-0.3737
1.4326,-0.352,-0.2268,2.9408,1.5863,-0.4159,0.3203,-1.7071,-0.4552,-1.0864,-0.0576,0.3317
-4.6496,1.8846,-1.1875,-8.3419,-5.2992,-1.2578,0.699,4.1868,0.9744,1.6446,-0.5879,-2.7514
-1.0272,-0.2649,-0.088,-3.7319,-0.6331,-0.6472,1.2683,1.5937,0.6567,1.0105,-1.0367,-0.6365
2.1948,-0.3948,-0.6737,-1.813,1.7816,1.4524,-2.226,2.076,0.3852,3.1076,2.0171,0.1283
-1.1473,0.299,-1.6569,-5.0593,-1.7511,0.685,-2.1375,3.8344,1.1954,2.6417,1.6342,-1.1072
1.6557,-0.3366,0.4885,1.509,1.645,0.6804,0.3959,-0.767,0.0671,0.1686,-0.0941,0.3635
0.3055,0.83,2.1707,5.513,1.1222,-4.0783,-1.2409,-3.3554,0.341,-1.954,-1.0273,2.1512
-1.8394,1.1086,-0.7145,-0.8636,-2.2023,-1.5193,-0.2556,1.4844,0.1883,-0.7627,-0.1134,-0.2717
-1.374,1.0515,0.239,-0.8084,-2.3511,-1.0785,1.266,0.3198,0.2091,-1.4354,-1.4917,-1.1537
0.7573,-1.0043,0.2967,-2.953,1.98,-0.3714,-2.242,1.6524,0.8018,2.4565,0.5297,0.045
1.2269,-0.2455,2.5695,3.9324,2.2671,-4.3536,1.9384,-3.6653,0.4992,-1.972,-2.6098,0.4789
1.0843,-0.6086,-1.8197,-1.7804,0.17,4.3801,1.9417,0.9059,-0.6772,-0.0383,0.845,-0.7627
0.8372,-0.6493,-0.9257,3.4711,0.7924,0.8523,1.3683,-2.0395,-0.7777,-1.9883,1.2369,0.0371
-0.7793,0.2199,-0.807,-1.9387,-0.9978,0.0403,-4.1117,3.3081,0.0682,2.589,3.567,1.0433
1.196,-1.2473,0.3713,0.572,1.3384,0.8068,-0.983,-0.0447,0.183,0.3334,0.6205,0.6375
0.2681,-0.9677,0.8539,-3.4865,1.5083,-0.6285,-2.9507,3.2785,1.3284,4.3189,0.7322,0.184
-0.4816,0.3039,-0.0986,2.6864,-1.1957,-0.6953,1.3683,-1.4968,-0.3373,-2.5509,-0.5496,-0.2627
-0.2953,0.5263,1.1438,1.0601,0.4209,-1.6102,2.0724,-2.0483,0.377,-1.4513,-2.5708,-1.1777
0.0133,0.0781,1.1614,3.3666,1.8879,-2.0763,-0.7704,-1.4746,0.4802,-0.4824,-1.4071,1.1927
-0.094,0.6931,1.4269,-2.1456,-0.6723,-0.5743,3.1947,-0.8268,0.2144,-0.7359,-3.6339,-1.5362
2.6637,-0.9685,-0.6227,-0.112,2.9064,2.4285,-1.2719,0.6274,-0.1762,2.2012,1.3683,0.796
2.0404,-1.0048,0.2242,1.0201,2.1721,0.5946,-0.1175,-0.5454,-0.2954,0.2416,-0.6704,0.9991
1.5278,-0.7525,-0.2784,2.2173,2.5251,2.0719,-1.4763,0.7995,-0.3898,0.6911,2.1107,1.0022
2.6467,-1.2152,0.3989,-2.1124,3.2267,2.3794,0.6539,-0.3896,0.5344,1.8969,-0.3971,0.1245
3.8537,-1.1938,-0.7228,1.0859,4.1613,2.708,-1.3146,-0.0118,-0.5115,1.2495,1.8192,1.6662
0.1309,-0.3377,0.4955,1.2836,0.59,-0.8707,0.2696,-0.2147,0.1436,0.2385,-0.2279,0.4794
5.639,-2.1914,0.29,5.68,5.5397,2.8874,1.053,-3.0478,-1.3304,-0.5606,-0.0308,1.5413
-1.3067,0.625,-1.2023,-2.7082,-2.1112,1.2711,1.3642,1.3264,-0.8545,-0.0806,-0.8148,-1.2213
-2.4265,0.4771,-0.0641,-1.5444,-2.1126,-0.1846,-2.0556,2.0243,0.4487,1.1379,1.2844,0.1324
2.5558,-0.9354,0.0121,-1.1322,1.6541,1.6001,2.4673,-0.7445,-0.0298,0.4627,-1.6985,-0.6671
3.0456,-1.282,1.5706,2.2776,3.2865,0.1226,0.3991,-1.5835,0.3443,0.9835,-0.78,0.7466
-2.1,1.1956,0.4507,-3.27,-2.0601,-2.3878,-1.3871,1.65,0.1385,1.0478,-0.1134,-0.4212
0.7847,-0.1946,-1.1843,2.8331,2.2399,1.2193,0.3061,-0.8216,-0.7102,-0.7587,1.0569,0.9329
3.31,-1.1151,-0.6307,-3.7073,3.5319,0.9726,-1.5755,2.7142,1.4184,4.7243,1.0038,0.7784
-3.482,0.9097,-2.1824,-3.1423,-3.7907,0.6869,-3.0545,3.3734,-0.0917,1.5589,3.4094,-0.5357
-0.3921,-0.3343,-1.2967,0.5485,0.0145,2.0352,-0.2431,-0.8706,-0.2778,-0.5381,1.3604,0.3541
1.3232,-0.6009,-0.6106,-1.3972,1.2813,1.4233,-0.0812,1.0133,0.4338,1.2767,-0.0697,-0.404
-1.2114,0.3955,1.9598,1.8817,-1.3008,-3.6076,2.7605,-2.8305,0.0508,-3.0795,-2.8833,-0.3471
0.981,-0.5525,0.0589,-0.2664,0.3139,1.3455,3.0759,-1.4416,0.1896,-1.4755,-1.9403,-0.8801
0.3278,0.2703,1.5194,2.9231,1.0277,-1.8525,2.759,-3.8846,-0.8376,-2.928,-2.0024,0.6219
-1.062,1.2417,0.7702,-1.5799,-1.3345,-2.656,-2.0499,1.6707,0.8345,0.8682,-0.2063,-0.1028
2.2034,-0.6781,0.7248,0.3774,1.2995,0.3721,2.2675,-0.7362,-0.2049,-0.5386,-1.194,0.2791
-1.0005,-0.3468,-1.7021,-3.0843,-1.3689,1.9804,-2.4971,3.4486,-0.1189,2.2496,2.7905,0.0885
-1.5682,0.5568,-0.0369,-1.2504,-1.8317,-0.7822,0.9471,0.4935,-0.0363,-0.5679,-1.1411,-0.969
0.6159,-0.6188,1.3763,1.3372,1.5813,-1.4574,1.8812,-2.3652,0.4759,-1.3408,-2.4882,0.281
-0.0958,0.3195,0.0996,0.2679,0.8285,-1.0294,-1.5175,1.2889,-0.5249,2.1284,0.4142,1.6556
1.1128,-1.5587,-0.7652,-2.4925,1.0314,1.137,-0.1576,1.1012,0.6286,2.8214,-0.2726,-0.5328
-0.5566,-0.1304,-0.8963,-6.2079,-1.0502,0.9955,-2.1128,4.3366,0.6324,3.3989,1.2152,-0.6162
-0.523,0.679,0.9938,2.3402,0.6641,-2.0649,-1.0118,-1.5421,0.524,-0.3375,-0.309,0.9495
2.3178,-0.4476,-0.1755,3.5972,0.7586,2.3297,2.0556,-2.7482,-0.9902,-1.4704,-0.6774,-0.153
-1.8309,0.1937,0.4924,-0.6074,-2.1398,-2.3568,-0.2526,-0.3798,0.7084,-0.4841,-0.8048,-0.3158
4.1954,-1.3339,0.9218,6.3058,4.5682,1.7689,2.4387,-3.8837,-0.8159,-2.0181,-0.1143,0.7103
-6.6397,3.3186,-0.4288,-4.6154,-6.3438,-2.6899,-0.7723,3.3649,0.2658,-0.2936,-0.7399,-1.5019
0.0013,0.5597,1.9106,1.585,-0.3462,-1.7371,3.9508,-2.7085,0.4403,-3.3895,-3.8718,-0.69
-5.7582,2.1965,0.6684,-3.3624,-5.2051,-4.9648,1.3795,1.1072,0.9313,-1.1827,-2.7078,-1.542
-1.2427,0.3822,-0.534,-1.3043,-1.5882,0.5025,-0.283,0.8582,0.2023,-0.3887,0.2405,-0.0622
-0.9442,0.7348,0.697,0.7506,-0.9091,-0.2808,3.9341,-3.0702,-0.1027,-3.1374,-3.109,-1.5344
1.3588,-0.7962,-0.2105,7.5514,1.2005,1.2245,3.3252,-5.3798,-1.3125,-5.3919,-1.658,0.8769
0.0303,-0.7965,-1.9312,-3.4581,0.7555,3.2792,1.4924,1.261,-0.5553,1.0726,0.1313,-0.8575
-0.3014,0.3159,1.3463,0.1252,-0.4141,-1.6178,0.4714,-0.9364,0.4303,-0.7362,-1.313,0.4823
2.5803,-0.2927,1.3656,7.8513,2.7063,0.6046,0.9254,-3.715,-1.8668,-3.4231,0.3348,2.3673
-0.5003,0.2913,-0.411,-1.8867,-1.1044,0.1958,1.9979,-0.0038,0.1863,-0.26,-1.7309,-0.6564
1.5071,-0.467,-1.1622,-0.3235,1.6508,3.3064,-2.0804,2.0016,-0.1124,2.2443,2.5807,1.2791
-2.4851,1.3113,-0.6082,-1.4259,-2.8339,-0.6746,-2.5052,1.7745,-0.1968,0.59,1.5001,-0.4513
0.8676,0.0368,-1.0981,0.8106,0.7098,2.8041,-2.0716,0.8377,-0.3748,0.562,2.1175,0.9964
-2.2309,0.997,-0.674,-1.1788,-2.9331,0.189,0.2901,0.9485,-0.3534,-0.2718,-0.273,-1.5561
-0.0461,-0.0261,-0.6492,2.0923,0.3157,0.5976,-0.1885,-0.2317,-0.1871,-1.1992,0.5018,0.5555
1.2255,-0.4359,2.0854,4.4377,2.8229,-3.048,2.4026,-4.4889,0.2566,-2.5502,-2.6075,0.9113
-1.9316,-0.0326,-0.3827,-5.6159,-1.3277,-1.3021,-3.3404,3.6499,0.6599,3.5126,1.4638,0.1322
-1.5729,1.15,0.156,2.0366,-1.1021,-1.823,0.0346,-0.5887,-0.0077,-1.88,-0.0328,0.5173
-1.3085,0.6894,0.3115,1.4891,-2.3358,-1.2074,2.5183,-1.9661,-0.0511,-3.246,-1.9986,-1.1265
-2.8906,1.3449,0.4077,0.121,-3.1088,-1.8074,1.1836,-0.0053,0.0332,-1.7389,-0.4258,-0.6345
1.2214,0.0005,-0.2466,0.9206,0.0827,2.2096,4.3908,-2.6866,-1.4003,-2.9224,-1.4983,-1.6902
-2.5056,1.3324,0.6447,1.8027,-2.7118,-1.3683,2.9712,-2.277,-0.9786,-4.12,-2.1238,-1.1008
1.2813,-0.3005,0.7764,2.292,1.7627,0.7069,2.913,-2.7454,-0.2504,-1.6876,-2.2476,-0.4606
-2.0817,0.4661,-1.7664,-4.6406,-1.9695,-0.5062,-3.1439,3.0013,0.2978,2.6572,2.0141,-0.3042
1.7516,-0.8638,-0.594,-3.4442,1.8773,2.8503,0.4683,0.9937,0.3663,1.9375,-0.2179,-0.6199
0.0519,0.031,-0.481,-0.7607,-1.2346,1.2554,-0.5024,1.4568,0.3374,0.6986,1.232,0.1418
4.0349,-2.0094,-0.9599,0.8039,3.3593,3.3761,-1.0177,0.9105,0.2466,2.4403,2.6293,0.838
4.5976,-2.2513,-1.1042,2.3537,4.6298,4.4248,-0.8458,0.0725,-0.1996,1.5625,2.2579,0.5289
-0.7232,0.5138,-0.6932,4.5259,-1.3748,0.3297,-0.0699,-1.9813,-1.1472,-2.9127,0.8556,0.0993
1.0499,-1.1107,-1.0675,-2.3107,1.012,2.6533,-1.1406,1.081,-0.1048,2.5665,1.6224,-0.0224
-1.5393,0.4302,0.769,1.1883,-0.3691,-1.8193,-0.7467,-0.585,0.2814,-0.5925,-0.0691,1.1151
-1.2699,0.0534,-0.5958,-0.553,-1.8545,1.1554,1.8177,-0.2818,-0.4951,-1.3664,-0.2392,-1.4806
2.0119,-0.6842,1.1917,1.4234,1.8962,0.6852,0.8305,-1.1222,0.3385,-0.541,-0.5548,0.5132
-1.0426,1.3005,0.4898,2.4595,-1.249,-1.2748,0.0823,-1.2671,-0.6333,-1.9801,-0.4415,0.1547
2.5007,-1.0545,-0.7549,-1.7422,2.2366,2.407,-1.2407,1.0387,0.0577,2.9655,1.1265,0.5512
-1.3376,0.3091,-0.889,-1.401,-1.1558,-1.2239,-1.4891,1.0245,1.0515,0.9701,0.2736,0.1782
-0.6466,0.5609,0.7089,1.3488,-1.1154,-1.0621,-0.3342,-1.2618,-0.1218,-0.5269,0.3154,0.4077
2.1267,-0.4773,0.9908,-3.2743,2.343,-1.0019,-3.8521,3.1901,1.6711,4.203,1.2758,0.6009
-1.0681,-0.2132,0.3043,-3.2435,-1.4341,0.2662,-0.0048,1.7189,-0.0298,0.978,-0.2503,-0.7174
2.996,-0.7416,1.0552,2.887,2.3475,0.634,1.92,-2.6211,0.2089,-0.3161,-1.6783,0.3625
-2.2565,1.1277,1.6666,-0.3385,-2.0261,-4.1789,1.2527,-0.7383,0.6409,-1.4561,-2.3828,-0.6907
-0.1322,-0.1535,0.7444,2.1835,0.3015,-0.3809,-1.1487,-0.8209,0.1141,0.0724,0.307,1.0883
0.9744,0.6277,0.783,3.1937,1.0063,-1.4092,2.799,-3.1141,-0.1557,-3.2845,-3.0785,-0.5522
-0.2515,-0.1533,0.0918,0.6998,-0.3338,1.1243,1.7545,-0.9716,-0.406,-1.654,-0.5217,-0.3799
4.1908,-1.8771,-0.8487,1.5841,3.3993,4.032,4.4193,-2.7879,-0.6036,-2.1641,-2.1946,-0.9756
-1.6633,0.3343,0.7484,-1.9274,-1.58,-1.0487,-1.3429,1.8539,0.4229,0.6695,-0.4331,0.0039
-0.8953,0.0481,-0.299,-2.219,-1.1061,0.347,-0.0865,0.9692,-0.066,0.6381,0.1247,-0.6618
3.6347,-1.5599,0.0854,3.042,3.096,2.6692,1.8871,-1.4027,-0.661,-0.5731,0.3316,0.2546
3.4082,-1.1126,-0.5879,7.6882,3.8511,1.8095,-1.5085,-3.5351,-1.8699,-1.3589,2.0884,3.181
1.0376,-0.9319,-1.7461,-0.0452,0.4085,4.0513,0.4417,0.9147,-0.4559,0.019,1.8472,-0.411
-0.6734,-0.1528,-0.7385,-2.2001,-0.8041,1.7765,-0.6903,1.6278,-0.3068,1.4308,1.6553,-0.3357
2.1877,-0.8888,-1.1356,0.8931,2.4261,2.3201,-3.322,0.5713,0.3437,1.9097,3.1101,1.007
-2.6052,0.4422,-0.9773,-3.4338,-3.1415,0.2269,-1.8662,3.0571,0.5158,1.5624,2.101,-0.7319
-3.9462,1.0835,-0.2961,-5.9705,-4.6406,-0.549,0.5657,2.8052,0.8879,0.2541,-1.0007,-1.4049
1.2208,-0.674,0.8269,-0.4098,1.2205,-0.5484,-3.7029,1.9964,0.5065,2.7974,2.2801,0.8988
-2.8871,0.399,0.1999,-4.1356,-2.9455,-2.5673,-0.1666,2.1922,1.294,1.7485,-0.8547,-1.4169
-0.9321,0.2497,0.1522,1.3323,-0.843,-0.8164,0.4335,-1.2415,-0.4255,-2.2686,-0.0834,0.1624
-1.1326,0.1316,-2.0417,0.2733,-1.2019,1.7715,-2.6859,2.3573,-0.0255,1.4682,3.7459,1.5807
1.1869,-0.1843,2.4778,1.7263,2.7094,-4.544,-1.2311,-1.5779,1.3496,0.6824,-1.465,1.6475
-1.7294,0.6746,-1.4601,-4.3709,-2.0422,0.1043,-1.2934,3.8569,0.222,2.3223,1.0426,-0.6388
-1.795,0.7403,0.3374,-1.8837,-2.7274,-0.7769,-0.4191,1.3294,0.5787,0.7034,-0.6779,0.2651
-0.839,0.2055,0.2888,-1.1683,-1.51,-0.1101,0.926,0.357,0.3089,0.3883,-0.2227,-0.6734
-3.9722,1.6267,-1.8997,-2.4585,-5.1741,-0.5088,-2.3717,2.8836,0.3932,0.5062,2.5765,-0.4798
0.8502,-0.1757,1.6161,1.0157,1.3594,-2.4195,0.7083,-1.9263,-0.2236,-0.6344,-2.0173,-0.5893
2.5616,-1.632,-1.5699,-2.6388,1.8006,4.3984,0.359,1.4306,-0.112,2.3528,0.8541,-0.1931
-1.8417,0.4218,-0.6523,-4.8514,-1.9684,1.2197,-0.7537,3.5893,0.4482,1.8407,0.8625,-0.8103
-0.5455,-0.2316,-0.0778,3.2199,-1.2339,0.4379,-1.952,-0.3372,-1.3228,-1.5138,2.5902,0.9851
-2.0537,0.9499,0.5395,-1.0298,-2.0584,-1.4313,2.3653,-1.1693,0.0552,-2.1781,-2.088,-1.1202
-2.4436,1.508,0.46,-1.4212,-2.556,-2.3538,-0.0838,0.3909,0.0144,-0.3282,0.3284,0.2207
-1.3309,0.7635,1.4605,4.443,-0.8661,-2.9731,2.6313,-2.8743,-0.5431,-2.5386,-3.3041,-0.066
1.6032,-1.2173,-0.3524,1.945,1.4771,1.1909,-1.6153,-0.1478,-1.1064,0.4457,1.7849,1.5025
-1.7555,0.1542,-1.7099,-1.764,-2.6174,2.0014,0.0101,1.143,-0.4584,-0.4453,0.8696,-1.0767
3.3172,-1.8155,0.3389,-0.2976,3.4174,1.1433,-0.276,-1.4724,0.134,2.1421,-0.0352,0.8815
-2.1384,1.382,-0.153,-1.8899,-1.2508,-2.1657,-2.9534,2.72,0.8506,0.8549,1.772,0.119
2.5449,-0.6518,1.4149,2.2983,3.7332,0.1813,0.1665,-1.957,0.4732,0.0371,-1.4588,0.5312
-1.4768,0.7851,-0.5619,0.3668,-2.3008,0.4234,3.7334,-1.6572,-0.9169,-3.7322,-1.6681,-1.1911
-0.3549,0.541,0.7386,1.4519,0.4426,-0.9198,0.6055,-1.2268,0.156,-1.3808,-2.4638,-1.5108
-1.54,1.0845,2.1844,4.7644,-0.3222,-4.5332,1.7236,-4.0285,-0.2398,-3.9175,-2.2571,0.1083
1.5864,-0.6849,0.1297,1.1911,1.7851,-0.8347,-3.7632,1.2878,0.3734,2.0368,2.633,1.525
-0.2736,0.0493,-1.6297,-2.2799,-0.8101,1.0259,-1.2067,1.9536,-0.1636,1.7835,1.5231,-0.4919
0.0915,-0.0572,0.4214,0.4117,-0.052,0.1314,0.1737,-0.2318,-0.128,-1.2004,-0.0068,0.2009
4.2462,-1.9784,0.9083,3.0257,4.892,1.7544,1.9074,-3.1905,-0.6773,-0.6025,-1.5362,0.9256
-1.9626,0.8394,0.5031,-0.5561,-1.9453,-2.5579,-0.6364,0.6826,0.7324,0.1366,-0.2101,-0.5023
0.2503,0.2205,-0.3926,1.9491,-1.1525,2.0046,5.7771,-1.7712,-0.709,-4.2307,-2.363,-1.906
1.6933,-0.7446,-0.7812,0.8549,1.8927,1.9588,-3.5602,1.0177,-0.2984,2.4962,3.1935,1.4675
0.5589,-0.5369,-1.557,-3.662,0.4887,1.5357,-2.6268,3.4213,0.457,3.4802,2.9084,-0.4863
2.9122,-0.9803,0.3543,3.9394,2.6694,1.9721,-0.8814,-1.3145,-1.1449,0.2069,1.9035,1.7746
1.0893,-0.9691,-0.8002,4.5768,2.1333,1.0557,-0.2967,-2.4474,-0.5076,-1.7974,1.4777,1.2308
-0.7871,0.4356,-1.3733,-2.7254,-2.5447,1.9299,2.4247,0.505,-0.1941,-1.2524,-1.4183,-1.8469
-0.2384,0.0072,0.024,1.902,-0.0013,-0.3267,-0.4775,-1.2874,-0.1757,-0.5013,0.2945,0.1616
1.5799,-0.7674,0.4444,1.2333,2.0214,1.0513,-1.0538,-1.4478,0.1708,0.4908,0.7282,0.8964
-0.0354,0.2566,0.9749,1.6018,0.5282,-2.269,-2.4963,-0.1462,0.4068,-0.0772,0.8838,1.3629
1.7249,-0.9128,0.7508,1.6882,1.2443,2.0056,2.623,-2.8573,-0.1133,-2.3413,-1.3866,-0.8787
-0.7432,0.8218,1.1881,1.1449,-1.0776,-2.0982,-2.3127,0.0383,0.5766,0.277,0.2457,0.7151
-4.1369,1.1057,0.5895,-6.1132,-3.9303,-3.4588,-0.9337,1.902,1.259,1.2442,-0.5127,-1.6735
-5.0054,2.191,-2.0648,-6.0908,-6.0829,-0.7603,-0.0446,3.409,0.3362,-0.1367,0.058,-2.341
-0.2077,0.3467,0.8137,0.0501,0.5524,-1.2382,-0.5114,0.1397,1.0353,0.4932,-0.6419,0.2143
-0.4288,0.6807,-0.5069,-0.483,-0.7439,0.5012,-0.268,1.526,0.3882,0.5828,0.1806,-0.6349
3.1832,-1.2429,-0.8157,1.5503,2.5121,3.7344,0.3712,-0.1745,-0.554,0.7974,1.9151,0.4106
1.5656,-0.9964,-1.7261,1.0198,0.9433,3.7705,4.1225,-1.5318,-0.8017,-1.8846,-0.0968,-0.8808
-2.4225,1.2788,-0.109,-1.9044,-2.8975,-0.4811,-2.2494,2.1517,-0.0755,0.7537,2.514,0.1773
3.8552,-1.3744,-0.0409,2.5656,3.9433,2.0488,0.1381,-0.3398,-0.1423,0.7362,1.5901,0.6739
2.6376,-1.4753,-1.5446,0.2718,2.4586,4.4063,-0.561,0.4173,-0.2432,1.7305,2.7286,0.6618
4.7683,-2.5272,-1.9685,0.3955,4.1382,5.9493,-1.0987,0.77,-0.5153,2.367,2.9051,0.9073
-3.2564,1.5402,0.0162,-3.4596,-3.8272,-1.2433,1.8575,0.9466,0.5977,-1.1456,-1.5299,-1.2777
0.0185,-0.0737,0.6973,2.1922,0.5094,-1.7833,0.5881,-1.5908,0.1147,-1.2464,-1.5538,0.2854
-2.3957,0.7013,-1.2563,0.9257,-2.9799,0.8894,-0.7228,0.0703,-0.9891,-1.6209,2.4723,0.1255
0.263,-0.0195,1.6147,3.9657,1.5101,-2.8568,1.5715,-2.3022,0.5528,-1.6152,-2.2189,0.8095
-1.5538,-0.0251,0.2995,-2.8811,-2.1386,-0.7255,1.3734,0.4963,0.2553,0.2851,-1.954,-0.6843
-3.4619,1.8403,-0.7256,-4.0313,-3.6678,-1.149,-1.9125,3.5992,0.1521,1.686,1.7013,-0.1775
0.1864,0.2803,-0.3662,0.3914,-0.355,0.6802,1.0714,-0.5057,-0.5431,-1.0888,-0.644,-0.703
-0.4111,0.2283,-1.5959,-2.5828,-0.934,2.2147,-4.0619,3.3244,0.1179,2.2042,2.9821,1.0319
-3.1187,1.4816,-0.8663,-4.3429,-4.2711,0.7322,1.0597,2.351,0.1542,0.0036,-0.0477,-1.9645
2.0238,-1.32,-1.1205,1.096,1.9839,2.2691,-3.7201,1.2086,-0.028,2.5213,3.5466,1.4877
-0.96,0.1649,0.6866,-1.0927,-0.9376,-2.0797,0.3266,0.5231,0.3089,-0.2705,-0.4286,-0.1893
-0.3059,-0.7181,-0.9908,-2.4529,0.5056,0.9117,1.0036,1.1531,0.2881,1.2534,-0.208,-0.9727
-0.926,0.5223,0.3045,-1.4803,-0.5115,-2.4756,0.8235,-0.4384,0.4562,-0.4098,-1.6927,-0.7828
0.0579,0.2854,-0.6496,-1.4711,-0.0402,1.0621,0.4892,0.5513,0.3543,0.0352,0.2968,-0.5805
4.5502,-2.3722,-0.6644,3.6346,4.1638,4.9816,1.6293,-2.6937,-1.0913,0.0329,0.8625,0.1387
-1.8581,0.4637,0.6967,-7.47,-1.7309,-2.4381,-2.3084,3.7764,0.7619,3.9067,-0.4899,-0.5783
-0.8826,0.0264,0.1846,-1.6642,-0.5428,-1.752,-0.2584,0.7343,0.5933,0.6984,-0.1788,-0.2529
1.8297,-0.6765,-1.4734,-1.4434,1.3722,3.9487,-0.2647,1.6987,-0.7015,1.7154,1.4439,-0.2385
-1.7199,1.4136,1.7587,0.5438,-1.4575,-3.4853,1.7842,-1.5876,0.4846,-1.5555,-3.4473,-1.1392
