x,y,true_group
0.4358,0.8864,0
0.9783,0.4515,0
1.4854,-0.2892,1
0.8304,0.5803,0
0.1292,-0.1213,1
-0.3873,0.8892,0
0.0664,1.0879,0
-0.1633,0.8443,0
-0.8483,0.5289,0
2.0011,0.3698,1
1.9642,0.171,1
1.5995,-0.34,1
0.7512,0.5146,0
0.987,0.2862,0
0.7308,-0.5092,1
0.3166,1.0128,0
0.1643,-0.1761,1
1.9641,0.3081,1
0.3182,0.8457,0
0.9922,0.2274,0
1.8187,0.0771,1
0.1064,0.32,1
1.9402,0.3482,1
2.0303,0.3793,1
0.0567,-0.0979,1
-0.6894,0.4809,0
-0.0731,1.1403,0
-0.8056,0.6215,0
0.1674,0.8596,0
-1.0195,0.2227,0
1.9787,0.4208,1
-0.276,1.0226,0
0.2552,-0.3256,1
-1.0323,0.2385,0
0.0221,0.502,1
1.9853,0.128,1
-0.0891,0.999,0
-0.7466,0.7507,0
-0.8299,0.5981,0
-0.6575,0.6697,0
0.9201,0.2221,0
0.5982,-0.4195,1
0.354,0.8955,0
-0.1384,0.9656,0
1.3245,-0.4605,1
-0.0529,0.4957,1
1.291,-0.435,1
-0.6143,0.7628,0
0.1353,-0.1146,1
1.4528,-0.5877,1
0.3075,-0.2644,1
1.1275,-0.5503,1
0.8847,0.2271,0
0.1884,0.093,1
1.0565,-0.4614,1
0.9995,0.0905,0
0.528,-0.4138,1
-0.3454,0.8204,0
0.3747,1.0393,0
-0.973,0.2839,0
1.0639,-0.5422,1
1.953,0.0955,1
1.6428,-0.2265,1
-0.9208,0.2666,0
1.8215,-0.1941,1
0.2969,0.9541,0
0.5017,-0.3058,1
0.955,0.1741,0
0.9212,-0.4882,1
0.1896,0.8699,0
0.4919,-0.3824,1
0.7449,0.5342,0
2.0536,0.2661,1
0.646,0.7125,0
0.8264,0.6119,0
0.5827,-0.3681,1
0.6227,0.7074,0
-0.0354,0.3554,1
1.2189,-0.3833,1
1.206,-0.5202,1
1.4815,-0.4435,1
-0.388,0.8822,0
0.1444,0.2068,1
0.5546,0.8063,0
1.0959,-0.4749,1
-0.4332,0.8847,0
-1.0834,0.1816,0
0.9029,0.3939,0
0.839,0.5884,0
1.0281,0.1042,0
-0.0399,0.5851,1
1.5328,-0.3104,1
0.023,1.0004,0
1.9318,0.2762,1
-0.9856,0.3451,0
0.3858,-0.1398,1
0.169,0.9656,0
1.9094,0.1037,1
0.0728,0.9933,0
1.7295,-0.1353,1
-0.9408,0.4366,0
0.4913,0.905,0
1.1011,-0.5184,1
0.7847,0.8153,0
0.0305,0.3781,1
0.7273,-0.4804,1
0.0445,0.0885,1
-0.848,0.6517,0
-0.6549,0.6921,0
-1.0173,0.2693,0
-0.5756,0.8545,0
1.756,-0.114,1
2.0691,0.4946,1
0.4432,-0.3239,1
1.3909,-0.4871,1
-0.0058,0.4712,1
0.16,1.0221,0
-0.2681,0.9051,0
1.6436,-0.3056,1
1.9093,-0.0614,1
0.1204,0.9395,0
0.2758,0.8544,0
0.5887,-0.4291,1
-0.2994,0.9402,0
0.8205,-0.5443,1
0.6779,0.7517,0
1.3492,-0.491,1
0.3394,-0.2549,1
1.8241,-0.1506,1
0.7028,0.7354,0
-0.1381,0.9037,0
2.0383,0.0057,1
0.506,-0.4548,1
1.7698,-0.1526,1
0.7743,0.6739,0
0.6386,0.6714,0
1.7392,-0.152,1
-0.4839,0.8164,0
0.9124,-0.6116,1
0.8303,0.4858,0
-0.9716,0.2341,0
-0.8216,0.5291,0
-0.8043,0.7639,0
0.3112,-0.1278,1
0.0032,0.6088,1
0.866,0.4545,0
0.897,0.5722,0
-0.3251,0.8917,0
-0.9572,0.1365,0
1.8918,0.0361,1
0.759,-0.3827,1
1.7867,-0.0834,1
-0.6596,0.8096,0
0.802,-0.3084,1
1.8925,0.0735,1
-0.9238,0.4265,0
0.0383,0.993,0
1.5142,-0.3062,1
1.6156,-0.3716,1
-0.9678,0.0463,0
0.2735,-0.1762,1
-0.1015,0.8935,0
0.4599,-0.299,1
0.4384,0.957,0
1.4748,-0.3679,1
0.9239,0.4787,0
-0.8179,0.5591,0
1.5186,-0.2717,1
1.9856,0.3488,1
-0.8023,0.3661,0
1.9546,0.2444,1
0.8078,0.5546,0
-0.9739,0.0859,0
1.2052,-0.41,1
0.1243,1.0096,0
0.4247,0.937,0
0.2792,0.9624,0
0.9083,-0.4823,1
0.1639,-0.1011,1
0.6696,-0.4128,1
0.0031,0.3329,1
0.9211,0.1201,0
1.8405,-0.0368,1
-1.0233,0.0694,0
0.3207,-0.2088,1
1.395,-0.5411,1
-0.9969,0.1246,0
-0.3328,1.0625,0
0.7468,0.7696,0
-0.958,0.359,0
