income,age,city,approved
74953.0,46,Delhi,1
73056.0,53,Delhi,0
58250.0,21,Delhi,0
32731.0,49,Delhi,0
43907.0,54,Pune,0
56085.0,55,Delhi,0
,27,Pune,0
75042.0,59,Delhi,0
55207.0,62,Mumbai,1
54974.0,53,Delhi,1
78968.0,22,Mumbai,0
73358.0,36,Mumbai,0
64420.0,52,Delhi,0
39973.0,42,Delhi,1
66208.0,54,Mumbai,0
66924.0,41,Delhi,1
42305.0,44,Mumbai,1
80866.0,33,Pune,0
70158.0,25,Delhi,0
20608.0,37,Mumbai,0
62439.0,56,Pune,0
34706.0,58,Mumbai,1
82726.0,35,Mumbai,1
76141.0,49,Delhi,1
37928.0,33,Mumbai,0
42303.0,34,Pune,0
62037.0,51,Delhi,0
55224.0,27,Mumbai,0
90504.0,63,Mumbai,0
74819.0,56,Mumbai,0
54351.0,25,Mumbai,1
,26,Mumbai,1
19354.0,40,Mumbai,1
66197.0,33,Delhi,1
77328.0,50,Pune,1
56421.0,56,Pune,0
45796.0,33,Mumbai,0
71317.0,58,Pune,0
99172.0,61,Delhi,1
64097.0,42,Mumbai,0
37586.0,47,Delhi,1
88916.0,38,Mumbai,0
22429.0,24,Pune,1
70064.0,41,Delhi,1
48361.0,27,Delhi,0
78612.0,56,Delhi,1
43011.0,27,Mumbai,1
86477.0,31,Delhi,0
66005.0,41,Mumbai,1
25463.0,21,Mumbai,0
20524.0,61,Mumbai,0
53678.0,38,Mumbai,0
85884.0,25,Mumbai,1
62541.0,23,Pune,0
61342.0,27,Mumbai,1
,24,Mumbai,1
,30,Mumbai,0
67547.0,31,Delhi,0
,46,Delhi,0
40306.0,62,Pune,1
83757.0,39,Delhi,1
87262.0,47,Delhi,0
33973.0,39,Mumbai,0
106030.0,60,Mumbai,1
74450.0,27,Delhi,0
50240.0,55,Mumbai,0
21913.0,57,Pune,1
,35,Delhi,0
71150.0,42,Pune,0
48087.0,39,Mumbai,0
24189.0,59,Mumbai,1
82490.0,21,Pune,0
48234.0,22,Mumbai,0
50565.0,32,Delhi,0
116913.0,41,Mumbai,0
102559.0,38,Mumbai,1
79075.0,37,Mumbai,0
50892.0,54,Mumbai,0
72989.0,58,Mumbai,1
14371.0,28,Pune,1
62131.0,51,Pune,1
44804.0,51,Delhi,1
34288.0,43,Pune,1
28344.0,62,Pune,0
70503.0,28,Delhi,1
61786.0,45,Mumbai,1
63194.0,51,Delhi,0
76848.0,35,Mumbai,0
43078.0,60,Pune,1
35288.0,45,Pune,0
24473.0,55,Pune,0
53296.0,35,Delhi,0
75203.0,63,Pune,0
57012.0,40,Mumbai,0
72823.0,47,Pune,0
36379.0,27,Mumbai,1
50618.0,34,Delhi,0
44681.0,64,Delhi,1
35032.0,30,Mumbai,0
,51,Mumbai,0
77043.0,56,Pune,0
44764.0,27,Pune,0
44680.0,56,Pune,0
58856.0,37,Pune,1
31159.0,48,Mumbai,0
68717.0,49,Mumbai,0
34115.0,55,Mumbai,1
52591.0,33,Pune,1
39504.0,42,Delhi,1
50403.0,32,Pune,0
33377.0,58,Delhi,0
,32,Pune,1
40677.0,51,Pune,0
46400.0,21,Pune,0
,31,Mumbai,0
61380.0,49,Delhi,1
90538.0,46,Delhi,0
76245.0,32,Pune,1
54942.0,49,Delhi,0
74518.0,38,Delhi,1
46222.0,29,Mumbai,0
88970.0,61,Delhi,0
,62,Mumbai,0
32883.0,53,Delhi,1
75108.0,56,Delhi,0
76322.0,62,Mumbai,1
6288.0,27,Mumbai,1
45038.0,29,Pune,0
,30,Mumbai,0
21430.0,31,Pune,0
38656.0,21,Mumbai,1
,64,Delhi,0
70142.0,62,Delhi,0
66009.0,28,Delhi,1
112523.0,28,Mumbai,0
52115.0,61,Mumbai,0
83065.0,57,Delhi,1
61577.0,32,Mumbai,1
65419.0,43,Delhi,0
36807.0,58,Pune,1
21782.0,23,Delhi,0
44657.0,57,Delhi,1
75243.0,30,Mumbai,0
91656.0,24,Pune,1
72080.0,32,Pune,1
69966.0,41,Delhi,1
43225.0,54,Mumbai,1
90686.0,45,Delhi,1
86876.0,37,Pune,0
49383.0,36,Pune,1
59073.0,27,Delhi,0
40079.0,56,Mumbai,1
89344.0,62,Pune,1
68127.0,49,Mumbai,1
58099.0,43,Delhi,0
68138.0,25,Delhi,1
68812.0,23,Delhi,0
51770.0,45,Delhi,0
,63,Delhi,0
34325.0,60,Delhi,0
25233.0,50,Pune,0
69225.0,59,Mumbai,1
104371.0,40,Delhi,1
26019.0,56,Delhi,0
62766.0,27,Delhi,1
68220.0,58,Delhi,0
40307.0,51,Mumbai,1
64089.0,59,Delhi,0
38061.0,25,Mumbai,1
84008.0,59,Pune,0
48115.0,62,Delhi,0
62011.0,59,Pune,0
73685.0,54,Delhi,1
51404.0,59,Delhi,0
24175.0,52,Pune,0
49375.0,26,Mumbai,0
75260.0,54,Mumbai,0
58309.0,24,Pune,0
64596.0,59,Delhi,0
38392.0,22,Mumbai,1
62864.0,41,Mumbai,0
74563.0,36,Pune,1
60729.0,56,Mumbai,1
98160.0,25,Pune,0
55844.0,25,Delhi,0
39173.0,39,Pune,0
27647.0,51,Pune,0
83040.0,62,Pune,0
58820.0,54,Mumbai,1
80232.0,21,Delhi,0
69153.0,30,Mumbai,1
92502.0,46,Delhi,1
85322.0,25,Pune,0
52449.0,26,Delhi,1
65478.0,61,Delhi,0
81707.0,45,Pune,1
35278.0,60,Mumbai,1
89018.0,51,Delhi,0
84240.0,25,Pune,1
79659.0,23,Mumbai,1
55981.0,46,Pune,0
66043.0,38,Pune,1
37655.0,28,Pune,1
61159.0,46,Pune,1
48252.0,30,Pune,1
61731.0,63,Pune,1
,61,Pune,0
65676.0,30,Mumbai,0
83587.0,50,Mumbai,0
33808.0,47,Pune,0
78508.0,54,Pune,0
20164.0,29,Mumbai,0
16779.0,33,Delhi,0
57613.0,28,Mumbai,0
60135.0,55,Mumbai,0
68856.0,48,Mumbai,1
27052.0,50,Delhi,0
58801.0,21,Mumbai,0
62530.0,36,Pune,1
85104.0,51,Mumbai,1
57923.0,42,Delhi,1
70580.0,49,Pune,0
40451.0,31,Delhi,1
56249.0,57,Mumbai,0
51089.0,47,Pune,1
74066.0,22,Mumbai,1
40224.0,29,Pune,1
,42,Pune,0
71520.0,40,Mumbai,0
95789.0,56,Delhi,0
67654.0,58,Delhi,1
66071.0,48,Delhi,0
53077.0,49,Pune,0
81769.0,57,Mumbai,1
70798.0,47,Mumbai,1
,47,Mumbai,0
66614.0,25,Delhi,0
41026.0,21,Mumbai,1
48601.0,57,Mumbai,0
40252.0,63,Delhi,0
34984.0,48,Mumbai,0
85274.0,54,Mumbai,0
76147.0,62,Pune,1
