x,healthy,curved,fanning_out
7.1777,19.5173,21.851,21.1198
15.9479,50.552,86.4051,45.5877
13.7262,40.2516,69.635,33.7701
18.6441,56.2203,122.1169,53.8502
7.3576,24.3905,20.181,22.4823
4.844,14.755,12.6624,9.6513
1.2175,2.9369,2.6579,3.573
11.4767,34.3238,42.9292,35.662
12.3261,39.3619,49.6152,35.1205
8.4931,27.8906,22.8874,24.588
17.9399,55.3453,114.6933,48.9114
5.6007,15.7563,11.6482,18.512
16.356,48.4606,95.4657,44.6733
18.3323,56.4947,118.5134,62.727
9.3252,29.645,32.8904,28.8257
1.7975,4.1632,-0.9195,3.9401
11.9546,34.657,46.3602,33.8317
13.3901,41.7308,61.4185,40.9867
19.0363,59.4505,128.4606,62.4834
17.5856,53.0964,106.2181,52.6784
9.5853,26.5694,27.4768,27.7654
13.8035,44.7367,65.5977,45.1439
4.8892,14.9127,9.7333,17.5031
13.449,41.4347,64.1352,30.0726
15.8894,43.5593,87.6765,42.9126
10.9901,31.6845,41.2429,39.7677
7.4317,22.0573,15.1039,22.7732
1.7148,5.8903,0.937,4.3961
9.4053,26.5699,34.6909,34.1564
7.1522,18.5099,16.8454,26.7161
18.19,51.3933,118.9924,52.1234
4.7444,13.5446,5.3152,15.4433
1.3764,4.7685,-0.2664,4.0807
6.6958,20.6354,14.6095,20.7739
9.7304,25.8111,32.9535,32.5633
6.0887,16.8921,9.2257,17.3738
14.9011,44.5301,79.9128,43.6391
7.186,23.5399,17.2257,20.3803
4.5561,14.7772,2.725,10.369
4.6744,14.538,8.7,14.6684
16.4759,46.1017,95.0495,54.1326
3.29,12.0153,0.9938,9.9322
12.8227,38.2829,57.0712,38.1041
10.5676,32.1183,40.4718,34.6203
6.6421,18.5849,16.6131,17.7726
16.7997,49.9805,99.2621,42.5916
13.724,40.4837,64.4079,43.0094
16.7784,49.5111,98.9398,50.5743
6.9988,19.228,19.5753,25.5179
15.1672,46.8145,84.7517,36.2456
10.8499,34.3145,42.3741,31.8481
14.8448,43.4497,78.6959,36.6191
15.6279,45.2189,87.3736,59.334
7.7702,21.6666,20.5881,21.6934
12.4515,36.7313,50.7363,40.5789
17.2028,54.3934,102.4,35.6819
2.8876,8.371,2.4534,7.4329
18.3479,58.6247,118.1545,59.8008
6.3494,16.5301,13.9154,17.7411
15.3045,43.7385,80.2388,41.5227
4.4783,11.8628,5.5649,14.4491
19.6409,57.1997,134.1042,59.0083
11.5251,35.1942,44.2278,34.6742
1.9463,9.2477,-0.9149,5.9633
8.5797,24.268,21.6921,23.752
13.0893,39.9232,58.549,46.7187
14.0648,44.794,68.692,47.3357
7.3814,26.8649,16.961,21.4795
19.0539,57.5643,125.6877,53.7032
8.8915,28.6093,26.968,19.8451
4.5225,16.1788,4.0673,11.3855
16.3262,49.1717,91.0728,56.9459
18.7675,57.4275,120.5133,46.8444
14.6965,43.4037,75.5636,41.1471
5.4121,14.4996,7.0772,19.619
6.8427,19.3712,15.5095,23.1924
15.1073,47.6126,74.9102,46.8753
1.6332,7.5606,3.5016,5.1087
6.4145,19.7568,14.6124,18.2192
10.4426,28.9419,35.7035,31.7291
4.0411,14.5796,4.7878,12.0661
17.2995,51.9272,107.7572,60.4298
16.4865,52.4468,94.5972,53.9752
14.9324,45.0336,74.3884,40.0622
7.31,19.6977,17.9763,25.8262
17.5131,52.021,105.7574,57.9914
15.8533,46.288,88.4112,54.2364
10.4773,34.6116,38.2372,36.4625
4.8132,10.0052,4.4279,15.8615
2.2038,5.4928,1.7507,6.7661
11.9341,35.2327,51.4044,41.8548
2.2309,2.7134,4.2077,7.7032
11.8802,36.532,49.7898,34.4753
1.3885,5.4314,4.1317,4.0741
15.6737,48.7488,88.6429,48.6403
17.6801,54.7373,110.7402,56.6954
17.0947,51.1464,105.1848,51.0116
17.1269,53.2924,97.4636,42.0564
13.8964,40.8645,69.9268,48.2053
16.7246,50.2893,100.6459,45.7829
5.182,16.0361,9.0541,13.1935
14.8807,44.8418,79.0068,39.6772
14.5459,44.7047,72.6124,43.921
11.3649,32.8564,44.7376,33.0271
9.9128,29.551,33.904,20.6589
14.3675,41.9976,70.0187,34.1535
1.1358,3.5963,-0.1257,2.6794
4.6224,14.5364,3.7999,12.4024
7.6866,21.6317,20.2513,23.2877
18.0067,56.9317,116.7283,49.0029
10.8063,36.3055,44.5105,40.5135
7.8351,24.6686,21.3025,26.0271
7.4361,22.5635,22.6957,26.4305
7.753,22.0981,21.7212,25.3495
18.6954,55.8229,119.6515,46.5918
1.9177,5.4016,-0.0842,6.0941
8.5778,27.1759,25.5151,20.6985
17.4253,52.3424,106.1144,45.2994
17.6804,54.5116,110.5933,54.4984
1.7539,6.4612,-0.4457,5.2863
7.1882,20.7005,17.1546,23.3278
1.8071,2.8932,3.1168,5.2439
7.0205,18.826,17.4296,24.0759
7.7355,21.1975,21.6864,25.7295
4.3881,13.2026,6.5504,13.8205
19.5426,61.0476,135.0132,53.3205
1.4312,2.5662,2.1768,3.9834
5.4095,17.6058,8.6524,18.5632
13.4158,40.0004,65.2365,55.6732
