x,strong_positive,weak_positive,curved,unrelated
9.8817,28.4051,4.3271,24.8326,20.7353
6.2082,19.9069,11.2626,1.8293,11.9449
4.9243,14.7827,11.0449,0.6786,11.8892
2.244,4.8407,-25.4492,5.2209,12.8554
6.8524,20.5739,42.8647,2.1666,18.94
6.9935,21.707,27.2438,5.1843,20.393
9.5272,26.1755,17.5492,18.2908,10.9189
9.3397,25.8934,53.646,19.5103,13.724
4.9131,13.5938,32.9662,-0.4282,18.0016
8.5254,24.9708,-9.1695,12.5366,16.5326
9.5803,27.7476,24.0773,19.6192,14.1164
4.1673,9.6577,3.3136,1.4774,17.9376
6.0638,15.7307,18.2425,1.6109,11.2911
5.9348,17.5751,4.0636,2.044,8.5783
4.8045,14.8429,10.2196,3.662,18.4009
4.6905,12.5987,14.5489,-0.3285,18.9698
2.2156,6.7191,-28.5633,7.7665,21.6796
1.876,8.2134,6.7034,8.087,14.1277
3.0837,8.7794,28.1126,6.22,11.6462
5.9205,16.9556,18.897,0.2379,15.907
6.595,18.5966,35.1591,3.6366,15.2103
8.1936,25.1212,46.038,8.4241,15.8881
2.8693,8.8008,12.1492,4.1018,15.2057
5.1582,15.7065,20.4902,0.8799,21.7991
4.5333,12.9204,18.8537,0.8925,17.0103
1.705,5.5938,-1.0898,10.4033,21.8517
9.8174,29.9409,60.7412,24.531,12.2921
3.3552,9.742,16.0203,2.861,10.8797
6.9073,22.3108,28.338,5.2174,19.8589
6.9145,18.3596,33.8617,3.307,9.9156
7.7085,24.0736,43.5684,8.3204,10.19
8.3338,24.7246,6.0499,10.4179,10.259
9.4646,29.5401,14.0972,21.8703,6.924
3.2085,12.334,11.5459,3.2356,17.6998
6.6839,20.0486,27.2423,2.9494,23.3558
3.168,9.1533,-7.3658,2.5265,18.151
2.9788,8.8401,-10.1956,5.6416,19.3962
7.9279,25.7563,34.3898,8.8463,13.8863
7.4951,24.6954,32.41,5.9265,10.999
7.3189,22.153,17.8198,7.4013,17.9832
1.228,4.5902,-0.531,13.1162,10.0536
9.6722,31.6205,19.9367,23.3431,8.2857
6.2831,19.6086,2.197,3.9344,11.4036
4.6489,11.7136,1.3677,-2.4412,20.3632
9.1286,26.1611,29.2585,18.4206,17.1568
1.1171,2.6192,0.2613,15.9188,14.2213
3.0129,9.6014,21.9042,4.2632,10.3094
1.4317,3.4546,-14.6943,13.2776,10.9015
3.2747,11.8612,-14.4838,1.1495,16.8699
7.8678,22.8993,30.7734,8.9761,14.9259
1.4982,6.8058,-9.3866,12.604,11.6596
7.6134,21.877,17.6181,4.59,20.6277
5.9802,19.932,17.4459,0.6647,12.1778
3.296,10.1793,-8.5669,1.0802,7.6518
8.4976,27.6074,3.1565,12.3631,14.0055
0.425,4.1888,3.9539,19.5785,20.216
2.4354,9.917,-31.5754,6.7206,18.4798
5.0024,16.579,22.4921,-2.1689,19.5119
4.0023,10.9415,-13.9061,0.1566,11.3258
3.8476,10.3866,21.5119,0.6765,17.206
9.9718,25.2637,32.9818,24.3613,15.7455
5.4903,18.698,18.4781,1.9085,13.939
6.6116,21.7612,25.4145,5.8236,9.6927
4.5584,15.2469,14.3805,-2.1265,20.8716
1.9868,4.3481,-14.3578,10.2967,15.5537
1.0402,7.2703,13.3811,15.2313,12.4687
7.5559,21.7454,23.2594,6.0646,18.5369
7.2312,23.0543,26.9664,4.4852,26.9692
9.9164,27.4293,26.7629,23.9096,7.9326
2.5131,6.7134,2.7814,6.024,16.2203
3.9375,13.7171,23.4913,2.3517,23.5512
3.7526,12.8732,23.195,3.4461,23.6299
5.7369,15.6947,19.3396,1.0626,10.0829
0.4818,1.4089,-16.3814,20.4758,12.4131
7.9738,25.6749,9.8566,9.6952,5.217
7.3279,19.3408,6.9249,6.0199,14.6905
0.9408,4.0506,17.3915,19.1911,7.4212
7.1235,19.1556,27.5393,3.0863,9.6832
3.3926,11.1985,10.3691,0.5058,21.3569
4.3221,12.6617,10.2689,0.0462,8.9677
2.0151,7.584,-4.7869,9.3383,6.2315
6.8798,19.9436,31.4578,3.172,14.8068
5.7787,16.8755,2.4192,0.8945,15.7471
0.2293,0.2152,-11.5084,18.8571,15.9023
1.4953,3.1078,15.8911,11.0652,20.4165
7.3239,21.5907,30.4713,4.3275,11.609
1.3441,2.5467,2.8913,11.2685,14.3043
4.6682,13.1866,-3.7394,-0.8982,18.0436
6.6913,21.1026,2.3916,2.3908,13.0373
1.6969,4.62,16.8182,11.3535,21.6872
4.9785,16.5422,20.1583,-1.5159,19.7364
4.2019,13.6673,33.338,-1.981,15.2728
1.4039,5.4529,-2.2011,13.3703,14.2854
7.8869,21.9703,22.7041,11.0231,15.3506
0.825,3.0982,-10.4252,17.4883,16.7177
8.2653,26.9476,47.9858,10.6732,5.7772
3.2589,11.1336,-13.4167,1.3954,8.9744
3.5924,12.6122,19.6165,2.1238,11.3394
2.2411,8.9954,29.4289,9.7746,11.0203
8.5454,23.3894,12.6204,9.4981,12.0025
9.9755,30.7837,10.1675,26.0862,12.1135
1.8842,6.4782,-8.1422,6.6544,15.3516
6.2853,18.5724,-0.7079,3.694,13.3726
0.4313,-0.6537,6.3782,21.9373,16.5319
3.977,12.1557,10.8716,0.4475,16.3995
2.199,6.3655,-5.8256,8.1278,14.5963
6.3234,21.8874,15.2699,4.0732,12.8313
2.0286,8.0473,27.3531,7.1243,11.2697
6.1219,17.7616,15.0937,2.8877,18.4749
9.6123,27.2708,23.5347,22.0324,12.5541
2.501,6.2459,34.7985,6.1488,15.7438
1.2848,3.785,-8.333,15.8455,18.4839
8.5671,24.6282,19.3986,10.2093,15.6258
0.5385,4.5724,22.2912,19.6411,7.0105
7.4008,20.4339,22.8447,3.9137,10.9042
8.9117,26.6128,0.2194,15.1423,23.892
1.349,4.2774,-8.023,14.0368,6.6476
5.1526,16.0927,-15.9803,-2.4296,20.3383
9.7559,27.9024,20.1396,22.9489,9.0854
1.5043,4.1962,8.8381,12.5594,14.7019
8.3418,25.3176,1.8736,10.2197,19.3451
6.7191,20.6706,41.3341,2.7563,9.4123
0.7213,1.3211,19.5385,19.8333,18.9741
1.707,4.6933,16.0558,11.2305,3.5529
9.2374,28.0691,17.2131,20.2847,13.3756
0.6544,4.8481,2.0921,17.2565,11.0381
3.56,8.9211,18.1412,0.1443,16.0233
0.3479,2.1213,14.1592,23.3262,17.7525
2.5771,10.1293,25.3299,3.8155,19.6901
2.1396,4.3876,-24.0832,9.899,19.4665
7.9034,25.9194,13.47,8.3319,12.0383
0.8062,4.5754,-14.1063,18.5043,9.6494
1.1137,3.5032,-1.7106,14.5234,16.0333
5.4242,17.7792,18.8899,1.6465,11.3884
1.9952,8.2701,37.8038,10.9292,3.8188
5.1967,15.4507,13.9359,1.7639,3.4415
0.5294,2.0201,13.9609,20.6595,11.8041
1.8718,4.117,6.8521,7.7901,11.8126
3.4314,9.366,9.4822,3.8411,14.1231
7.1893,21.7787,45.7085,4.9086,14.6781
8.2816,24.8214,8.9485,12.6787,6.0274
1.8931,8.197,14.8254,7.3959,15.1084
5.0651,14.9846,43.9409,0.631,8.1729
8.5541,23.9826,73.3709,11.9591,15.7572
5.3321,17.4423,8.499,0.0428,13.5696
7.9169,25.2498,10.416,9.776,21.2215
8.5127,26.2581,7.6,13.5338,15.455
3.3097,9.856,3.8747,4.9417,11.0913
6.1377,17.3706,18.094,1.9729,12.4882
5.3735,15.29,16.0014,0.943,13.8989
2.0398,8.5194,21.6174,9.2347,16.4501
7.2381,23.0118,16.9574,3.3282,17.4173
8.7316,26.4835,30.3117,15.5107,9.5866
0.3785,1.8948,-22.4651,20.1604,8.919
9.5472,28.2633,18.9381,19.9279,17.4358
0.536,0.3669,-0.9784,20.5728,13.9542
4.0358,11.5377,-21.5567,-0.0538,19.0686
0.7674,2.3519,3.5298,17.2408,16.3281
3.8056,9.0987,23.3474,-2.2304,22.1699
5.6877,15.0343,17.6976,-0.8219,17.1647
5.0193,12.5939,17.6473,-1.6533,8.2299
3.5414,10.0536,10.1061,1.1778,12.0727
5.2196,16.6586,-1.5673,0.8079,16.7914
6.9783,19.0252,21.1212,3.4768,9.0852
6.5492,18.019,11.3011,2.159,14.2136
1.516,2.2168,5.4011,12.2595,17.4109
5.5528,16.0121,17.2029,1.7605,19.5474
0.6552,0.2315,3.1807,20.4393,18.405
6.4268,17.8099,0.2961,2.6325,7.0248
0.428,-0.335,-0.0089,20.5303,19.9028
5.5832,20.1165,40.8483,1.6326,10.0327
2.2898,6.7442,19.5607,6.9071,14.7177
0.4858,0.4908,-2.2855,20.1108,10.4122
4.8615,13.9178,3.8317,0.4679,18.8794
3.0612,10.4825,22.5671,3.0473,14.1193
0.5766,3.1833,1.1541,17.9685,15.6158
7.8254,23.8797,-2.0356,6.1852,16.5747
2.3224,4.0459,0.0834,6.736,14.1678
6.6007,21.2724,42.8225,2.8902,11.4934
4.1706,14.1076,-11.9073,1.6435,21.3772
7.8846,24.816,23.8177,7.2076,17.3935
3.0027,9.7216,-2.3658,4.3337,18.3033
1.2856,3.9806,2.1113,13.8788,6.2273
3.4396,12.1151,3.6292,1.8282,5.0852
6.7507,19.8131,6.9712,6.7936,22.5568
3.1469,11.0067,-27.731,2.4189,17.999
8.2358,24.009,20.6624,9.3192,6.1512
3.5302,10.0361,9.9953,2.4344,16.5437
1.9075,5.0795,2.7567,11.8975,14.9398
5.7557,16.4552,1.1683,0.1274,9.8263
5.7022,16.3944,7.3185,2.5343,12.4735
5.8294,18.6296,47.5587,-0.688,23.1985
0.2671,3.1377,-16.1968,21.9323,11.0768
5.2971,14.8579,10.1095,-0.0788,16.7772
5.9366,16.276,-0.9626,0.621,10.6347
1.4925,6.3516,0.1401,12.5,7.1837
0.4577,0.8896,3.6871,20.6155,26.0041
4.7109,14.5575,30.0532,-0.0727,17.6828
6.3402,19.2592,21.0142,0.5029,12.1735
0.3182,2.3191,-0.1167,22.7949,12.693
7.8964,22.3861,27.6844,8.6253,13.1225
3.3127,11.6519,16.8213,3.3804,9.38
2.7281,9.3823,6.6258,7.0664,16.4878
5.7796,14.0772,16.0066,1.5429,17.3672
0.8713,2.3832,18.8467,17.6048,12.3369
