month,area_sqft
Month 1,1430.0
Month 1,1487.0
Month 1,797.0
Month 1,853.0
Month 1,798.0
Month 1,1168.0
Month 1,1265.0
Month 1,573.0
Month 1,1257.0
Month 1,527.0
Month 1,994.0
Month 1,1132.0
Month 1,1393.0
Month 1,887.0
Month 1,1287.0
Month 1,907.0
Month 1,1028.0
Month 1,211.0
Month 1,660.0
Month 1,1428.0
Month 1,1129.0
Month 1,1370.0
Month 1,1190.0
Month 4,1314.0
Month 4,427.0
Month 4,1393.0
Month 4,1107.0
Month 4,595.0
Month 4,1105.0
Month 4,1723.0
Month 4,1259.0
Month 4,948.0
Month 4,1715.0
Month 4,359.0
Month 4,1240.0
Month 4,878.0
Month 4,1476.0
Month 4,1247.0
Month 4,922.0
Month 4,1607.0
Month 4,966.0
Month 4,1257.0
Month 4,1287.0
Month 4,236.0
Month 4,1827.0
Month 4,1651.0
Month 4,875.0
Month 4,743.0
Month 4,1166.0
Month 4,1519.0
Month 4,1199.0
Month 4,874.0
Month 4,1549.0
Month 4,927.0
Month 4,1568.0
Month 4,831.0
Month 4,1490.0
Month 4,1002.0
Month 4,1049.0
Month 4,1090.0
Month 4,1539.0
Month 4,1313.0
Month 4,1182.0
Month 4,798.0
Month 4,1745.0
Month 4,1399.0
Month 4,955.0
Month 4,1057.0
Month 4,959.0
Month 4,1165.0
Month 4,1837.0
Month 4,1644.0
Month 4,1191.0
Month 4,870.0
Month 4,1890.0
Month 4,530.0
Month 4,1007.0
Month 4,1480.0
Month 4,1073.0
Month 4,1227.0
Month 4,1544.0
Month 4,1395.0
Month 4,1539.0
Month 4,898.0
Month 4,1358.0
Month 4,1677.0
Month 4,1271.0
Month 4,1277.0
Month 4,1516.0
Month 4,1611.0
Month 4,1229.0
Month 4,1479.0
Month 4,1823.0
Month 4,1147.0
Month 4,1899.0
Month 4,1415.0
Month 4,1998.0
Month 4,996.0
Month 4,1911.0
Month 4,1176.0
Month 4,1664.0
Month 4,1484.0
Month 4,830.0
Month 4,1817.0
Month 4,1220.0
Month 4,1141.0
Month 4,2077.0
Month 4,1371.0
Month 4,1163.0
Month 4,924.0
Month 4,2018.0
Month 4,992.0
Month 4,1320.0
Month 4,1085.0
Month 4,1557.0
Month 4,1364.0
Month 4,1096.0
Month 4,558.0
Month 4,1331.0
Month 4,1015.0
Month 4,1990.0
Month 4,1545.0
Month 4,1509.0
Month 4,1553.0
Month 4,1383.0
Month 4,1459.0
Month 4,1378.0
Month 4,1225.0
Month 4,1595.0
Month 4,1568.0
Month 4,1363.0
Month 4,1398.0
Month 4,592.0
Month 4,1124.0
Month 4,952.0
Month 4,1440.0
Month 4,1284.0
Month 4,783.0
Month 4,800.0
Month 4,872.0
Month 4,1450.0
Month 4,1378.0
Month 4,1639.0
Month 4,1844.0
Month 4,549.0
Month 4,668.0
Month 4,1057.0
Month 4,1578.0
Month 4,1044.0
Month 4,888.0
Month 4,1529.0
Month 4,1123.0
Month 4,1456.0
Month 4,1297.0
Month 4,1802.0
Month 4,1090.0
Month 4,1461.0
Month 4,1482.0
Month 4,1774.0
Month 4,1108.0
Month 4,801.0
Month 4,880.0
Month 4,1233.0
Month 4,982.0
Month 4,969.0
Month 4,1350.0
Month 4,1511.0
Month 4,1349.0
Month 4,1392.0
Month 4,1017.0
Month 4,954.0
Month 4,1328.0
Month 4,1394.0
Month 4,1554.0
Month 4,1429.0
Month 4,1207.0
Month 4,1056.0
Month 4,615.0
Month 4,1464.0
Month 4,1304.0
Month 4,2172.0
Month 4,1257.0
Month 4,994.0
Month 4,1757.0
Month 4,1449.0
Month 4,773.0
Month 4,956.0
Month 4,983.0
Month 4,712.0
Month 4,1526.0
Month 4,1070.0
Month 4,905.0
Month 4,933.0
Month 4,1477.0
Month 4,422.0
Month 4,1049.0
Month 4,778.0
Month 4,441.0
Month 4,1430.0
Month 4,974.0
Month 4,836.0
Month 4,1515.0
Month 4,1483.0
Month 4,835.0
Month 4,1710.0
Month 4,746.0
Month 4,1172.0
Month 4,1024.0
Month 4,1777.0
Month 4,1363.0
Month 4,1728.0
Month 4,966.0
Month 4,1307.0
Month 4,984.0
Month 4,847.0
Month 4,889.0
Month 4,797.0
Month 4,723.0
Month 4,968.0
Month 4,588.0
Month 4,950.0
Month 4,1150.0
Month 4,695.0
Month 4,1256.0
Month 4,1868.0
Month 4,1213.0
Month 4,1529.0
Month 4,1262.0
Month 4,1226.0
Month 4,1483.0
Month 4,1209.0
Month 4,1528.0
Month 4,1394.0
Month 4,708.0
Month 4,1301.0
Month 4,2058.0
Month 4,1176.0
Month 4,957.0
Month 4,1438.0
Month 4,1321.0
Month 4,1211.0
Month 4,1027.0
Month 4,1180.0
Month 4,2113.0
Month 4,995.0
Month 4,1883.0
Month 4,844.0
Month 4,957.0
Month 4,1279.0
Month 4,1677.0
Month 4,944.0
Month 4,1281.0
Month 4,1035.0
Month 4,1207.0
Month 4,840.0
Month 4,1135.0
Month 4,712.0
Month 4,1464.0
Month 4,1905.0
Month 4,942.0
Month 4,1533.0
Month 4,1171.0
Month 4,1238.0
Month 4,1456.0
Month 4,1562.0
Month 4,1140.0
Month 4,846.0
Month 4,1581.0
Month 4,1641.0
Month 4,997.0
Month 4,1282.0
Month 4,1212.0
Month 4,1518.0
Month 4,1028.0
Month 4,1399.0
Month 4,1143.0
Month 4,920.0
Month 4,1571.0
Month 4,1644.0
Month 4,736.0
Month 4,1719.0
Month 4,1771.0
Month 4,1582.0
Month 4,1015.0
Month 4,1500.0
Month 4,1516.0
Month 4,1463.0
Month 4,1109.0
Month 4,1325.0
Month 4,1095.0
Month 4,1393.0
Month 4,1647.0
Month 4,1937.0
Month 4,1576.0
Month 4,1557.0
Month 4,962.0
Month 4,2113.0
Month 4,1070.0
Month 4,1369.0
Month 4,1874.0
Month 4,2107.0
Month 4,846.0
Month 4,1013.0
Month 4,1475.0
Month 4,646.0
Month 4,1443.0
Month 4,1775.0
Month 4,928.0
Month 4,1680.0
Month 4,844.0
Month 4,1535.0
Month 4,1016.0
Month 4,1665.0
Month 4,1159.0
Month 4,1063.0
Month 4,431.0
Month 4,1373.0
Month 4,1045.0
Month 4,1651.0
Month 4,2139.0
Month 4,1400.0
Month 4,619.0
Month 4,1616.0
Month 8,1868.0
Month 8,1255.0
Month 8,1759.0
Month 8,2644.0
Month 8,1981.0
Month 8,1473.0
Month 8,1321.0
Month 8,1464.0
Month 8,1692.0
Month 8,1832.0
Month 8,1718.0
Month 8,1777.0
Month 8,2077.0
Month 8,1513.0
Month 8,2001.0
Month 8,1912.0
Month 8,2111.0
Month 8,2290.0
Month 8,1155.0
Month 8,1883.0
Month 8,1094.0
Month 8,1474.0
Month 8,2077.0
Month 8,1901.0
Month 8,1915.0
Month 8,1791.0
Month 8,1977.0
Month 8,1964.0
Month 8,1430.0
Month 8,1549.0
Month 8,1201.0
Month 8,2230.0
Month 8,1619.0
Month 8,2053.0
Month 8,1322.0
Month 8,1523.0
Month 8,2264.0
Month 8,2188.0
Month 8,1835.0
Month 8,1174.0
Month 8,2107.0
Month 8,1725.0
Month 8,2295.0
Month 8,1731.0
Month 8,1622.0
Month 8,793.0
Month 8,2084.0
Month 8,2333.0
Month 8,1110.0
Month 8,2120.0
Month 8,1843.0
Month 8,1317.0
Month 8,2035.0
Month 8,1123.0
Month 8,1839.0
Month 8,1268.0
Month 8,1531.0
Month 8,2340.0
Month 8,888.0
Month 8,1381.0
Month 8,1750.0
Month 8,1799.0
Month 8,1533.0
Month 8,2034.0
Month 8,1354.0
Month 8,1163.0
Month 8,1659.0
Month 8,1190.0
Month 8,1474.0
Month 8,1525.0
Month 8,1408.0
Month 8,1778.0
Month 8,2107.0
Month 8,1927.0
Month 8,2068.0
Month 8,1729.0
Month 8,1979.0
Month 8,1717.0
Month 8,2282.0
Month 8,1881.0
Month 8,1503.0
Month 8,1617.0
Month 8,2169.0
Month 8,1861.0
Month 8,1313.0
Month 8,1993.0
Month 8,1413.0
Month 8,1340.0
Month 8,1803.0
Month 8,1655.0
Month 8,1694.0
Month 8,2198.0
Month 8,1920.0
Month 8,1954.0
Month 8,1547.0
Month 8,1779.0
Month 8,1178.0
Month 8,1734.0
Month 8,1936.0
Month 8,1434.0
Month 8,1598.0
Month 8,1922.0
Month 8,1841.0
Month 8,1743.0
Month 8,1366.0
Month 8,1888.0
Month 8,1534.0
Month 8,1238.0
Month 8,1546.0
Month 8,1645.0
Month 8,1818.0
Month 8,1978.0
Month 8,1643.0
Month 8,1708.0
Month 8,1379.0
Month 8,1777.0
Month 8,1844.0
Month 8,1664.0
Month 8,1252.0
Month 8,2018.0
Month 8,1801.0
Month 8,1941.0
Month 8,1193.0
Month 8,2043.0
Month 8,2070.0
Month 8,1411.0
Month 8,1280.0
Month 8,1741.0
Month 8,1949.0
Month 8,2074.0
Month 8,1311.0
Month 8,1814.0
Month 8,1427.0
Month 8,1891.0
Month 8,1747.0
Month 8,2001.0
Month 8,1715.0
Month 8,1724.0
Month 8,1121.0
Month 8,1870.0
Month 8,1401.0
Month 8,2446.0
Month 8,1063.0
Month 8,1928.0
Month 8,1929.0
Month 8,1352.0
Month 8,1272.0
Month 8,1936.0
Month 8,1749.0
Month 8,1530.0
Month 8,1424.0
Month 8,1676.0
Month 8,1994.0
Month 8,954.0
Month 8,1622.0
Month 8,2175.0
Month 8,1891.0
Month 8,1666.0
Month 8,2024.0
Month 8,1331.0
Month 8,1748.0
Month 8,2245.0
Month 8,2200.0
Month 8,2056.0
Month 8,1517.0
Month 8,1594.0
Month 8,1586.0
Month 8,1873.0
Month 8,2105.0
Month 8,1735.0
Month 8,1384.0
Month 8,1475.0
Month 8,1551.0
Month 8,1811.0
Month 8,1257.0
Month 8,2084.0
Month 8,2040.0
Month 8,2329.0
Month 8,1464.0
Month 8,1359.0
Month 8,1292.0
Month 8,1717.0
Month 8,1884.0
Month 8,1356.0
Month 8,1539.0
Month 8,2099.0
Month 8,1749.0
Month 8,1515.0
Month 8,1847.0
Month 8,1707.0
Month 8,1504.0
Month 8,1575.0
Month 8,2243.0
Month 8,1700.0
Month 8,1544.0
Month 8,1370.0
Month 8,2094.0
Month 8,1620.0
Month 8,2243.0
Month 8,2045.0
Month 8,1399.0
Month 8,2301.0
Month 8,1535.0
Month 8,1703.0
Month 8,1486.0
Month 8,1838.0
Month 8,1550.0
Month 8,1271.0
Month 8,1437.0
Month 8,1766.0
Month 8,1181.0
Month 8,1577.0
Month 8,1886.0
Month 8,1677.0
Month 8,1913.0
Month 8,1189.0
Month 8,1442.0
Month 8,1863.0
Month 8,1547.0
Month 8,2340.0
Month 8,1065.0
Month 8,1546.0
Month 8,1650.0
Month 8,1813.0
Month 8,2421.0
Month 8,1389.0
Month 8,2356.0
Month 8,2044.0
Month 8,825.0
Month 8,740.0
Month 8,1544.0
Month 8,1176.0
Month 8,1926.0
Month 8,2282.0
Month 8,1565.0
Month 8,2349.0
Month 8,1572.0
Month 8,2328.0
Month 8,1368.0
Month 8,1590.0
Month 8,1406.0
Month 8,1305.0
Month 8,1802.0
Month 8,1329.0
Month 8,1077.0
Month 8,1412.0
Month 8,1666.0
Month 8,1598.0
Month 8,1534.0
Month 8,1395.0
Month 8,1358.0
Month 8,1325.0
Month 8,762.0
Month 8,1756.0
Month 8,1943.0
Month 8,1859.0
Month 8,1793.0
Month 8,1419.0
Month 8,723.0
Month 8,1072.0
Month 8,2277.0
Month 8,1613.0
Month 8,983.0
Month 8,1372.0
Month 8,2201.0
Month 8,2413.0
Month 8,1969.0
Month 8,1833.0
Month 8,1445.0
Month 8,1350.0
Month 8,1709.0
Month 8,1373.0
Month 8,1585.0
Month 8,1951.0
Month 8,2222.0
Month 8,1986.0
Month 8,2665.0
Month 8,1463.0
Month 8,1854.0
Month 8,1474.0
Month 8,1812.0
Month 8,1993.0
Month 8,1339.0
Month 8,2766.0
Month 8,1140.0
Month 8,1916.0
Month 8,2194.0
Month 8,1720.0
Month 8,1633.0
Month 8,1362.0
Month 8,2097.0
Month 8,1595.0
Month 8,1394.0
Month 8,1869.0
Month 8,1918.0
Month 8,2021.0
Month 8,1184.0
Month 8,1180.0
Month 8,1790.0
Month 8,1577.0
