person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25,male,Bachelor,43085.0,3,RENT,2400.0,VENTURE,12.53,0.06,3,643,No,0
24,female,Master,109187.0,0,MORTGAGE,5000.0,HOMEIMPROVEMENT,8.59,0.05,4,646,No,0
28,female,High School,80302.0,6,RENT,7500.0,VENTURE,11.28,0.09,7,667,No,1
27,female,Master,47888.0,8,RENT,8000.0,EDUCATION,11.03,0.17,9,667,No,0
39,male,High School,41779.0,15,RENT,5000.0,PERSONAL,8.49,0.12,15,668,No,1
35,male,Bachelor,23977.0,12,RENT,3500.0,MEDICAL,9.28,0.15,6,614,No,1
29,female,Associate,105839.0,3,RENT,11200.0,EDUCATION,11.01,0.11,8,665,No,0
23,male,Associate,53716.0,1,RENT,5404.0,PERSONAL,10.99,0.1,2,554,No,1
58,male,Bachelor,62551.0,33,RENT,13500.0,PERSONAL,11.58,0.22,21,750,No,0
24,male,Associate,48736.0,0,RENT,10000.0,PERSONAL,11.99,0.21,4,664,No,0
27,female,High School,80735.0,3,MORTGAGE,16000.0,HOMEIMPROVEMENT,10.99,0.2,5,569,Yes,0
33,male,Bachelor,49951.0,13,RENT,7200.0,EDUCATION,11.24,0.14,8,627,Yes,0
25,female,Associate,73039.0,2,RENT,20000.0,EDUCATION,10.89,0.27,4,573,No,1
40,female,Associate,28699.0,17,RENT,1500.0,MEDICAL,7.29,0.05,16,656,Yes,0
30,male,Bachelor,54391.0,9,RENT,12000.0,DEBTCONSOLIDATION,16.43,0.22,6,658,No,1
33,male,High School,80676.0,10,MORTGAGE,22000.0,MEDICAL,14.59,0.27,8,678,No,1
22,male,High School,84747.0,2,MORTGAGE,6000.0,MEDICAL,6.03,0.07,2,662,Yes,0
27,male,Associate,47720.0,2,RENT,5000.0,DEBTCONSOLIDATION,13.67,0.1,4,587,No,1
23,male,High School,69232.0,0,RENT,12000.0,DEBTCONSOLIDATION,8.76,0.17,3,639,No,0
22,female,High School,59603.0,0,RENT,8000.0,PERSONAL,14.96,0.13,2,570,No,1
23,male,High School,103117.0,2,MORTGAGE,7200.0,EDUCATION,6.92,0.07,4,660,Yes,0
24,male,Associate,36936.0,0,MORTGAGE,10000.0,MEDICAL,15.99,0.27,2,632,No,1
28,female,Master,96946.0,8,OWN,15000.0,PERSONAL,11.01,0.15,10,672,Yes,0
28,male,Associate,43937.0,6,RENT,1000.0,MEDICAL,10.28,0.02,7,654,Yes,0
26,female,Bachelor,61091.0,5,MORTGAGE,10000.0,EDUCATION,7.63,0.16,3,598,Yes,0
22,male,Associate,51286.0,0,RENT,12800.0,VENTURE,15.21,0.25,2,664,No,1
30,male,High School,51601.0,8,RENT,4558.0,EDUCATION,8.79,0.09,7,593,No,1
24,male,Associate,26031.0,0,RENT,7500.0,VENTURE,7.88,0.29,3,666,No,1
28,female,Associate,27638.0,6,RENT,11500.0,EDUCATION,8.49,0.42,5,612,No,1
23,male,Bachelor,76040.0,1,MORTGAGE,10000.0,DEBTCONSOLIDATION,15.7,0.13,3,697,No,1
24,female,High School,73250.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,6.86,0.07,3,534,Yes,0
26,male,Associate,53898.0,3,OWN,14105.0,VENTURE,12.57,0.26,4,661,Yes,0
30,male,Associate,43064.0,4,RENT,2000.0,EDUCATION,9.7,0.05,8,610,Yes,0
53,male,Associate,29526.0,32,RENT,5000.0,EDUCATION,14.42,0.17,27,670,No,1
28,male,Master,14350.0,4,MORTGAGE,2150.0,DEBTCONSOLIDATION,10.78,0.15,6,672,No,1
26,male,High School,42168.0,3,RENT,4000.0,MEDICAL,15.98,0.09,7,666,No,1
24,female,Master,118627.0,0,MORTGAGE,13200.0,DEBTCONSOLIDATION,15.28,0.11,3,668,No,1
22,male,Associate,38429.0,0,RENT,6400.0,MEDICAL,9.32,0.17,4,642,Yes,0
29,male,Bachelor,130529.0,7,MORTGAGE,35000.0,DEBTCONSOLIDATION,16.28,0.27,7,554,No,1
32,male,Associate,76573.0,8,MORTGAGE,7066.0,VENTURE,16.77,0.09,8,601,Yes,0
23,male,High School,18616.0,1,RENT,4750.0,EDUCATION,11.11,0.26,2,637,No,1
23,female,Master,42058.0,1,RENT,1758.0,DEBTCONSOLIDATION,11.84,0.04,3,593,No,1
24,female,Master,106097.0,2,RENT,20000.0,DEBTCONSOLIDATION,13.25,0.19,5,585,Yes,0
23,male,High School,76727.0,0,RENT,5600.0,DEBTCONSOLIDATION,8.49,0.07,4,619,No,0
27,female,Bachelor,54037.0,7,RENT,15000.0,MEDICAL,11.48,0.28,5,662,No,1
27,female,High School,72507.0,1,MORTGAGE,6000.0,EDUCATION,16.13,0.08,6,620,No,1
27,male,Master,104148.0,6,MORTGAGE,16000.0,HOMEIMPROVEMENT,14.42,0.15,6,587,Yes,0
25,female,High School,66375.0,3,RENT,7909.0,HOMEIMPROVEMENT,11.08,0.12,4,572,No,1
22,male,Bachelor,35828.0,2,RENT,4000.0,EDUCATION,15.33,0.11,4,568,No,1
26,female,High School,75800.0,0,RENT,5500.0,PERSONAL,9.76,0.07,4,648,Yes,0
37,female,High School,30919.0,14,OWN,5000.0,VENTURE,9.91,0.16,11,581,Yes,0
26,male,Bachelor,42054.0,0,RENT,7000.0,DEBTCONSOLIDATION,15.42,0.17,5,663,No,1
27,male,Bachelor,37942.0,1,MORTGAGE,5444.0,EDUCATION,9.67,0.14,7,675,No,0
25,female,Associate,53712.0,3,RENT,8000.0,MEDICAL,12.92,0.15,4,545,No,1
28,male,Master,51512.0,8,RENT,5000.0,MEDICAL,5.42,0.1,5,590,No,0
37,female,High School,141382.0,14,MORTGAGE,10000.0,PERSONAL,8.94,0.07,11,531,Yes,0
28,male,High School,87747.0,3,OWN,25000.0,MEDICAL,11.11,0.28,8,651,No,0
26,female,Associate,43529.0,4,RENT,8400.0,DEBTCONSOLIDATION,17.27,0.19,4,685,No,1
49,male,High School,87666.0,29,MORTGAGE,14825.0,VENTURE,6.03,0.17,12,703,No,0
32,female,Associate,93800.0,9,MORTGAGE,10000.0,DEBTCONSOLIDATION,18.43,0.11,6,640,No,1
34,male,High School,192605.0,13,RENT,11439.0,VENTURE,13.08,0.06,8,629,No,1
25,female,High School,53873.0,5,MORTGAGE,6376.0,EDUCATION,10.99,0.12,3,630,Yes,0
22,male,High School,25644.0,2,OWN,3800.0,DEBTCONSOLIDATION,11.01,0.15,3,645,No,0
35,female,Bachelor,81579.0,12,RENT,13000.0,VENTURE,11.81,0.16,14,675,No,0
27,male,Bachelor,58646.0,6,RENT,5500.0,MEDICAL,11.5,0.09,5,600,Yes,0
31,male,High School,11112.0,8,OWN,2500.0,PERSONAL,7.14,0.22,8,639,No,1
33,male,Bachelor,51404.0,13,RENT,12000.0,PERSONAL,13.57,0.23,7,665,No,0
24,male,High School,118685.0,3,MORTGAGE,24000.0,MEDICAL,17.39,0.2,3,656,No,1
31,female,Bachelor,122194.0,8,MORTGAGE,17000.0,DEBTCONSOLIDATION,11.01,0.14,8,516,Yes,0
23,female,Associate,73080.0,2,MORTGAGE,9500.0,PERSONAL,12.53,0.13,2,675,Yes,0
21,female,Bachelor,55627.0,0,RENT,17475.0,DEBTCONSOLIDATION,9.91,0.31,2,628,No,1
24,female,Bachelor,71746.0,3,RENT,16000.0,MEDICAL,16.39,0.22,3,561,No,1
23,male,High School,26127.0,0,RENT,3724.0,PERSONAL,15.82,0.14,2,685,No,1
24,male,High School,159202.0,1,MORTGAGE,10000.0,HOMEIMPROVEMENT,8.76,0.06,4,629,Yes,0
26,male,Bachelor,53883.0,4,RENT,12500.0,HOMEIMPROVEMENT,20.0,0.23,2,694,No,1
34,male,Master,54556.0,10,MORTGAGE,12000.0,DEBTCONSOLIDATION,11.86,0.22,5,674,Yes,0
26,male,Master,41730.0,3,RENT,12000.0,DEBTCONSOLIDATION,10.39,0.29,2,646,No,1
24,male,High School,109314.0,3,MORTGAGE,7500.0,EDUCATION,11.01,0.07,3,678,No,0
22,male,Associate,47572.0,0,RENT,2000.0,DEBTCONSOLIDATION,14.84,0.04,2,602,No,1
25,male,Associate,64591.0,3,RENT,7500.0,MEDICAL,12.92,0.12,4,610,No,1
43,female,High School,56228.0,22,MORTGAGE,6300.0,EDUCATION,7.51,0.11,14,684,Yes,0
26,female,Associate,46564.0,4,RENT,12000.0,MEDICAL,5.99,0.26,2,623,No,1
43,male,Associate,22639.0,21,RENT,1111.0,PERSONAL,14.78,0.05,14,594,No,1
22,male,High School,36966.0,0,RENT,5000.0,DEBTCONSOLIDATION,14.54,0.14,4,646,No,1
35,male,High School,60481.0,13,RENT,7000.0,PERSONAL,11.49,0.12,9,664,Yes,0
29,male,Associate,75611.0,5,RENT,12000.0,PERSONAL,19.03,0.16,6,590,No,0
44,female,Associate,96637.0,24,MORTGAGE,10000.0,HOMEIMPROVEMENT,6.65,0.1,15,700,No,0
31,male,Bachelor,43032.0,8,RENT,12000.0,DEBTCONSOLIDATION,7.46,0.28,10,595,No,1
24,male,Associate,53810.0,0,RENT,5000.0,MEDICAL,14.91,0.09,2,537,No,1
27,male,Bachelor,97213.0,0,MORTGAGE,15000.0,EDUCATION,15.58,0.15,3,577,Yes,0
24,male,High School,63877.0,1,MORTGAGE,6235.0,DEBTCONSOLIDATION,13.71,0.1,3,509,No,1
24,male,Associate,100623.0,2,RENT,9000.0,PERSONAL,15.05,0.09,3,617,No,1
21,female,High School,10659.0,0,RENT,3000.0,MEDICAL,7.88,0.28,2,601,No,1
31,male,Bachelor,94540.0,13,RENT,10000.0,EDUCATION,14.27,0.11,10,709,No,1
29,male,Master,72900.0,5,RENT,17000.0,PERSONAL,14.12,0.23,9,617,Yes,0
27,female,Associate,92002.0,0,RENT,13624.0,MEDICAL,16.36,0.15,7,598,No,1
32,male,Associate,37354.0,7,OWN,5000.0,MEDICAL,13.59,0.13,10,675,Yes,0
39,male,High School,53554.0,16,OWN,10000.0,PERSONAL,7.62,0.19,15,656,Yes,0
27,male,High School,144731.0,7,MORTGAGE,25000.0,HOMEIMPROVEMENT,16.07,0.17,10,650,Yes,0
28,female,Master,40144.0,6,RENT,8000.0,DEBTCONSOLIDATION,11.01,0.2,7,574,No,1
26,male,Associate,85101.0,5,RENT,15000.0,VENTURE,16.35,0.18,3,502,Yes,0
25,female,Bachelor,109060.0,5,MORTGAGE,10000.0,VENTURE,12.61,0.09,3,705,No,0
30,female,High School,72923.0,10,RENT,7200.0,HOMEIMPROVEMENT,6.76,0.1,8,592,Yes,0
42,female,Associate,94319.0,19,MORTGAGE,7000.0,DEBTCONSOLIDATION,5.42,0.07,15,704,No,1
28,male,High School,56406.0,7,RENT,11000.0,MEDICAL,14.74,0.2,7,640,No,1
24,female,Master,47453.0,2,RENT,1500.0,EDUCATION,8.49,0.03,3,607,No,1
30,male,Bachelor,144932.0,8,MORTGAGE,15000.0,PERSONAL,7.92,0.1,8,671,Yes,0
36,female,Associate,96271.0,10,MORTGAGE,10000.0,PERSONAL,6.03,0.1,14,740,No,0
31,male,Bachelor,36840.0,10,RENT,12000.0,DEBTCONSOLIDATION,14.86,0.33,6,642,No,1
26,male,Associate,65984.0,4,MORTGAGE,5000.0,MEDICAL,15.62,0.08,4,633,No,1
33,male,High School,35033.0,8,RENT,9000.0,EDUCATION,11.01,0.26,8,666,No,1
27,female,Associate,41635.0,3,RENT,2100.0,PERSONAL,12.15,0.05,9,682,No,0
24,female,Master,121067.0,4,RENT,8400.0,MEDICAL,13.06,0.07,4,583,No,0
22,female,High School,79076.0,0,RENT,13000.0,EDUCATION,11.01,0.16,4,663,Yes,0
24,male,Master,100509.0,2,RENT,27000.0,PERSONAL,13.49,0.27,2,673,No,1
42,male,High School,17421.0,23,RENT,1700.0,EDUCATION,13.16,0.1,13,631,Yes,0
39,male,High School,8000.0,15,RENT,1267.0,EDUCATION,12.16,0.16,16,640,No,1
27,female,Master,66875.0,5,RENT,20000.0,DEBTCONSOLIDATION,12.46,0.3,6,682,No,1
23,female,Bachelor,127785.0,2,RENT,15000.0,VENTURE,15.95,0.12,3,667,No,0
30,male,High School,33374.0,9,RENT,8402.0,EDUCATION,11.18,0.25,9,455,No,1
24,female,Master,54738.0,0,MORTGAGE,10000.0,PERSONAL,5.79,0.18,4,658,Yes,0
27,male,High School,80084.0,6,RENT,6000.0,DEBTCONSOLIDATION,11.01,0.07,8,631,No,1
25,female,High School,72001.0,3,RENT,5000.0,MEDICAL,15.62,0.07,3,615,No,1
28,male,High School,30835.0,10,RENT,3000.0,DEBTCONSOLIDATION,5.42,0.1,6,581,Yes,0
26,female,Master,190662.0,4,RENT,4000.0,HOMEIMPROVEMENT,14.84,0.02,3,670,No,1
22,male,High School,38044.0,0,MORTGAGE,3000.0,MEDICAL,12.54,0.08,3,671,No,0
40,male,High School,145043.0,19,MORTGAGE,20000.0,EDUCATION,10.96,0.14,11,707,No,0
28,male,High School,68116.0,4,RENT,5036.0,MEDICAL,12.66,0.07,5,668,No,1
24,male,High School,120283.0,0,MORTGAGE,12000.0,HOMEIMPROVEMENT,9.62,0.1,3,580,No,0
27,female,Bachelor,36705.0,4,RENT,2500.0,MEDICAL,11.14,0.07,5,640,No,0
24,male,Master,60710.0,2,RENT,5000.0,EDUCATION,11.03,0.08,2,610,Yes,0
22,female,Associate,22669.0,3,RENT,3600.0,HOMEIMPROVEMENT,6.91,0.16,3,509,No,1
24,male,Associate,84246.0,1,MORTGAGE,2400.0,MEDICAL,11.01,0.03,4,613,Yes,0
23,male,Master,62148.0,0,RENT,13500.0,DEBTCONSOLIDATION,12.23,0.22,2,692,Yes,0
27,male,Bachelor,78924.0,4,MORTGAGE,4500.0,HOMEIMPROVEMENT,13.92,0.06,7,665,No,0
50,male,Associate,139989.0,27,MORTGAGE,5000.0,PERSONAL,10.25,0.04,17,694,Yes,0
41,female,Master,35383.0,23,RENT,6500.0,MEDICAL,12.69,0.18,15,673,No,0
23,male,Associate,13611.0,0,RENT,2800.0,DEBTCONSOLIDATION,9.99,0.21,4,563,No,1
24,female,Associate,92185.0,2,RENT,10000.0,DEBTCONSOLIDATION,16.0,0.11,2,647,No,1
27,female,Master,54668.0,2,RENT,12800.0,PERSONAL,11.83,0.23,8,674,Yes,0
25,female,Associate,60955.0,1,RENT,4000.0,PERSONAL,14.61,0.07,4,624,No,0
27,female,Associate,28573.0,3,RENT,8500.0,VENTURE,11.01,0.3,7,620,No,1
23,female,Bachelor,54596.0,1,MORTGAGE,15000.0,VENTURE,12.26,0.27,3,714,Yes,0
35,male,Master,47514.0,11,RENT,10000.0,MEDICAL,12.36,0.21,7,642,No,1
26,male,Master,61960.0,2,MORTGAGE,8454.0,EDUCATION,9.77,0.14,4,675,No,0
31,male,Associate,73112.0,9,MORTGAGE,6000.0,EDUCATION,15.3,0.08,11,605,No,1
27,male,Bachelor,246546.0,7,MORTGAGE,10764.0,EDUCATION,9.63,0.04,6,694,Yes,0
27,male,Associate,91135.0,8,RENT,14000.0,VENTURE,9.63,0.15,7,680,Yes,0
24,female,Bachelor,20464.0,1,RENT,4159.0,EDUCATION,10.39,0.2,4,593,No,1
32,male,Bachelor,31020.0,12,RENT,11765.0,PERSONAL,12.07,0.38,10,704,No,1
23,female,High School,65714.0,4,RENT,20000.0,VENTURE,11.83,0.3,2,615,No,1
25,male,High School,72094.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,6.03,0.07,3,549,No,1
28,male,Associate,87961.0,5,MORTGAGE,14000.0,EDUCATION,15.03,0.16,8,532,No,1
23,female,Bachelor,130858.0,1,MORTGAGE,4000.0,DEBTCONSOLIDATION,11.01,0.03,2,567,No,1
25,female,Bachelor,36794.0,4,RENT,12000.0,DEBTCONSOLIDATION,6.07,0.33,4,647,No,1
23,male,Associate,80180.0,0,RENT,20000.0,VENTURE,14.11,0.25,3,666,No,1
24,male,High School,97157.0,0,RENT,20000.0,VENTURE,13.06,0.21,4,545,Yes,0
29,male,Bachelor,52580.0,5,RENT,6000.0,VENTURE,15.96,0.11,9,699,No,1
21,male,Bachelor,71970.0,0,RENT,5000.0,MEDICAL,14.22,0.07,3,716,No,1
37,female,High School,67412.0,13,RENT,30000.0,DEBTCONSOLIDATION,9.91,0.45,15,637,No,1
39,female,Associate,181597.0,15,MORTGAGE,21000.0,DEBTCONSOLIDATION,11.01,0.12,12,619,Yes,0
30,female,Associate,50502.0,8,RENT,3249.0,DEBTCONSOLIDATION,13.6,0.06,6,604,No,1
28,male,High School,87575.0,3,MORTGAGE,9500.0,MEDICAL,13.9,0.11,7,612,No,0
23,male,Master,44127.0,1,RENT,10977.0,HOMEIMPROVEMENT,13.06,0.25,4,658,No,1
30,male,Bachelor,178654.0,6,RENT,25000.0,EDUCATION,15.95,0.14,8,591,No,1
47,female,High School,93640.0,25,MORTGAGE,25000.0,EDUCATION,10.99,0.27,14,669,No,0
28,male,Bachelor,68210.0,8,MORTGAGE,5050.0,MEDICAL,12.29,0.07,8,633,No,1
25,female,Master,60985.0,2,MORTGAGE,6400.0,EDUCATION,8.32,0.1,3,639,Yes,0
23,male,High School,157144.0,0,MORTGAGE,30000.0,VENTURE,11.11,0.19,4,615,Yes,0
24,male,High School,43329.0,3,RENT,16000.0,MEDICAL,11.71,0.37,3,628,No,1
21,male,Associate,30739.0,0,RENT,5000.0,EDUCATION,16.45,0.16,4,643,No,1
23,female,High School,39957.0,1,RENT,3000.0,VENTURE,10.0,0.08,2,641,Yes,0
22,female,Bachelor,16020.0,0,RENT,4000.0,PERSONAL,10.37,0.25,4,625,No,1
26,male,Master,44605.0,6,RENT,5500.0,PERSONAL,10.65,0.12,2,636,Yes,0
24,female,Associate,50397.0,1,OWN,9200.0,VENTURE,12.42,0.18,2,592,No,0
23,male,High School,71688.0,0,RENT,20000.0,DEBTCONSOLIDATION,10.83,0.28,2,584,No,1
24,female,High School,29876.0,1,RENT,3600.0,DEBTCONSOLIDATION,6.62,0.12,4,643,No,1
22,female,High School,121617.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.96,0.21,2,629,No,1
31,male,Associate,361327.0,7,MORTGAGE,25000.0,VENTURE,14.83,0.07,9,619,Yes,0
23,female,High School,144865.0,0,MORTGAGE,4000.0,EDUCATION,10.65,0.03,2,582,Yes,0
22,male,Bachelor,102475.0,1,RENT,3133.0,EDUCATION,9.32,0.03,4,550,Yes,0
23,female,Bachelor,33579.0,2,RENT,6000.0,EDUCATION,11.66,0.18,3,616,Yes,0
29,male,Associate,61234.0,6,RENT,14454.0,DEBTCONSOLIDATION,11.01,0.24,5,524,Yes,0
23,female,Associate,34746.0,2,MORTGAGE,9500.0,DEBTCONSOLIDATION,15.62,0.27,2,630,No,1
28,female,Master,108608.0,7,MORTGAGE,12000.0,HOMEIMPROVEMENT,13.92,0.11,6,679,Yes,0
33,male,Bachelor,70433.0,9,RENT,17500.0,DEBTCONSOLIDATION,13.57,0.25,10,622,Yes,0
30,female,Associate,145301.0,8,MORTGAGE,15000.0,HOMEIMPROVEMENT,10.99,0.1,6,702,No,0
22,male,High School,36967.0,1,RENT,12250.0,HOMEIMPROVEMENT,13.67,0.33,4,565,No,1
29,male,Master,73165.0,5,RENT,10000.0,DEBTCONSOLIDATION,8.59,0.14,5,600,No,0
21,male,High School,18221.0,0,RENT,1000.0,VENTURE,16.29,0.05,4,559,No,1
27,female,Associate,87487.0,5,RENT,25000.0,DEBTCONSOLIDATION,15.95,0.29,6,637,No,1
22,male,Master,58481.0,0,RENT,7239.0,PERSONAL,11.97,0.12,4,609,No,0
25,female,Associate,23029.0,0,RENT,2000.0,DEBTCONSOLIDATION,7.51,0.09,4,685,No,1
25,male,Associate,132827.0,6,RENT,12000.0,HOMEIMPROVEMENT,12.23,0.09,2,624,No,0
36,female,Master,58653.0,12,MORTGAGE,1500.0,EDUCATION,13.92,0.03,13,690,No,1
21,female,Associate,87582.0,0,MORTGAGE,8000.0,VENTURE,6.99,0.09,2,624,Yes,0
25,female,Associate,96603.0,3,RENT,12000.0,MEDICAL,10.3,0.12,3,623,Yes,0
23,female,High School,34597.0,0,OWN,7000.0,VENTURE,9.99,0.2,4,570,Yes,0
23,male,High School,83739.0,0,RENT,9000.0,EDUCATION,9.63,0.11,4,575,No,1
25,male,Bachelor,49143.0,0,MORTGAGE,9250.0,MEDICAL,9.63,0.19,3,664,No,1
26,female,Associate,216540.0,1,MORTGAGE,25000.0,HOMEIMPROVEMENT,10.99,0.12,4,633,No,0
28,female,Master,66881.0,3,RENT,12000.0,HOMEIMPROVEMENT,10.36,0.18,7,617,Yes,0
21,male,High School,32599.0,0,RENT,3500.0,DEBTCONSOLIDATION,8.49,0.11,3,647,No,1
26,male,High School,79831.0,4,RENT,24165.0,VENTURE,12.23,0.3,4,672,No,1
41,male,High School,129398.0,18,RENT,3754.0,VENTURE,12.88,0.03,12,669,No,0
25,male,Master,270972.0,1,MORTGAGE,25000.0,VENTURE,18.67,0.09,2,640,Yes,0
29,female,Associate,144676.0,9,MORTGAGE,16000.0,VENTURE,12.42,0.11,9,642,Yes,0
