normal_tails,heavy_tails
-0.72694,-0.35353
-1.11661,-0.95764
1.33455,-0.56693
-0.29357,-0.85767
-1.0374,-0.2094
-0.41907,0.39894
2.49965,1.49668
-0.10747,-0.39295
0.85002,0.63919
0.46518,-2.49405
-0.01238,-1.5343
-0.6927,-1.04395
-0.3343,-0.21065
-0.35445,1.71364
-2.20928,-0.94786
2.59013,0.17458
0.92484,-1.76731
0.11629,-0.3577
-0.20335,0.27857
-0.78964,0.31583
0.94962,0.53427
-0.18686,0.00467
0.47927,0.12534
-1.3875,-1.83541
0.37848,0.24265
2.0003,-0.18498
-0.28963,-0.98913
0.79995,0.0015
0.03533,-0.31573
1.10519,-0.39369
1.06742,-0.74844
0.06165,-1.04356
-0.55959,-3.41275
0.28675,-0.38903
0.04177,0.05844
-0.6179,-0.10097
0.45648,1.53746
0.43232,-1.7889
-0.88903,0.02231
-0.11149,-0.51909
2.92114,0.40157
0.81683,0.64365
0.09778,0.22501
2.51108,-0.22237
-0.4554,1.37812
-2.47685,0.27498
-1.90694,-0.13286
-1.51951,0.37396
0.26006,3.79287
0.97636,-0.64546
-2.17019,0.60515
1.11724,0.41603
-1.22774,-0.55332
0.25643,0.58872
0.46392,0.03146
0.43233,0.32634
0.00755,-0.21554
0.171,0.39568
-1.13982,-0.55872
0.27822,0.03225
0.97965,-0.1192
0.92622,-0.22395
2.61285,2.27693
1.08323,0.2818
0.72643,-0.0994
1.6635,-1.7324
0.24114,-0.00405
-1.28988,2.11043
-2.23986,-1.4911
1.27657,-3.02506
0.56803,0.5423
0.8473,0.26656
-0.33287,0.57369
0.34483,0.0551
1.88238,-0.22891
0.33483,0.26948
-1.11552,0.14406
-0.43145,0.55069
1.38511,-0.45778
-1.08996,-0.71661
-2.58143,0.2267
-2.29396,0.63506
-1.33894,-1.32568
0.79939,0.92569
0.08846,-0.27498
-0.75728,-0.08199
-1.28514,-0.04286
-0.11399,-1.33373
-0.1596,-0.38278
-0.56393,1.01549
-0.24525,0.72227
-0.76318,0.04754
1.80322,-0.06852
-2.36694,0.10618
0.12219,0.11444
-1.01441,0.52472
0.70652,-0.30479
-0.23511,-0.5771
0.36602,-0.75843
0.5316,-0.34758
0.20533,0.38
0.99104,1.1775
-1.39148,-1.03286
0.9517,0.57673
-0.21894,0.68367
0.38064,0.75936
1.55653,0.29255
1.12441,0.02418
1.98391,0.78124
-2.25059,1.55645
-0.95588,-0.15798
0.96417,1.58753
-1.13068,0.6102
-0.18259,0.00663
1.70788,-0.83685
0.8747,1.21525
-0.96227,0.02176
0.45381,0.1497
0.6453,-0.25157
0.06738,-0.54778
-0.10051,-0.28547
0.14156,-0.10265
-1.50051,0.46763
0.12651,-0.52842
-0.96691,-0.06834
0.39357,0.47346
0.42922,-0.14808
-0.89279,0.36267
0.61267,0.54349
0.35581,-1.52628
-0.0421,-1.82838
0.72581,-0.39468
-0.3128,1.59702
-0.28416,0.22634
0.07779,-0.27067
-0.05922,-1.45662
1.14217,-0.92337
-2.37395,-0.00274
-0.31047,-0.66815
-2.01496,0.03245
-0.52624,-1.41343
0.23223,1.54993
-0.02215,0.13066
0.93933,-0.69552
0.28663,-0.16186
-2.77687,-0.13252
-1.15834,0.40876
1.51366,0.09271
1.51592,1.35478
0.05235,0.72082
-1.60179,0.59228
2.1188,-0.33084
-2.15304,2.44596
0.25024,-0.16991
-0.11187,0.08961
0.17807,-0.21241
-1.24072,-0.58815
-0.47224,-0.21114
1.00215,-1.18854
-0.56639,0.57019
-1.46143,-0.28316
-0.09686,0.26944
0.00627,-0.06757
-0.22063,0.48027
-0.87738,-0.37802
0.45508,-0.37954
-0.21321,-1.52427
-1.2649,-0.73953
0.13264,0.32438
-0.11691,-0.1196
0.05894,-0.28231
-1.79318,-1.72739
-0.85779,0.06272
0.373,0.05008
0.8515,-0.12647
0.26849,0.86042
0.08493,0.3459
0.65748,-1.29516
0.91976,0.45016
1.70891,-0.29054
0.41616,0.56461
-0.6179,0.63048
0.43329,0.47787
-1.99431,0.83094
0.02023,-0.11327
-0.47737,-1.05705
-0.05159,-2.57908
0.46636,-0.87415
0.02859,-0.3338
-1.47224,0.0176
-0.37667,-0.27064
-0.81909,-1.18391
-0.03521,0.97468
0.34776,-0.32841
-0.97628,1.96496
0.72361,0.44459
1.29328,0.05193
-0.27888,1.39734
0.72146,-0.75021
-1.48951,-0.91308
-0.54754,0.06901
0.95777,0.2378
-1.77173,-0.00529
-0.51238,0.10202
-0.90211,-0.52162
1.14382,0.22247
1.14075,-0.42478
-0.62917,0.81415
0.11824,0.24011
-2.6186,-3.19688
0.84507,0.33667
0.34489,0.21555
1.32168,0.76944
-2.39361,0.24847
0.34245,0.26149
-0.35849,-2.38984
-2.61758,0.57664
-0.69848,1.68552
-0.08622,0.76635
0.79746,-0.66965
0.1902,-0.23962
-0.52238,-0.51173
0.4391,-2.22479
-0.11441,-0.3497
-0.65651,0.40935
-1.02658,0.13134
0.14284,0.48199
0.1509,0.15777
1.83577,0.48699
-0.45719,0.30431
1.59927,-0.16141
0.34606,-0.36156
1.17369,-0.29075
-0.9102,-0.83169
-0.8784,0.23293
-0.31216,0.20922
0.89271,-0.72467
0.17325,0.33587
0.7508,-0.54213
0.31596,-0.21605
1.02728,0.17875
0.197,-1.87245
-0.52649,1.3439
0.51405,-1.29057
0.09003,-0.11198
1.74834,-1.6367
-0.15972,0.29369
0.10902,-0.22454
-0.30644,0.08591
1.15611,1.01059
0.87462,-1.3228
0.6511,0.98068
-1.24669,-0.28096
-1.51655,0.55665
0.26487,0.5647
0.72204,-0.40193
1.4792,-0.99114
-1.79569,0.38105
-0.17031,-0.00554
-1.69046,1.09534
-0.96073,1.09174
-0.2211,0.91938
0.96302,-0.52871
-0.52662,-0.85718
-0.71818,0.78484
-0.31983,1.74766
1.25767,0.49331
2.41591,-1.3616
-1.54201,-0.37475
-0.2735,0.11502
-0.4303,-0.10331
1.1688,-0.80036
0.43567,0.41461
1.54073,-0.35558
-1.01213,-0.77851
0.01377,-0.59824
-0.45556,-0.26853
-1.09642,-0.03969
-0.15803,0.02252
-1.1845,-0.96034
2.17262,-0.76212
0.41729,0.96125
-1.01646,0.62855
-0.60605,-2.73035
1.73264,-0.93856
-0.47812,1.19388
0.69411,0.57078
0.58365,-0.28959
1.09273,0.10141
0.63472,0.14842
-0.21011,-0.19197
-0.5915,0.813
-1.77578,-0.67942
-0.04765,0.04345
0.1387,-0.24074
-0.36019,0.13926
-0.14364,0.82073
-1.21395,0.46318
2.17117,0.42991
-0.50101,-1.6606
-1.0354,-0.40298
-0.59701,-0.07537
-0.16847,0.16885
0.7419,8.28773
-2.42735,0.20883
0.51576,-1.21649
-0.61585,0.16305
-0.17923,0.52064
1.01746,-0.3338
0.7667,1.39655
-0.67818,-0.06386
-0.09273,1.04517
1.87401,-1.31632
1.3631,0.08014
0.87076,-0.48299
0.01163,0.37712
0.96578,0.60692
0.40044,0.33101
-0.54522,0.1675
-0.99704,-0.4202
0.52706,-0.76135
0.3865,-0.55566
1.21156,-0.12859
-0.47899,-0.49876
1.40685,3.0318
-0.36106,-0.62452
1.26039,-1.60786
0.55076,-0.27709
-0.57274,0.80068
-0.94309,0.40849
-0.11643,0.73793
-0.26016,1.71563
0.94427,0.16504
-0.68762,-0.01082
-1.47427,-0.38144
-0.01495,0.02631
1.92659,0.26654
1.6422,-0.45893
-0.61804,0.39687
-0.27046,-0.67856
0.32262,0.02504
-0.65959,0.36854
-0.24155,-1.81086
-0.27184,-1.83129
-1.0465,0.48922
-0.61499,0.51167
-0.48149,0.64505
0.23836,-0.1939
-1.17979,0.42819
0.10856,-0.07876
-0.97894,-0.8708
-0.80585,-0.28951
-1.12103,-0.76785
4.01501,-0.19317
1.25999,2.34502
1.34829,0.30073
0.81619,0.33087
-0.23216,-0.0897
0.07069,0.82354
0.29227,0.94699
0.45044,0.39632
0.5978,0.59959
1.52967,0.02969
-2.95719,0.07763
-0.55234,-0.8717
0.68017,-1.28911
-0.35549,-0.62991
-0.15413,0.4051
1.49367,0.44049
0.19407,-0.865
1.78507,1.67963
-0.04147,-0.0539
0.23957,-0.15916
-1.06463,0.89759
-1.98564,-1.48621
-0.4167,0.39244
0.06352,1.0175
-0.34392,0.48437
-1.34674,-1.26737
0.65854,-0.0121
0.07285,1.15283
0.01096,-1.08395
-0.77702,0.15181
1.6503,-1.11092
1.47914,-0.82145
0.30929,-0.18167
-0.11463,-0.54515
0.25414,-0.34654
1.69788,0.09061
2.81184,0.50543
0.01323,0.42357
-0.42579,0.06456
-1.81158,1.0686
2.7993,-1.17392
-1.10366,-0.58727
0.87428,-0.74716
0.50167,1.4177
1.33594,0.04485
-0.85967,0.74471
-1.62013,-0.77624
0.15048,-0.86916
0.41273,0.77443
1.15137,-0.9078
-1.68484,-0.26594
-0.45268,-0.21147
-0.26186,4.13588
-1.35265,-0.29431
-0.16133,1.00391
0.8022,-0.32892
-0.03215,-0.46047
-1.43814,-0.94551
0.3488,0.65304
0.86129,-1.30521
0.53897,0.01781
0.79251,-0.22864
-1.65184,-0.13771
0.46366,1.48362
0.60313,-1.24854
-0.37379,0.85398
-0.05243,-1.1808
-0.77004,-0.20732
1.23897,1.99289
-0.29613,0.99257
-0.94233,0.13758
0.18935,-0.8813
0.11445,-0.08558
0.67185,0.51571
-0.83227,0.79564
-0.67451,-0.10959
0.38671,0.07895
2.24092,0.64772
0.4704,1.3769
-1.3611,0.12876
0.17207,-0.12314
-0.77655,-1.95258
-1.85035,0.17483
-0.68221,-0.39018
-0.57299,-0.91046
0.42174,0.61077
1.32517,2.95284
1.14298,-0.43707
0.81323,-0.51008
-0.42983,0.00399
0.15966,-2.4728
-0.03666,-0.01854
1.41381,0.25907
-0.64984,0.43957
-0.54743,-0.81568
1.50142,-0.09438
0.58146,-1.50119
-0.44623,0.69754
0.16898,-0.64443
0.15374,0.94297
0.19329,0.27101
0.80588,-0.04408
0.37177,-0.72282
-0.17954,1.6544
-0.50243,0.71029
-1.72522,-0.42955
-0.4328,-0.18086
1.15113,-0.29483
0.23226,0.82655
-0.64886,0.66682
-0.23847,0.23692
-0.85308,0.53875
0.29614,-1.26328
2.01591,-1.65922
1.81629,-0.33028
1.20762,-0.01214
0.78993,-4.57235
-0.21979,0.95898
-1.23551,0.89818
0.01964,-1.1401
-0.44068,0.39391
0.84235,0.14533
0.16933,0.19405
-0.56593,0.70779
0.46402,-1.28309
2.93635,-0.63215
-0.89662,-0.18704
1.15012,1.82469
0.60925,-0.10731
-0.08421,-0.96423
-0.74511,-0.53476
0.03494,1.00915
0.23494,0.93552
0.7859,-0.39873
0.72075,-0.07009
0.33564,0.60551
-0.66815,-0.43054
0.31849,1.06739
-0.45223,0.12385
-1.03053,-1.2447
0.91233,0.30527
-0.65084,2.89011
-1.18331,-0.44572
0.09824,-0.84936
-1.91974,-0.29403
-0.05341,-0.3398
0.46028,0.82996
-0.40993,1.01627
0.24871,0.04483
2.16728,-1.38968
1.43554,-0.463
0.94252,-0.4562
0.60926,0.02277
-0.50951,-0.3509
-0.13221,0.50215
-0.27942,-0.26208
0.0336,0.09666
0.12272,0.52264
-0.80496,0.3807
1.61889,-1.37387
-1.03822,0.46491
0.36669,0.3969
1.03786,-0.85365
-0.02648,-0.25481
-0.66803,-0.28439
0.03342,1.00843
1.94286,-0.2538
0.6261,-0.20415
-0.28961,0.59683
0.58505,-0.17386
-0.19637,-0.9406
-1.87655,0.10309
0.24435,-1.11999
1.04309,-1.92437
1.15547,-0.23707
-0.06525,3.13046
-1.41298,0.57666
1.1993,-0.5887
-0.15497,1.12265
0.73768,-0.43821
1.13095,-0.03103
0.33861,-0.42941
-0.06246,-0.1367
-0.63039,-1.13263
-0.43557,-0.05649
0.02831,-0.23025
-0.46639,0.80786
0.36002,0.41704
-1.96144,-0.89463
-1.01893,-0.29068
-0.03862,0.58251
-0.70348,0.10432
-0.54749,1.43569
-1.1492,0.51909
0.66108,-0.71622
1.62042,-0.15351
-1.01999,-0.03406
1.13661,0.41411
-1.47007,-0.50567
0.12453,-0.29041
-2.02037,0.75537
0.46882,0.61761
0.00361,3.11027
0.1221,0.25257
1.19857,-1.22728
0.57283,-0.53565
-0.04824,-0.10996
-0.84249,-0.54757
0.02666,0.2942
-0.71812,1.50299
-0.44834,-0.40501
1.45266,0.29946
0.84959,-0.68283
0.26025,0.04645
0.60033,0.10707
-1.47256,-1.62035
0.07622,0.89523
-1.72344,0.59441
-0.69844,-0.56028
0.33612,2.51305
0.34211,0.46522
0.66424,0.71746
0.11606,4.01964
0.0088,-0.28515
-0.04674,-1.83446
1.35971,-1.31183
1.25307,0.85089
-1.50532,-1.00632
0.07837,1.81063
1.23807,0.83966
-0.31057,0.44783
0.16272,0.13173
-0.66167,-0.46135
-1.26395,0.24983
0.06623,-0.53999
-0.48092,-0.75807
-0.23854,0.24779
-1.52949,0.11776
-1.24716,0.9951
-0.22655,-0.56309
-0.54471,0.56823
0.44338,-0.06763
-1.16423,-0.42752
0.59178,2.12847
0.44756,0.02117
-0.03319,0.20986
0.51503,-0.23881
-0.21643,0.7482
-0.33218,0.06521
-0.16966,0.08764
-1.41136,0.15754
-0.18801,-0.20683
0.64389,-0.11181
-1.76004,0.91741
0.52801,-0.78594
-0.79394,0.21354
-0.5174,1.8431
-0.07323,0.09549
0.08427,3.56432
1.1977,0.2358
-0.30943,0.24065
1.54607,0.60284
-0.12258,0.23431
0.32281,0.15806
0.51404,0.3655
-0.82298,-1.25536
-1.27109,-1.57438
-0.03994,1.43369
0.55016,0.04583
0.71796,0.29364
-0.49596,-0.28035
1.62542,0.9514
-0.24866,0.46575
-0.79295,0.52956
1.05319,1.65813
1.12731,0.19449
-1.03278,0.65986
0.75395,-0.90929
-1.32653,-0.3837
-0.01115,0.01806
2.22259,0.49687
1.2562,-0.90919
0.68209,-0.18619
0.63289,-0.06135
-0.83016,-0.79513
0.33288,0.42526
0.45354,-0.15142
-1.02249,0.58031
0.21753,0.28119
0.56473,1.05382
0.23616,-0.43412
0.45394,-0.16783
-0.19957,-0.13796
-1.09072,-0.89733
0.06515,5.01119
-1.8843,-0.4797
-0.67823,-0.60114
1.12826,-1.47872
1.82256,0.25663
0.44775,-0.17113
-2.36387,0.18539
1.3792,-0.84987
0.58753,-0.194
-0.14245,0.93429
0.79633,0.18149
0.59482,-0.47716
-1.14062,0.2963
-1.24441,-1.05411
1.08967,-0.7293
-2.23747,0.39688
0.65289,-0.55782
0.37072,-3.64873
1.03499,-0.60208
1.7989,-1.64107
1.39541,-0.63422
1.61552,0.1472
0.88492,0.04083
0.5727,0.16326
1.1389,0.37339
0.06097,-0.30823
-0.83754,3.02752
-0.00514,1.00418
-1.52339,-0.13462
-0.47628,0.02779
2.13377,-0.09212
0.58989,-0.58108
-0.10401,0.13703
-0.52861,0.86326
-1.69879,-0.08718
-0.46906,-3.62
-0.70931,-1.68442
0.06292,-0.14575
0.14164,-0.71918
-0.00807,0.42218
-1.84942,0.00855
1.50607,-0.62368
0.49524,-1.04528
0.06111,0.48925
-0.27262,-0.6814
0.48906,-1.89857
1.29187,-0.97017
0.65252,0.35066
-1.11434,-1.11095
-1.21021,0.62475
-2.32003,1.28084
0.15964,0.04867
0.74332,-0.40407
1.24209,-0.4066
0.15514,-0.72905
0.83381,0.12876
-0.89926,0.78896
0.53232,-0.90431
-0.11481,1.11698
-0.65818,0.43555
-1.67374,-0.2889
1.15653,-5.34134
-2.24987,-0.1611
0.6253,0.31161
-0.80222,-0.17542
0.60582,-1.26984
-0.55498,-0.73508
0.75016,-2.29054
-0.22014,0.33853
-1.04772,0.50389
-0.52069,-0.64625
-1.61548,0.90413
0.26983,-0.09466
1.0361,-0.39322
0.41428,0.60679
0.10155,-0.17649
1.28414,0.23053
-1.17048,-0.79484
0.55073,-1.27735
0.00511,0.8895
-0.47491,-0.35512
0.5452,-0.2649
-1.1485,0.45277
-0.13801,0.08317
0.33367,-0.62287
-1.16842,-0.54786
-0.23797,-0.31875
0.52259,0.368
0.94841,-0.47573
-0.94565,-1.75038
0.89595,-0.56845
-0.29823,-0.59634
0.08972,0.10812
-0.55184,-1.74637
0.77717,-0.4088
-0.70828,-0.13013
0.27944,0.89624
0.37555,1.26966
0.75165,0.19745
-1.04284,-1.53284
0.77028,0.22207
0.0295,-0.16108
1.44794,-0.55116
-0.34768,0.44702
-0.57205,-0.02064
-0.06139,-2.37049
-0.31712,0.61328
-0.17466,1.07187
-1.27379,-0.34586
-2.08759,0.40048
-1.47478,-0.19812
-0.59811,-0.38431
0.42115,-1.2511
-0.31965,-0.7481
-0.96806,0.28126
-0.16428,0.1291
0.05346,0.8475
2.75248,1.31695
1.27006,-3.85481
0.17909,1.12714
-1.46307,-0.33188
-0.18444,-0.83721
-0.31326,-2.18845
0.54656,1.51049
2.11367,-0.00516
-0.07377,-0.30623
-1.9787,0.91674
-0.12476,0.2407
-1.68509,0.35894
0.83073,-0.667
1.09786,-0.07858
0.32874,-0.762
-1.49133,-0.08405
-0.18335,-0.62715
1.20883,0.73979
-1.00756,-0.20228
-0.59582,-0.1236
0.25219,1.00764
0.4941,-0.14732
0.07678,1.97542
0.33768,-0.55873
0.20611,1.25537
-0.58218,-1.1501
-0.08352,-0.03146
0.28281,0.72533
-1.09218,0.89308
0.19399,-1.01384
0.0972,0.35469
0.46133,-1.53763
0.34776,1.41537
-1.04914,-0.74972
-1.25844,0.79025
0.25008,-0.23047
-0.15062,-0.64432
0.10054,0.22313
-0.56354,-0.11927
-1.27784,0.17741
0.26757,-0.16685
-0.13211,0.01895
0.61375,-0.06878
1.09081,0.16593
1.09181,0.59144
0.98765,0.82324
-0.96018,-1.17599
-2.11208,0.64207
-0.61702,-0.32642
-1.21316,-0.70167
-1.32322,0.21505
0.64971,2.87643
-1.61654,-0.29335
0.9055,0.23551
1.08773,-1.5233
2.65322,-0.81777
1.03048,-0.38462
2.0883,-0.6695
-0.64873,-0.14723
-0.68929,-0.79855
0.97011,-0.02265
-1.32157,-0.67326
1.13251,0.59653
-0.2814,1.8634
-1.97198,-0.19389
1.84211,-0.54132
-1.12659,0.29588
2.48941,0.03375
-1.48244,0.25007
-0.85306,0.30163
0.20654,0.76811
0.00631,-0.14456
-1.58638,0.03607
0.10066,0.73596
0.17945,-0.92869
0.44757,-0.36542
-1.61337,0.42955
-0.6118,0.05859
-0.11297,0.43906
0.7983,-0.66694
0.15913,-0.83904
-0.35304,-1.15277
-0.43053,0.96959
1.45296,0.29844
-0.82406,-0.95204
0.29225,-1.20034
-2.17425,0.06454
1.69428,0.48285
0.45293,-0.25197
-1.76482,0.30309
0.59943,-0.30707
1.38204,0.76203
0.81226,-0.48907
0.07001,0.90293
0.84043,1.24545
-0.74803,-0.14857
-0.25884,-0.38902
-0.36221,0.76897
0.07093,-0.47461
-1.04817,0.13685
1.37222,-0.57478
-0.12945,-0.07698
-1.08348,0.68384
-0.22282,-1.32122
0.36036,0.04133
0.04042,0.58458
1.09495,-0.41043
-0.362,0.20324
-0.77524,0.97039
0.49612,12.73346
1.27381,1.00545
-0.9711,-6.0482
-1.59186,-0.42329
-0.64929,-0.24145
-0.08174,1.2123
-1.03547,-0.10988
0.1555,-0.32602
-0.87051,-0.2867
0.88394,0.49267
-1.19525,-0.62333
-0.92275,-0.08765
0.06125,0.22039
0.6641,0.54859
0.90974,0.63823
-0.70096,1.17661
0.00589,-0.11373
0.52573,0.23748
1.41181,1.03001
-0.90549,-0.43732
-1.26089,-0.3334
0.4677,0.14182
-0.26712,1.13355
1.3315,-0.03379
0.00874,-0.6448
0.30805,-1.3451
-0.80169,-1.92853
0.26254,-0.52884
1.20633,1.78969
-0.26474,0.18061
-1.20938,0.36072
0.86693,-0.01977
-0.32722,0.32366
0.0376,0.19273
-0.73262,0.34005
0.92298,0.7244
-0.76432,0.26894
-0.50176,-0.11221
-0.0124,3.64729
-0.22153,0.39512
-2.26268,-0.09969
0.44969,-0.33389
-1.18679,0.34839
0.2366,-1.145
-0.41109,-1.50887
-0.14486,0.15351
-0.75681,0.21088
-1.08397,0.26868
0.12152,1.20772
0.19359,-3.82393
0.98655,-0.14241
0.51555,0.52147
-0.72351,-3.58848
1.14429,-0.03036
2.18192,0.42361
0.69325,0.34965
-0.21459,0.34082
-0.99126,0.17788
0.06385,-0.20892
-1.46112,-0.80438
0.76821,1.2261
-0.40619,0.27937
-0.60107,0.38078
0.23077,-0.68292
-1.26784,0.34288
-1.76726,0.38466
-0.46548,-0.07063
1.18784,-0.18742
-0.87738,1.68987
0.84111,-0.40122
-1.86713,0.0652
-0.09455,0.42987
0.48021,-1.0177
1.75497,0.10632
-1.79031,-1.00853
-0.09583,-0.70461
-0.93745,0.60487
0.27377,-0.91033
-0.58368,3.87505
0.07033,0.2603
-0.78717,-0.18077
-0.58586,-0.0182
0.36704,-0.33938
1.45706,0.20901
0.17599,0.17043
0.08887,-0.09396
-0.49563,0.40339
1.54273,0.30893
-1.97071,-3.38911
-2.02151,-0.46918
-0.81124,-0.13729
0.40697,-0.18132
0.91222,2.55101
0.53402,-0.54235
0.71757,-0.47892
0.13044,0.53924
-0.50127,-0.03951
-1.09094,-0.62507
0.41393,0.00601
-0.97836,-0.53671
0.3858,-0.67775
0.70659,-1.11096
-0.64869,-0.11345
-0.47928,-0.05548
-0.58115,1.7975
0.64871,1.67592
0.12248,-0.8373
-0.69888,0.1283
0.23323,0.42755
1.46852,-0.25689
0.24757,-0.13828
0.09259,-0.03255
-0.43094,-0.35029
-0.9591,2.33788
-0.02884,-0.42901
0.03356,-0.88233
-0.3399,-0.459
1.14436,0.535
-0.26461,0.51464
-0.19065,0.83035
0.16042,1.0635
0.4973,0.66638
-1.81287,-1.14603
0.23079,-0.22756
1.21507,-0.05243
-1.13738,0.37267
0.35712,0.90374
-0.53467,-0.47253
-1.0136,8.09214
0.2334,1.48759
-0.12935,-0.7766
-2.09384,0.48655
-0.61249,-0.67082
0.77968,0.69828
-0.61083,-0.54695
-0.76664,-1.08629
-0.39405,0.96898
-0.46816,0.16584
0.7105,-0.06135
-0.86971,1.14421
-1.18433,-0.84692
0.40186,-3.23335
0.95914,0.26043
0.66924,-0.57566
0.80735,0.05886
-0.66794,0.27224
-1.48355,-0.26334
-0.71966,0.51127
-0.04522,0.33539
-1.70431,0.66083
-0.32104,0.67735
0.55511,0.14042
-0.70541,0.71924
1.94731,1.22641
0.72373,-0.91597
-1.22436,0.00524
-1.14001,0.17414
-0.71897,0.6661
0.68221,-0.22243
0.44252,-0.18924
-0.57361,-0.5717
0.14967,-0.26178
0.77291,0.75643
0.49959,-0.22246
-1.60731,0.23623
-1.09375,-0.15141
-0.92384,-0.49215
-1.72912,-0.64539
0.8312,-0.87398
-0.65521,-0.09166
-0.66666,-0.38428
-0.84653,-0.70827
0.28037,-0.28183
0.54233,-0.53249
0.64929,0.1824
1.20664,0.52533
-0.93985,-0.08913
1.59107,-1.36727
2.43621,2.529
-0.54144,-0.01727
-0.37359,-0.83059
0.58084,-0.47417
1.21085,-0.01351
-0.28188,-0.21822
-0.81429,-0.29252
2.04586,0.48522
-0.51106,-0.05034
-2.73322,-0.089
0.51832,1.99106
0.97653,1.14972
1.68382,0.24583
1.748,-2.158
3.0612,0.35394
-0.56264,-0.16631
-0.98587,-0.34595
-1.45409,0.79025
1.69284,-0.56118
-0.44145,0.53469
-1.6795,1.00447
-2.05764,0.81234
0.11891,1.1245
-0.43618,0.23518
0.30525,-0.54547
-0.86202,0.0467
-0.74159,-0.34801
0.45977,-0.41329
-0.20841,0.53565
0.56791,1.5953
-0.13551,0.67185
-0.29291,-0.80036
0.35222,-0.42617
-0.33386,0.0364
0.16879,-0.63349
0.4375,0.10575
-0.51756,-2.69215
-0.12548,-0.9525
0.09394,0.66848
0.66003,0.89472
0.2266,-1.35927
0.23604,-0.01968
0.45264,0.28741
-0.31923,0.79138
0.34549,0.56187
-0.74276,-0.32712
-1.82586,1.22791
0.39778,-0.20905
-1.95984,-0.59857
-0.16467,-0.17389
1.51492,-6.12335
0.70772,-0.46095
-1.02496,0.05222
0.72045,0.32783
0.225,0.15033
-0.84344,0.5553
-0.10987,-0.36376
-0.54245,-0.40996
-0.32217,-0.21548
0.31953,-2.09496
-1.55367,0.67778
0.83003,0.3322
1.989,0.05204
-0.16686,0.5357
-0.97685,2.80893
-0.41412,-0.46303
1.21058,0.34774
-0.5079,-0.41604
0.46677,-1.30492
2.26379,2.33842
-0.72317,-0.78185
0.09705,-1.49642
-0.57007,3.17675
-0.36968,0.15224
0.11709,0.83777
-0.74188,-0.3677
0.45231,-0.77805
0.17621,0.2162
1.16124,0.76671
0.68397,-0.05251
0.38301,-0.90217
1.49622,0.61824
-0.18894,-0.5466
0.63447,0.01636
-0.63077,0.03619
1.43365,0.11767
-0.70745,0.30532
0.98593,0.13428
-0.69294,-1.07675
0.24381,-1.03687
-1.02534,0.11877
-0.7271,-1.52975
-0.90444,0.45828
0.47687,0.52261
0.56805,-0.07759
0.79946,-2.18579
0.44901,0.29334
-0.14833,-2.68934
0.72389,-0.81079
1.61083,-2.4398
-0.30399,-0.85931
-0.66739,0.49189
0.63795,0.32127
2.11059,0.08788
0.0024,-1.42864
-0.23645,-0.57831
