f1,f2,f3,f4,f5,f6,target
-0.5326,-0.6838,-0.3405,0.1565,1.16,-0.7921,-0.6268
0.0068,-1.2883,1.4139,1.2199,-2.3249,0.1877,-0.0274
-0.2595,0.1451,0.2327,-0.0456,0.456,-0.2339,5.4607
1.2922,1.0198,-2.4031,0.9914,0.0775,-1.208,0.1839
-0.4024,0.3562,1.1186,1.2199,-0.4119,-0.2037,-0.1145
1.1364,0.0877,-0.3961,-2.1118,0.5689,0.3226,-0.1411
-0.415,-0.0434,-1.615,0.4716,1.3665,1.0726,-1.3743
-0.934,-0.7564,-0.5799,-0.4729,0.4638,0.8688,-1.4501
-0.818,-0.5186,-1.2626,2.3835,-1.1766,1.3637,0.8851
0.2807,0.3845,0.5072,-0.7662,0.9568,-1.5524,-0.3812
-0.3404,1.2151,0.2227,-1.2619,-0.7317,-0.6567,-1.7106
1.7541,-0.0312,0.017,0.6492,1.1315,-0.0755,3.8075
0.2092,-1.0306,0.0504,-1.8805,0.4147,0.7375,-1.0266
-1.0074,-0.5812,-0.6735,-1.585,0.9256,-0.8278,0.8589
-1.4484,-0.5221,0.6253,-0.6713,0.3184,-0.1341,1.5929
-0.1368,0.0781,1.2097,1.2344,0.8674,0.1379,-0.3938
-0.4585,-0.8547,1.9162,1.0183,-0.1563,0.4921,-1.6041
0.3495,1.5835,1.4988,-2.2248,1.0859,-0.3,2.6057
0.0205,-1.0922,-0.5574,-0.4205,0.5907,-0.7943,0.4639
-1.7002,-0.1402,-0.4681,-0.5283,0.307,-1.6551,-8.4679
-1.9651,0.1216,0.4173,0.9341,0.2289,1.2994,-2.8897
-0.6104,1.693,1.625,0.2706,-0.0609,-0.7589,3.5078
0.2357,-0.5913,0.4062,1.2714,0.6715,-1.4695,-3.3264
-1.3878,1.322,0.5977,1.4147,2.3508,0.03,4.264
0.128,-0.9293,0.9471,-1.4174,-0.5085,-0.8849,-3.2216
-1.8067,-0.8102,0.8,1.3121,1.0903,-0.0695,-4.6486
0.9257,-0.1549,0.8942,-0.541,-0.8633,-0.2223,4.7548
0.9486,1.8463,0.8646,-2.3295,0.4058,-0.4356,-0.4967
-0.4713,0.0802,-0.1141,0.7491,0.7209,-0.2559,3.8049
-0.5491,1.722,0.1593,-1.3046,0.6612,2.0266,0.1389
1.1635,1.9414,-0.5132,0.0682,2.4631,-0.3775,-0.5462
-1.7426,1.4948,-0.624,1.9616,1.4201,-1.1666,-4.7319
-1.6557,0.4172,-0.9244,0.4256,1.3849,-0.6142,-1.2182
0.829,0.9476,-0.7206,0.2553,-0.3172,0.3491,-0.9137
0.7179,-0.3068,0.6916,0.0956,0.6862,0.0776,4.4708
-0.3671,-1.9519,-1.4236,-2.1183,2.774,0.426,0.8615
-0.8095,-0.6998,0.7213,-0.2702,-0.1217,1.2406,-3.4968
-0.5199,-0.2283,-0.2651,1.2922,1.16,-0.0025,-2.2609
0.9576,-0.6058,0.2781,0.3248,0.6338,-2.962,1.629
-0.061,-0.9097,0.0915,0.1037,1.2176,0.6331,-1.3084
0.6354,0.3018,1.7227,-0.6348,0.3267,-1.0111,1.9638
1.6214,-0.9631,1.288,-2.395,1.023,-1.5522,5.3926
0.2751,0.7608,-0.1,-0.9972,-1.9806,-0.7443,2.3214
-0.7845,1.0548,-0.5283,-0.3212,-0.8497,-0.7275,-3.4214
0.2135,1.0812,-0.4202,-1.1286,-1.2164,-0.9531,-1.6058
0.7686,1.1107,-1.778,-0.5664,-1.3722,-0.5681,4.1259
-0.2423,1.2166,1.0151,-0.7746,0.0593,-1.486,3.0893
0.8245,0.2493,0.0741,0.1275,0.2516,-0.1119,1.3646
0.44,0.978,0.4287,-0.1645,-0.2983,0.6892,5.5724
-0.5086,-0.1015,0.4361,0.5054,2.367,-0.7409,-2.9935
-1.7875,-0.1525,0.7717,1.2982,0.8846,-0.7954,-2.9374
0.8327,-0.3417,0.6247,0.3449,-1.9097,-1.276,4.0019
-0.2914,0.2031,-0.6346,-0.2984,0.274,0.2126,-2.3062
1.2112,-0.6752,-0.4385,-0.5774,0.3072,-1.0386,0.3842
-1.8066,-0.4341,-1.1046,0.4215,0.9307,-1.8421,1.3101
0.3205,0.2317,1.4597,0.9105,-1.6872,1.1913,-0.8226
1.5666,-0.6242,1.9299,-0.9875,0.034,-0.872,1.7068
1.8064,1.1861,1.0014,-0.0011,0.0539,0.9323,3.6168
0.073,0.5164,0.8412,-0.1098,0.5361,0.0571,0.3919
-1.1475,2.0717,0.0379,-0.0082,-0.3424,-0.7658,0.3458
-0.5934,1.4607,0.8462,0.2456,1.2656,0.2176,2.0688
0.0131,0.5571,0.7976,-0.6335,-0.6506,0.7788,6.5877
1.8549,0.213,-1.1236,0.841,-0.0324,-0.0585,0.6438
-1.7873,1.9998,0.5191,-1.2254,-2.1036,1.3602,5.9941
-0.7662,-1.1595,-1.506,-0.8837,0.2299,0.5735,0.6777
0.5358,0.4457,-0.352,0.3033,-0.3964,1.6588,-0.6316
-0.5126,0.5967,-1.3225,0.9081,0.1658,0.4164,-2.9892
0.6425,0.3247,0.4881,0.6057,-0.6671,0.4534,5.825
0.1741,-1.1669,1.699,0.0807,0.3522,-0.2507,-0.7852
0.2209,0.4653,0.3606,0.8515,-1.8332,1.9956,1.2498
1.1302,0.0969,-0.1879,-0.7167,-1.4815,0.6869,0.3245
1.6039,-0.5738,0.4299,-2.8941,-0.784,-0.0356,-0.5047
-0.9319,0.8962,0.0293,-1.4256,1.4747,-1.7151,-2.9858
1.4341,1.0771,0.7936,1.566,-1.1814,-0.1991,0.2702
0.7419,0.397,1.7258,0.7426,-0.7351,-1.0495,4.4691
0.8143,-0.7667,0.0114,-1.0709,0.736,0.5915,0.941
-1.6055,-0.585,-0.2812,-0.2511,-0.2004,-0.1663,-3.5356
-0.9576,0.4648,-0.8088,-2.1136,-0.6117,0.0873,-5.6738
0.7491,-1.2832,0.2413,-0.339,1.5172,-0.1307,2.2071
0.234,1.7759,-0.9168,-3.1069,-2.3667,-1.8742,3.5144
-0.7436,-1.4049,1.0205,-0.0033,0.1207,0.0471,-6.3255
-1.6156,2.8521,1.2414,1.2166,-0.1169,-0.9995,-4.1362
-1.0665,1.657,1.1053,0.2077,-0.813,0.322,-1.511
0.4806,-0.8034,-0.5886,-0.5573,-0.5573,-1.4839,5.7459
-1.3274,1.8404,1.1003,0.1199,-0.3789,-0.7031,3.686
-1.3906,0.2977,-0.9976,0.7792,-1.8832,-0.0375,-5.9888
-0.3298,-0.9212,0.1688,0.1777,2.7651,-0.3846,2.1376
1.4562,-0.4305,-0.1614,0.1555,0.1794,-0.6938,2.9022
-0.0011,-0.1577,2.6219,-0.1878,-0.7112,0.2819,1.0056
2.0679,-0.3145,0.2392,-1.3089,0.909,0.8414,1.7556
1.2851,0.6954,1.4781,1.3424,-0.3313,0.4998,0.5202
-0.6503,2.6543,-0.6151,-0.685,0.138,1.341,-2.1039
-1.041,-0.6652,-0.635,1.7574,0.2089,0.1269,-2.735
-0.1749,2.5295,-0.8514,1.1368,0.9486,-0.7425,2.6251
0.7746,0.9979,-0.6495,1.2097,-0.3455,-1.2046,2.3996
-0.3363,0.5247,-0.9444,0.4702,0.4412,-0.902,1.2269
-0.0918,-0.6552,-0.3899,0.0686,0.2903,-0.3705,-0.3972
-0.4654,0.4194,-1.3641,0.066,0.4785,0.6408,0.735
-0.1451,1.1412,0.3667,0.7414,-1.2872,-1.2531,0.3723
-1.5746,-0.746,-0.4043,-1.5474,0.0131,-0.0306,2.2746
-1.083,-0.8546,0.2481,0.2854,0.5064,0.4185,-4.1284
-1.1812,0.2393,-1.0422,0.3773,0.521,1.1935,1.0981
-0.6261,-1.1813,-0.8516,0.1693,-0.3331,1.1967,-0.9012
-1.3442,-0.341,-0.9509,-0.1381,0.0453,-0.1787,-1.0568
0.061,0.4804,1.1917,0.4596,-1.0229,-0.2701,2.3312
0.7594,-0.1837,1.2888,0.2796,0.2465,1.2623,-3.5967
-1.5891,1.1491,1.3249,-0.3115,-0.1329,0.223,-0.6628
0.5896,-0.4646,0.2652,0.4635,-1.1536,-0.7095,-1.6382
0.7379,-1.0628,0.5594,-0.8726,-0.3741,-1.033,4.5261
-0.7701,-0.1734,-0.0702,-0.6857,1.0291,0.2322,-0.4466
0.0906,-0.8211,-0.3617,1.2315,-0.4268,0.5356,0.2037
-0.8932,0.5262,1.9767,1.6712,-1.1396,0.7548,0.5885
-1.6111,-0.1837,1.3748,0.2375,-1.223,1.4334,-1.458
-0.3377,0.2548,-0.1352,0.4371,-1.0679,0.9651,-4.2799
0.5249,-1.3591,0.4509,-0.9894,-0.7011,0.6172,-2.4855
0.0227,-0.7757,-1.7992,0.5694,0.9208,-0.1324,-2.8918
-1.1756,1.475,0.7066,2.1547,-0.8664,-1.238,-1.3861
-1.1163,1.1145,-0.4796,-1.2862,0.7471,1.469,0.3519
1.6626,0.639,0.7521,0.597,-1.2161,-0.668,-0.111
-1.2553,-0.01,0.8731,-0.8509,-0.5712,0.9255,-3.3097
1.52,0.8759,-0.3021,0.629,-1.2408,2.3492,5.8763
1.0411,-2.4367,0.0922,0.8506,-1.8554,-0.0733,-5.3604
-1.5386,0.2089,-0.6827,0.1999,-0.7971,-0.2754,-4.3349
0.8798,-0.6404,0.8321,1.1269,-1.0163,-0.9967,1.4708
-2.8136,0.6149,0.5732,-1.2315,-0.576,0.137,0.0658
-1.3171,1.3805,0.9714,-0.5814,1.0216,0.0772,-3.5324
0.1143,1.7937,1.3867,1.1899,-0.1023,0.3869,-1.2694
-0.7267,0.9859,0.6146,-0.0793,0.3044,-0.2253,-0.7715
-0.1932,0.5301,1.3607,0.475,0.1051,0.9272,1.744
0.5182,0.5565,-1.7284,0.1541,-0.9052,0.4511,-5.27
-1.3624,1.1136,-0.3382,-1.1059,-1.7985,-0.5134,1.4664
-1.749,-0.4916,1.4616,0.537,0.1125,-0.8237,-0.4502
0.8782,-0.3284,0.7889,0.7106,1.1715,-0.8551,4.6317
-0.5685,0.995,-1.3604,1.1055,-1.5799,0.7832,-0.2787
-1.3901,-0.3485,0.7676,-0.0206,-1.1776,0.9973,-1.1371
-0.7469,0.8177,-0.938,2.4778,0.1405,0.8405,-1.0154
0.6641,-0.699,1.0353,-0.1349,-1.299,1.2924,4.4471
-0.9031,1.3606,-0.842,0.239,-1.7046,-0.2258,-0.474
1.9173,-0.3099,0.1493,0.8547,0.5703,1.6756,4.3648
1.3215,-0.3438,0.4519,-2.5593,1.5683,1.1255,2.0574
-0.0596,0.2358,1.3159,-0.7829,0.8546,-1.5148,-2.3786
1.042,-1.7144,-1.1113,-1.3864,-0.313,0.1292,-2.9727
1.2306,-0.2232,-0.717,0.2078,1.4713,0.0113,-3.2214
0.9166,0.7697,-0.6319,1.2296,-0.1256,0.9298,2.4121
1.0279,0.3979,0.1493,0.374,-1.0285,1.524,1.5834
0.78,-1.5864,0.1448,-1.1213,2.2668,-0.6356,4.1526
-0.3818,0.7168,0.2274,-0.1519,-0.754,1.1014,-2.4853
-0.3521,-0.0363,-1.5672,-0.6007,0.378,0.2925,-1.402
-0.6835,0.3,0.015,-1.7115,-0.1199,0.0136,-0.9749
0.8772,-0.4926,-0.1761,1.2678,0.1595,0.4178,-0.0248
0.3943,1.0337,-0.4385,-0.2169,-0.6708,-1.687,3.5591
-0.6832,-2.6243,0.9443,-1.3119,-0.2408,-0.5001,-2.9826
0.2311,-3.1929,0.7305,1.0429,0.9564,-0.5766,1.5834
-0.0941,1.4282,-0.3078,1.2604,0.261,-0.4209,-2.7156
-1.0226,0.3085,-0.5066,1.6638,0.7557,-0.9603,-0.7162
0.5178,-0.5686,-0.3871,0.206,-0.6476,0.0014,0.5298
1.2799,0.6397,-0.0972,1.025,2.0,1.1712,-1.4761
0.0201,0.7538,-0.2075,-0.1939,-0.2759,1.4866,-2.4886
0.5524,1.3088,1.8004,-0.4465,-1.1142,-0.529,3.0287
0.9613,1.7188,-0.1253,1.1829,-0.8866,-0.3184,3.9945
1.5026,-0.3439,0.3806,0.2301,-0.5493,-0.6317,3.5616
-0.6539,0.159,-0.5764,0.2612,-0.5799,1.0914,-1.7351
-0.8198,-0.611,-2.5644,-0.1548,-2.3154,-0.3239,-0.7321
0.1723,0.6113,-0.2527,0.7164,1.1191,-0.5441,0.9135
0.2064,1.3357,0.2967,-0.3254,-1.0498,0.4123,-1.5818
-0.4112,0.1271,-0.4787,-2.6531,-0.2744,-1.9778,-4.235
0.503,-1.1523,-0.1619,0.2528,0.5185,-1.745,0.8077
0.7653,-1.6079,-0.6474,0.6907,-0.312,-1.2395,12.902
-0.749,3.0889,0.7528,0.9471,-2.1027,-0.4054,-6.5312
0.745,1.9257,-0.1359,-1.571,-0.7474,0.3454,-2.9197
-1.1892,0.1075,-0.6295,-0.9069,-0.0997,1.3125,-3.5823
0.3665,-2.521,0.8242,-1.7954,1.029,0.0468,1.4853
-1.2606,-0.1006,-0.6987,-2.0886,-1.4712,-1.8716,1.8929
0.8178,-0.3828,-0.1797,1.2396,0.8536,-0.5014,5.9123
-1.5781,-0.6179,0.9752,0.9343,-0.1787,-1.165,-0.7553
-1.555,1.534,-0.5832,0.519,0.9775,0.4003,-3.4727
0.4997,0.6352,0.4792,-1.4103,0.4254,-0.2257,2.4823
-0.0729,-0.3269,-2.6,0.1388,0.7278,3.0889,-1.4944
-2.4115,0.9327,1.3721,-0.9123,0.6168,-0.1414,-0.4252
-0.4666,0.7863,0.583,-0.55,-0.1321,0.3311,-4.2358
0.5908,0.5469,1.623,-0.295,-0.664,-0.0973,2.8287
-0.7315,1.3209,0.91,0.64,-2.2609,0.3639,2.3187
-1.0082,-1.2241,-1.0662,-1.9008,-0.6051,-0.9328,-2.1004
1.7604,-0.3318,-2.4823,-0.9497,-0.6802,0.5749,4.2635
-0.5049,0.7797,-1.2207,-0.4887,0.1372,-2.4106,-4.1206
-1.1993,0.0141,-1.574,-1.8351,-0.8828,2.183,1.1676
0.7466,-0.5433,-0.1546,-0.1763,0.0209,-0.3859,-2.1473
0.4449,-0.108,1.9305,0.1246,-0.1835,-0.7121,-0.0177
-0.085,-0.0554,1.1198,0.677,-0.4118,-1.4085,-0.7577
0.304,0.6958,1.4772,-0.1293,-0.7195,0.122,-2.1652
1.4081,-0.2822,0.3218,0.3871,-0.3862,0.5113,-1.0195
0.8242,0.8391,0.3152,0.1042,0.2367,0.0636,5.1346
2.0502,1.6748,0.7121,-1.4015,-1.0508,-0.7841,2.0964
0.1102,-2.0675,-0.0724,1.959,0.7125,1.0007,0.0312
-0.3599,0.6153,0.4297,-0.5887,-0.2424,-1.507,-3.7564
1.5434,0.7471,-0.6296,-0.3066,-0.3639,-1.3387,2.3262
0.5494,-0.1218,-0.8072,-1.1665,0.4307,0.1986,5.4831
0.6393,0.1508,1.1256,-0.5991,0.5472,-0.6229,0.9173
-1.1012,-0.1679,-0.6745,-0.9268,-2.0541,0.2856,-0.6741
-0.2169,-1.2698,-0.9865,0.643,0.7083,1.3442,2.5411
0.0756,0.1333,-1.1465,-0.5881,-0.5898,1.5586,1.0202
0.3229,0.5729,-1.8423,-0.0986,-0.8331,1.9749,5.1209
-1.9204,-1.2355,0.1772,0.9576,-0.2844,0.7432,-4.9617
-1.1128,1.2491,-0.0257,0.0635,-0.4376,0.8486,3.3391
0.1004,0.9465,1.1246,0.5257,-0.3736,-0.1995,2.8173
-1.7275,-0.2991,-0.0311,1.4353,-0.5538,0.7527,-3.9814
0.8567,-0.0435,-0.1587,0.0056,-0.255,-0.0251,5.7201
-1.0915,0.2989,-0.3699,0.64,1.6458,0.3807,-1.1587
0.448,0.4807,0.2935,0.9923,-0.9109,-1.5563,-2.6809
-1.8191,0.7833,0.1891,1.2871,0.5661,-0.3963,3.9674
-0.3786,-0.9719,0.0604,0.718,0.9129,0.7611,-3.0191
0.235,-3.1729,0.5549,-2.0843,0.9105,0.5436,2.7154
-0.7205,-0.5383,2.7221,0.1912,1.1283,-0.6716,-2.5011
0.8252,-0.7692,0.8772,0.6179,0.9217,0.6786,3.6559
-0.639,-1.4561,0.1617,-0.992,0.6709,-1.2184,-3.3568
-0.013,-1.1071,-0.3976,0.8761,-0.3031,0.4609,-0.4427
-0.8012,-1.7944,0.6465,-0.5143,-0.68,-2.6874,-6.1087
0.9577,0.1894,-0.9662,0.7299,-0.4225,1.481,3.3483
0.8079,0.6514,1.2311,-0.0693,-0.098,-2.3538,-2.3218
-0.9343,0.2742,0.2485,0.6509,-0.1823,-0.9933,2.0236
0.0829,-0.1704,0.4729,0.9653,1.8563,-1.3494,2.249
-1.4014,0.4207,-0.489,0.1711,1.8031,-1.1391,-1.9762
1.3002,-0.0844,-1.3008,0.9886,-2.9612,-1.2066,-4.2013
1.8848,-0.62,0.4579,1.3519,-0.8486,-1.059,5.3096
-1.1223,1.4423,-0.0993,2.1322,-1.1305,0.6181,-1.9007
-0.9311,-0.0019,1.2124,-1.1832,-0.767,0.2213,-4.28
-0.1349,-0.948,1.1521,0.4111,-0.6559,0.6909,-2.1331
-0.4686,1.4204,-0.331,-1.3978,0.6091,0.0214,-1.8209
0.3214,-1.8912,-0.9675,1.2585,0.7601,-1.4898,-4.5085
0.264,-0.5949,0.4788,-0.5932,0.2986,-0.0351,3.8189
-2.0459,1.0745,1.5966,-0.442,0.3594,-0.4087,-3.4727
-0.1015,-0.7082,-1.2949,0.5151,0.6529,-0.452,-3.743
-0.1231,1.4248,0.1188,1.3819,1.3922,0.6292,0.0754
-0.6912,0.5016,0.2702,0.6161,-0.4873,0.8783,-1.9638
0.8581,1.2403,2.1134,-1.0971,0.5744,-0.3681,-3.396
-0.3963,-0.3866,0.1891,-2.2416,0.5155,0.9046,3.05
-1.4873,0.4026,0.2148,0.4416,0.6536,-0.5625,0.1106
-1.0986,0.2564,-0.3078,0.3228,1.3326,0.4296,2.1973
-0.3001,-0.8203,0.85,-0.52,-0.8554,-0.2552,-2.7132
-1.1163,-0.4841,-0.2214,0.8742,-0.0633,-0.0697,2.2771
-1.6273,0.881,-0.9647,1.2175,-1.471,0.0009,-6.5835
-0.555,-0.4539,-0.5795,-0.851,1.5639,0.2758,0.1355
-0.1351,-1.437,0.2879,-0.1953,-0.0101,0.636,3.4524
-1.1815,-0.4743,-1.6487,-1.0963,-0.3556,1.6548,0.053
-0.7035,0.0266,-1.3358,-0.6357,1.5227,1.1675,-0.0827
0.3342,-0.9498,2.349,-1.3651,-0.3063,-0.0219,-2.023
-0.0723,-0.9613,0.7648,-1.9143,0.7466,1.5088,-0.2561
-0.4542,0.7493,-0.6994,0.4874,-1.4746,-0.1275,-0.0224
1.3468,-0.3713,1.0659,1.3061,-0.5145,0.4019,5.078
-0.2655,0.8123,1.9646,0.9567,-0.3364,0.6978,1.0514
0.9405,0.6134,-2.2867,-0.9646,0.9677,-1.2878,7.2834
1.4931,1.1864,-1.7558,-0.5556,-0.0766,-0.5084,-0.7368
0.1028,0.7264,-0.3795,0.1363,-1.0098,-2.0323,-6.9652
0.0553,0.9291,0.4999,-1.7502,0.1068,0.7797,2.8035
0.1204,1.5006,-2.0107,-0.1616,0.3563,-0.9572,1.8087
1.463,-0.5015,0.3882,-0.6188,0.3888,-0.6521,2.1948
-0.5596,1.8152,-0.5147,0.4814,0.6607,1.4116,-6.5819
0.5572,1.0287,1.5145,-0.1206,0.6543,-0.5588,-0.8522
0.7347,0.5496,0.7928,-0.3246,-0.3757,-0.532,-1.7654
-0.2491,-0.9886,1.1434,-1.4515,-1.0743,0.7404,6.5965
0.2333,0.8438,-0.1176,-0.4046,-0.399,0.0517,3.9877
1.0584,0.5343,-0.6704,-1.2851,-1.1881,0.9305,1.7779
-0.3299,-0.6475,0.2194,-0.9944,0.8556,0.5771,-4.7529
0.8066,0.898,-0.0234,-0.937,-0.8811,0.4659,1.9995
-0.4686,0.2575,-0.0677,-0.4573,-0.5296,1.0727,1.5143
0.1662,0.7844,-0.3528,1.3469,-0.9394,-0.8508,2.0746
-1.1008,-0.4753,-1.1855,0.3791,1.0364,0.4234,0.9255
-0.6539,0.6618,1.252,1.0547,1.1789,-1.4914,-2.365
-0.308,-0.3972,0.0986,0.275,-0.1041,0.6649,-0.5227
0.227,1.4599,0.4747,-0.319,0.6933,-1.091,1.8985
0.4933,0.2307,1.4741,-0.7722,0.3939,1.3329,4.0234
-0.482,-1.4111,1.0433,1.0173,1.5297,1.0318,2.0447
-0.6934,0.2237,0.3161,0.5539,-0.6855,-0.245,2.0556
-0.6919,2.1523,1.4674,0.6947,0.0003,-0.5236,1.2529
1.6844,0.181,1.0662,0.5592,0.8061,-0.0164,5.8012
0.9879,1.1756,-0.4624,-0.4266,-1.0837,-1.4563,2.1507
-0.1173,-0.1775,2.3119,1.071,0.2147,-1.2287,2.4241
1.1446,1.3032,0.588,0.4532,-0.651,0.454,-0.3725
0.1815,0.0323,0.2686,0.1769,-0.8451,0.7442,-0.5705
-1.134,-1.2882,0.8583,0.0846,0.7793,1.5706,-6.1793
0.2367,-0.4658,-1.0844,1.3825,0.0753,1.811,-4.8211
1.2616,-0.6373,0.3674,-0.1604,0.7267,-0.7558,2.5606
-0.9456,-1.5275,-0.9053,-2.119,-0.9588,0.026,3.3416
-1.0817,0.4594,0.1725,-0.8188,-0.7208,-1.105,-5.5091
0.4419,-0.8883,1.2183,0.5665,-0.0866,-0.0889,-0.2787
1.9863,-1.7914,0.8826,-0.1427,0.3093,-2.13,8.7938
1.1622,0.3914,0.8871,-0.7117,0.0777,0.6964,0.7524
1.3455,-0.5756,1.6929,1.0031,-0.3212,0.3946,-1.1593
1.2304,0.6005,1.8071,-0.8441,0.7979,0.5297,0.175
2.5736,-1.2569,-0.8151,-1.2034,-0.1641,1.1612,-5.5599
2.1358,-0.8294,0.2934,-1.4581,1.204,0.9479,4.9018
1.6444,0.5431,-0.1146,-0.9093,0.4122,2.2556,-1.4568
-0.5934,1.1933,-0.2067,0.1599,0.2478,1.8841,-1.006
1.0787,0.5581,-0.7889,-1.356,-0.548,0.4631,3.5585
0.1483,-0.1164,-0.5735,-0.4081,-0.6951,-1.5457,-0.6092
0.3714,-0.9523,-0.0804,0.3327,0.1036,-0.7252,0.8496
1.9719,0.1875,1.4146,-1.0703,-1.3831,-0.64,0.083
-0.7573,0.8271,-1.1276,0.1595,-0.6954,1.6535,-0.8848
-0.4086,1.1429,0.222,0.171,-0.0766,0.702,0.9188
-0.2033,-0.5223,-0.9834,0.0682,0.1577,-0.769,-4.3214
-2.1838,0.4075,-0.256,-1.1351,-0.9516,0.1224,-1.0743
1.4953,-0.6868,-0.6592,0.1138,-0.8186,0.8297,2.4268
-0.659,1.1525,0.6686,0.5914,-0.8592,-0.8335,1.7532
0.2192,-1.338,-0.2047,0.5665,-1.078,1.1709,-0.3468
-3.6623,2.909,0.6284,-0.1646,0.7172,-1.0826,-1.9135
-1.3243,0.7623,1.2132,-0.2611,-0.2491,-0.6356,-5.9713
-0.0246,-1.3199,-1.7999,-0.0204,-0.5097,1.3995,-0.7871
-0.2078,0.889,-0.2835,-0.3443,-0.7307,-1.4216,1.2551
-1.7115,0.8946,-0.2396,0.7111,0.2267,-2.0105,-5.7802
-1.2629,-0.0653,0.2193,-0.5347,0.7511,2.6474,-7.0081
1.3053,-0.0137,-0.8296,1.3637,1.9272,0.0875,-2.0288
-0.406,-0.2734,0.4598,0.4225,-0.1097,-0.3925,-2.7374
-1.2726,-0.9484,0.2938,0.5228,1.3303,0.5405,-1.5115
-1.5247,0.0809,0.3007,-0.7949,0.8791,-0.5146,-4.4077
-0.0423,0.6076,-1.7797,1.965,-0.5651,-0.3812,-1.1051
-0.6796,0.4055,1.7034,0.9291,1.4468,-1.6977,-0.3094
-0.9504,-0.114,1.6608,-0.2239,-0.2041,-0.6618,-1.88
-0.0452,0.915,0.2021,0.5188,-2.0306,0.6529,-2.2059
-0.1299,0.4932,0.7194,0.1753,-0.8027,-1.1227,2.1965
-0.3191,-2.6973,-0.4885,0.1479,-1.7814,0.6232,0.7308
0.6672,-1.6484,-0.5361,0.2397,-0.0647,0.0514,-2.2359
0.143,-0.3383,-0.0802,1.688,0.4294,0.6301,0.5776
-0.3605,0.6365,0.5293,0.1144,-0.9803,-1.3569,1.1544
0.4501,1.6363,-0.1593,-1.1442,0.8172,0.4582,-0.786
-0.5691,1.3943,-1.0715,-0.0604,1.5568,-1.2126,-0.7019
0.6431,0.5821,-1.8425,0.2118,-0.4898,0.0101,0.5201
-0.7636,0.404,-0.5617,0.3124,-0.4972,0.6071,-1.2791
