x,healthy,curved,growing_error
4.1725,10.784,3.451,12.8122
7.9026,24.6377,15.7011,19.9535
3.1637,12.0758,3.1422,9.9536
1.3867,4.0516,1.2107,3.9925
18.2372,54.8637,98.4365,65.3974
16.3734,49.3746,79.674,47.9214
19.7452,58.5953,118.3435,70.8902
12.21,37.0082,45.2136,30.3029
13.0132,37.8601,54.8439,40.0983
14.9612,44.4253,69.7757,54.565
15.4148,47.5506,67.6146,52.7551
19.073,54.8127,108.4615,63.0157
15.5689,46.3632,70.9386,47.9776
6.3978,19.0036,9.4818,20.743
5.4052,16.2261,10.8198,18.2629
10.0532,28.8692,30.2543,25.4294
18.3466,55.2106,98.5378,60.4183
3.0263,10.2359,5.775,9.9863
1.6903,7.0446,3.8277,4.6713
10.9377,28.9268,35.3571,35.8941
1.9522,6.4973,2.3095,5.2908
10.709,31.215,33.291,30.2976
17.8514,56.2762,95.5356,58.1554
5.805,15.2189,6.9527,12.3726
8.9396,25.916,23.2,24.5715
1.2141,4.0929,0.8416,3.0637
11.5327,30.4305,38.2655,32.048
6.4449,22.9076,15.3391,16.4635
2.0488,7.846,-0.8387,5.7062
10.2559,29.9231,32.0834,30.6178
5.5197,13.6299,9.5717,17.4699
16.277,49.2008,76.2364,51.5357
6.5691,20.8467,15.2794,22.8025
14.9798,46.107,67.6534,50.7867
16.5162,50.7229,83.897,55.6123
9.1227,29.6599,25.3113,26.0194
1.4666,6.2309,1.3209,4.4139
11.6228,28.787,44.0522,37.7892
10.571,35.168,33.5267,25.738
16.2962,51.1237,80.3305,45.7849
7.5556,21.4763,15.992,22.1583
3.674,11.1011,4.5692,10.496
2.4967,9.2637,1.5444,7.5131
18.5826,53.0902,103.5255,55.5736
19.2212,61.4506,113.3836,68.9188
12.6304,37.0952,46.8046,35.9812
10.614,31.8901,33.8499,25.6554
