shop,city,amount,ts
10,Mumbai,594.44,2024-01-01 01:10:00
49,Pune,330.42,2024-01-01 01:11:00
10,Delhi,346.32,2024-01-01 01:12:00
2,Delhi,467.12,2024-01-01 01:13:00
22,Delhi,614.34,2024-01-01 01:14:00
21,Delhi,604.17,2024-01-01 01:15:00
30,Pune,748.87,2024-01-01 01:16:00
35,Delhi,416.16,2024-01-01 01:17:00
2,Mumbai,395.86,2024-01-01 01:18:00
34,Mumbai,534.08,2024-01-01 01:19:00
2,Mumbai,303.43,2024-01-01 01:20:00
46,Mumbai,448.31,2024-01-01 01:21:00
12,Delhi,836.68,2024-01-01 01:22:00
27,Mumbai,478.99,2024-01-01 01:23:00
10,Delhi,537.83,2024-01-01 01:24:00
8,Mumbai,452.97,2024-01-01 01:25:00
28,Delhi,504.57,2024-01-01 01:26:00
18,Pune,436.06,2024-01-01 01:27:00
35,Mumbai,665.39,2024-01-01 01:28:00
8,Pune,342.42,2024-01-01 01:29:00
23,Delhi,611.3,2024-01-01 01:30:00
3,Mumbai,445.54,2024-01-01 01:31:00
43,Mumbai,447.56,2024-01-01 01:32:00
47,Delhi,619.75,2024-01-01 01:33:00
13,Delhi,644.09,2024-01-01 01:34:00
25,Delhi,335.48,2024-01-01 01:35:00
45,Delhi,590.84,2024-01-01 01:36:00
14,Pune,563.01,2024-01-01 01:37:00
36,Delhi,459.17,2024-01-01 01:38:00
32,Mumbai,427.06,2024-01-01 01:39:00
20,Mumbai,405.34,2024-01-01 01:40:00
21,Delhi,423.44,2024-01-01 01:41:00
10,Delhi,423.57,2024-01-01 01:42:00
49,Pune,452.08,2024-01-01 01:43:00
6,Pune,645.99,2024-01-01 01:44:00
8,Mumbai,468.93,2024-01-01 01:45:00
0,Pune,390.47,2024-01-01 01:46:00
16,Delhi,588.49,2024-01-01 01:47:00
40,Mumbai,607.92,2024-01-01 01:48:00
12,Delhi,428.32,2024-01-01 01:49:00
17,Pune,673.15,2024-01-01 01:50:00
33,Delhi,389.33,2024-01-01 01:51:00
24,Delhi,639.06,2024-01-01 01:52:00
5,Delhi,354.85,2024-01-01 01:53:00
28,Mumbai,646.41,2024-01-01 01:54:00
40,Delhi,325.6,2024-01-01 01:55:00
34,Pune,639.22,2024-01-01 01:56:00
30,Delhi,585.41,2024-01-01 01:57:00
11,Pune,313.3,2024-01-01 01:58:00
22,Pune,429.79,2024-01-01 01:59:00
13,Pune,378.26,2024-01-01 02:00:00
22,Delhi,509.85,2024-01-01 02:01:00
0,Delhi,445.53,2024-01-01 02:02:00
1,Delhi,407.15,2024-01-01 02:03:00
17,Mumbai,426.31,2024-01-01 02:04:00
26,Mumbai,360.35,2024-01-01 02:05:00
16,Mumbai,384.36,2024-01-01 02:06:00
19,Pune,683.03,2024-01-01 02:07:00
24,Mumbai,386.68,2024-01-01 02:08:00
44,Pune,428.25,2024-01-01 02:09:00
46,Pune,509.5,2024-01-01 02:10:00
23,Pune,378.72,2024-01-01 02:11:00
2,Delhi,438.97,2024-01-01 02:12:00
10,Pune,484.94,2024-01-01 02:13:00
16,Mumbai,703.77,2024-01-01 02:14:00
46,Mumbai,747.41,2024-01-01 02:15:00
14,Pune,423.39,2024-01-01 02:16:00
10,Mumbai,395.39,2024-01-01 02:17:00
17,Delhi,506.25,2024-01-01 02:18:00
38,Pune,513.7,2024-01-01 02:19:00
39,Pune,769.91,2024-01-01 02:20:00
30,Pune,529.06,2024-01-01 02:21:00
49,Pune,646.14,2024-01-01 02:22:00
42,Delhi,304.06,2024-01-01 02:23:00
39,Pune,507.02,2024-01-01 02:24:00
31,Pune,694.27,2024-01-01 02:25:00
36,Delhi,610.18,2024-01-01 02:26:00
43,Delhi,538.19,2024-01-01 02:27:00
26,Delhi,420.43,2024-01-01 02:28:00
19,Mumbai,495.72,2024-01-01 02:29:00
26,Pune,424.19,2024-01-01 02:30:00
20,Mumbai,304.83,2024-01-01 02:31:00
38,Mumbai,423.03,2024-01-01 02:32:00
28,Pune,474.82,2024-01-01 02:33:00
2,Mumbai,291.54,2024-01-01 02:34:00
46,Pune,540.58,2024-01-01 02:35:00
48,Mumbai,541.32,2024-01-01 02:36:00
1,Delhi,530.92,2024-01-01 02:37:00
32,Mumbai,139.53,2024-01-01 02:38:00
29,Delhi,521.81,2024-01-01 02:39:00
11,Mumbai,474.39,2024-01-01 02:40:00
49,Pune,260.13,2024-01-01 02:41:00
49,Delhi,481.97,2024-01-01 02:42:00
30,Delhi,482.35,2024-01-01 02:43:00
46,Delhi,424.55,2024-01-01 02:44:00
42,Delhi,337.89,2024-01-01 02:45:00
29,Delhi,464.22,2024-01-01 02:46:00
11,Delhi,370.84,2024-01-01 02:47:00
30,Delhi,467.99,2024-01-01 02:48:00
33,Delhi,641.81,2024-01-01 02:49:00
19,Delhi,506.7,2024-01-01 02:50:00
47,Delhi,605.58,2024-01-01 02:51:00
14,Delhi,548.16,2024-01-01 02:52:00
24,Pune,375.18,2024-01-01 02:53:00
43,Mumbai,660.41,2024-01-01 02:54:00
42,Delhi,350.52,2024-01-01 02:55:00
38,Delhi,743.11,2024-01-01 02:56:00
29,Mumbai,584.12,2024-01-01 02:57:00
17,Pune,466.03,2024-01-01 02:58:00
7,Delhi,483.2,2024-01-01 02:59:00
31,Mumbai,680.04,2024-01-01 03:00:00
11,Pune,729.86,2024-01-01 03:01:00
17,Delhi,522.03,2024-01-01 03:02:00
17,Pune,585.24,2024-01-01 03:03:00
28,Delhi,591.59,2024-01-01 03:04:00
15,Mumbai,173.8,2024-01-01 03:05:00
37,Delhi,526.07,2024-01-01 03:06:00
12,Mumbai,485.19,2024-01-01 03:07:00
26,Pune,583.41,2024-01-01 03:08:00
25,Mumbai,422.58,2024-01-01 03:09:00
14,Delhi,430.71,2024-01-01 03:10:00
0,Delhi,297.35,2024-01-01 03:11:00
12,Delhi,509.72,2024-01-01 03:12:00
48,Delhi,516.64,2024-01-01 03:13:00
19,Pune,305.72,2024-01-01 03:14:00
46,Delhi,303.77,2024-01-01 03:15:00
2,Pune,466.49,2024-01-01 03:16:00
47,Pune,560.1,2024-01-01 03:17:00
43,Mumbai,432.85,2024-01-01 03:18:00
39,Mumbai,376.55,2024-01-01 03:19:00
23,Mumbai,454.95,2024-01-01 03:20:00
15,Mumbai,488.78,2024-01-01 03:21:00
45,Delhi,711.08,2024-01-01 03:22:00
13,Pune,394.53,2024-01-01 03:23:00
48,Delhi,390.0,2024-01-01 03:24:00
13,Delhi,521.17,2024-01-01 03:25:00
40,Delhi,353.36,2024-01-01 03:26:00
13,Delhi,576.88,2024-01-01 03:27:00
15,Pune,528.97,2024-01-01 03:28:00
0,Delhi,515.43,2024-01-01 03:29:00
15,Pune,454.37,2024-01-01 03:30:00
42,Mumbai,587.98,2024-01-01 03:31:00
22,Mumbai,626.7,2024-01-01 03:32:00
40,Pune,632.87,2024-01-01 03:33:00
33,Delhi,511.34,2024-01-01 03:34:00
16,Pune,643.64,2024-01-01 03:35:00
2,Mumbai,356.76,2024-01-01 03:36:00
6,Mumbai,637.14,2024-01-01 03:37:00
25,Delhi,671.3,2024-01-01 03:38:00
13,Delhi,570.41,2024-01-01 03:39:00
15,Pune,527.52,2024-01-01 03:40:00
43,Mumbai,390.17,2024-01-01 03:41:00
6,Delhi,450.91,2024-01-01 03:42:00
25,Delhi,457.88,2024-01-01 03:43:00
39,Mumbai,513.3,2024-01-01 03:44:00
7,Mumbai,396.94,2024-01-01 03:45:00
34,Pune,442.51,2024-01-01 03:46:00
39,Mumbai,215.9,2024-01-01 03:47:00
32,Pune,395.46,2024-01-01 03:48:00
45,Pune,615.45,2024-01-01 03:49:00
4,Pune,837.27,2024-01-01 03:50:00
10,Delhi,337.32,2024-01-01 03:51:00
41,Pune,481.36,2024-01-01 03:52:00
8,Delhi,585.55,2024-01-01 03:53:00
6,Delhi,387.18,2024-01-01 03:54:00
7,Mumbai,656.37,2024-01-01 03:55:00
49,Mumbai,594.1,2024-01-01 03:56:00
16,Pune,490.7,2024-01-01 03:57:00
39,Mumbai,466.09,2024-01-01 03:58:00
18,Pune,572.92,2024-01-01 03:59:00
12,Delhi,446.96,2024-01-01 04:00:00
12,Mumbai,444.49,2024-01-01 04:01:00
31,Pune,262.89,2024-01-01 04:02:00
14,Mumbai,544.27,2024-01-01 04:03:00
32,Delhi,383.1,2024-01-01 04:04:00
12,Delhi,348.42,2024-01-01 04:05:00
17,Delhi,405.86,2024-01-01 04:06:00
18,Delhi,548.88,2024-01-01 04:07:00
43,Mumbai,692.18,2024-01-01 04:08:00
4,Pune,511.68,2024-01-01 04:09:00
47,Pune,557.35,2024-01-01 04:10:00
10,Pune,524.97,2024-01-01 04:11:00
23,Delhi,538.51,2024-01-01 04:12:00
38,Pune,646.42,2024-01-01 04:13:00
32,Mumbai,381.21,2024-01-01 04:14:00
7,Delhi,266.86,2024-01-01 04:15:00
3,Delhi,365.31,2024-01-01 04:16:00
32,Delhi,573.86,2024-01-01 04:17:00
27,Delhi,652.4,2024-01-01 04:18:00
5,Delhi,412.22,2024-01-01 04:19:00
29,Mumbai,418.76,2024-01-01 04:20:00
48,Pune,448.27,2024-01-01 04:21:00
3,Mumbai,296.45,2024-01-01 04:22:00
21,Delhi,468.16,2024-01-01 04:23:00
17,Delhi,761.67,2024-01-01 04:24:00
26,Pune,271.54,2024-01-01 04:25:00
10,Delhi,582.07,2024-01-01 04:26:00
47,Delhi,469.62,2024-01-01 04:27:00
42,Pune,488.51,2024-01-01 04:28:00
19,Pune,579.22,2024-01-01 04:29:00
17,Pune,668.75,2024-01-01 04:30:00
2,Mumbai,484.45,2024-01-01 04:31:00
42,Mumbai,291.45,2024-01-01 04:32:00
15,Pune,348.55,2024-01-01 04:33:00
45,Delhi,444.48,2024-01-01 04:34:00
32,Pune,356.83,2024-01-01 04:35:00
45,Mumbai,547.21,2024-01-01 04:36:00
37,Mumbai,741.81,2024-01-01 04:37:00
17,Pune,663.22,2024-01-01 04:38:00
41,Delhi,595.6,2024-01-01 04:39:00
25,Pune,467.66,2024-01-01 04:40:00
18,Delhi,543.29,2024-01-01 04:41:00
35,Mumbai,435.28,2024-01-01 04:42:00
47,Mumbai,291.92,2024-01-01 04:43:00
2,Delhi,359.12,2024-01-01 04:44:00
49,Pune,579.42,2024-01-01 04:45:00
13,Delhi,480.41,2024-01-01 04:46:00
40,Delhi,586.16,2024-01-01 04:47:00
36,Pune,504.09,2024-01-01 04:48:00
34,Pune,468.66,2024-01-01 04:49:00
40,Delhi,492.78,2024-01-01 04:50:00
27,Delhi,595.99,2024-01-01 04:51:00
24,Pune,598.07,2024-01-01 04:52:00
49,Mumbai,425.32,2024-01-01 04:53:00
19,Pune,511.31,2024-01-01 04:54:00
36,Pune,564.23,2024-01-01 04:55:00
48,Pune,338.71,2024-01-01 04:56:00
10,Delhi,545.26,2024-01-01 04:57:00
39,Delhi,313.42,2024-01-01 04:58:00
6,Delhi,379.72,2024-01-01 04:59:00
34,Pune,362.6,2024-01-01 05:00:00
19,Delhi,357.43,2024-01-01 05:01:00
48,Mumbai,259.06,2024-01-01 05:02:00
13,Mumbai,589.84,2024-01-01 05:03:00
40,Mumbai,487.36,2024-01-01 05:04:00
33,Pune,401.88,2024-01-01 05:05:00
38,Delhi,521.44,2024-01-01 05:06:00
45,Mumbai,566.86,2024-01-01 05:07:00
32,Mumbai,581.42,2024-01-01 05:08:00
43,Delhi,432.69,2024-01-01 05:09:00
20,Mumbai,786.74,2024-01-01 05:10:00
28,Pune,401.28,2024-01-01 05:11:00
31,Mumbai,555.4,2024-01-01 05:12:00
33,Mumbai,355.39,2024-01-01 05:13:00
39,Pune,305.37,2024-01-01 05:14:00
37,Mumbai,498.95,2024-01-01 05:15:00
10,Mumbai,574.81,2024-01-01 05:16:00
41,Pune,506.57,2024-01-01 05:17:00
9,Delhi,702.72,2024-01-01 05:18:00
46,Pune,499.39,2024-01-01 05:19:00
36,Mumbai,586.47,2024-01-01 05:20:00
32,Delhi,550.35,2024-01-01 05:21:00
14,Delhi,553.37,2024-01-01 05:22:00
42,Pune,419.85,2024-01-01 05:23:00
19,Pune,511.0,2024-01-01 05:24:00
15,Delhi,450.89,2024-01-01 05:25:00
41,Mumbai,496.35,2024-01-01 05:26:00
24,Pune,467.35,2024-01-01 05:27:00
4,Pune,461.61,2024-01-01 05:28:00
46,Delhi,307.32,2024-01-01 05:29:00
48,Pune,461.57,2024-01-01 05:30:00
18,Delhi,480.08,2024-01-01 05:31:00
5,Pune,333.38,2024-01-01 05:32:00
5,Mumbai,623.4,2024-01-01 05:33:00
13,Pune,496.25,2024-01-01 05:34:00
9,Delhi,574.61,2024-01-01 05:35:00
32,Pune,605.95,2024-01-01 05:36:00
30,Delhi,659.53,2024-01-01 05:37:00
0,Pune,384.8,2024-01-01 05:38:00
46,Pune,590.46,2024-01-01 05:39:00
19,Delhi,290.82,2024-01-01 05:40:00
10,Mumbai,443.8,2024-01-01 05:41:00
46,Mumbai,328.8,2024-01-01 05:42:00
49,Pune,607.62,2024-01-01 05:43:00
13,Pune,731.63,2024-01-01 05:44:00
44,Delhi,137.87,2024-01-01 05:45:00
28,Delhi,572.09,2024-01-01 05:46:00
33,Delhi,386.19,2024-01-01 05:47:00
36,Delhi,621.99,2024-01-01 05:48:00
11,Delhi,444.85,2024-01-01 05:49:00
24,Delhi,751.18,2024-01-01 05:50:00
17,Mumbai,578.38,2024-01-01 05:51:00
22,Pune,521.22,2024-01-01 05:52:00
10,Pune,370.98,2024-01-01 05:53:00
29,Pune,375.41,2024-01-01 05:54:00
26,Mumbai,395.97,2024-01-01 05:55:00
10,Pune,558.35,2024-01-01 05:56:00
40,Mumbai,688.59,2024-01-01 05:57:00
19,Mumbai,489.61,2024-01-01 05:58:00
30,Delhi,583.43,2024-01-01 05:59:00
29,Mumbai,580.76,2024-01-01 06:00:00
30,Pune,299.79,2024-01-01 06:01:00
5,Delhi,579.84,2024-01-01 06:02:00
12,Mumbai,331.22,2024-01-01 06:03:00
21,Pune,349.32,2024-01-01 06:04:00
23,Mumbai,470.69,2024-01-01 06:05:00
29,Pune,484.79,2024-01-01 06:06:00
41,Delhi,449.84,2024-01-01 06:07:00
23,Mumbai,599.82,2024-01-01 06:08:00
10,Mumbai,512.92,2024-01-01 06:09:00
12,Pune,586.51,2024-01-01 06:10:00
24,Mumbai,765.71,2024-01-01 06:11:00
33,Delhi,436.35,2024-01-01 06:12:00
10,Pune,566.81,2024-01-01 06:13:00
25,Delhi,486.37,2024-01-01 06:14:00
10,Delhi,441.48,2024-01-01 06:15:00
8,Mumbai,560.4,2024-01-01 06:16:00
38,Pune,559.6,2024-01-01 06:17:00
12,Mumbai,496.61,2024-01-01 06:18:00
35,Delhi,357.17,2024-01-01 06:19:00
44,Mumbai,585.35,2024-01-01 06:20:00
21,Pune,465.31,2024-01-01 06:21:00
1,Delhi,446.07,2024-01-01 06:22:00
10,Pune,454.0,2024-01-01 06:23:00
27,Pune,544.27,2024-01-01 06:24:00
20,Mumbai,564.44,2024-01-01 06:25:00
24,Mumbai,247.91,2024-01-01 06:26:00
13,Mumbai,391.93,2024-01-01 06:27:00
21,Pune,634.58,2024-01-01 06:28:00
32,Pune,525.15,2024-01-01 06:29:00
1,Delhi,613.53,2024-01-01 06:30:00
12,Mumbai,568.91,2024-01-01 06:31:00
42,Mumbai,343.54,2024-01-01 06:32:00
39,Delhi,601.38,2024-01-01 06:33:00
35,Delhi,579.2,2024-01-01 06:34:00
27,Delhi,521.09,2024-01-01 06:35:00
24,Delhi,475.11,2024-01-01 06:36:00
29,Pune,367.31,2024-01-01 06:37:00
25,Pune,356.96,2024-01-01 06:38:00
9,Delhi,347.92,2024-01-01 06:39:00
35,Pune,521.31,2024-01-01 06:40:00
20,Mumbai,409.69,2024-01-01 06:41:00
36,Delhi,652.52,2024-01-01 06:42:00
48,Mumbai,421.16,2024-01-01 06:43:00
30,Pune,531.09,2024-01-01 06:44:00
17,Mumbai,497.59,2024-01-01 06:45:00
38,Pune,411.21,2024-01-01 06:46:00
38,Delhi,685.99,2024-01-01 06:47:00
16,Pune,503.88,2024-01-01 06:48:00
3,Delhi,481.83,2024-01-01 06:49:00
23,Delhi,346.52,2024-01-01 06:50:00
37,Mumbai,752.24,2024-01-01 06:51:00
49,Mumbai,348.6,2024-01-01 06:52:00
43,Mumbai,333.33,2024-01-01 06:53:00
35,Mumbai,352.62,2024-01-01 06:54:00
38,Pune,370.25,2024-01-01 06:55:00
28,Delhi,343.54,2024-01-01 06:56:00
9,Pune,223.26,2024-01-01 06:57:00
3,Delhi,352.93,2024-01-01 06:58:00
42,Delhi,506.89,2024-01-01 06:59:00
30,Delhi,187.35,2024-01-01 07:00:00
8,Mumbai,369.47,2024-01-01 07:01:00
45,Mumbai,524.58,2024-01-01 07:02:00
13,Pune,551.71,2024-01-01 07:03:00
8,Mumbai,400.5,2024-01-01 07:04:00
30,Pune,622.08,2024-01-01 07:05:00
24,Delhi,431.73,2024-01-01 07:06:00
4,Mumbai,262.5,2024-01-01 07:07:00
8,Delhi,493.89,2024-01-01 07:08:00
16,Mumbai,546.45,2024-01-01 07:09:00
9,Delhi,467.3,2024-01-01 07:10:00
37,Delhi,415.05,2024-01-01 07:11:00
47,Delhi,410.72,2024-01-01 07:12:00
9,Mumbai,400.28,2024-01-01 07:13:00
44,Delhi,370.16,2024-01-01 07:14:00
18,Pune,490.82,2024-01-01 07:15:00
47,Delhi,578.3,2024-01-01 07:16:00
11,Delhi,493.35,2024-01-01 07:17:00
44,Delhi,692.36,2024-01-01 07:18:00
0,Delhi,473.03,2024-01-01 07:19:00
45,Mumbai,527.78,2024-01-01 07:20:00
11,Mumbai,399.36,2024-01-01 07:21:00
15,Pune,460.24,2024-01-01 07:22:00
21,Delhi,494.29,2024-01-01 07:23:00
15,Delhi,545.54,2024-01-01 07:24:00
28,Delhi,456.6,2024-01-01 07:25:00
18,Pune,341.22,2024-01-01 07:26:00
6,Delhi,539.13,2024-01-01 07:27:00
4,Mumbai,482.96,2024-01-01 07:28:00
42,Pune,472.72,2024-01-01 07:29:00
21,Pune,275.81,2024-01-01 07:30:00
0,Mumbai,430.88,2024-01-01 07:31:00
25,Pune,310.32,2024-01-01 07:32:00
25,Delhi,423.92,2024-01-01 07:33:00
37,Delhi,634.89,2024-01-01 07:34:00
5,Delhi,596.43,2024-01-01 07:35:00
6,Delhi,508.99,2024-01-01 07:36:00
36,Mumbai,597.34,2024-01-01 07:37:00
30,Delhi,318.23,2024-01-01 07:38:00
11,Delhi,401.37,2024-01-01 07:39:00
13,Pune,392.3,2024-01-01 07:40:00
24,Mumbai,433.36,2024-01-01 07:41:00
42,Pune,707.56,2024-01-01 07:42:00
44,Pune,540.85,2024-01-01 07:43:00
47,Mumbai,454.91,2024-01-01 07:44:00
45,Mumbai,478.81,2024-01-01 07:45:00
46,Mumbai,569.68,2024-01-01 07:46:00
34,Delhi,514.54,2024-01-01 07:47:00
28,Pune,455.17,2024-01-01 07:48:00
41,Pune,471.48,2024-01-01 07:49:00
21,Delhi,519.18,2024-01-01 07:50:00
31,Delhi,509.19,2024-01-01 07:51:00
23,Delhi,471.53,2024-01-01 07:52:00
20,Pune,357.69,2024-01-01 07:53:00
1,Delhi,412.89,2024-01-01 07:54:00
19,Mumbai,666.01,2024-01-01 07:55:00
28,Mumbai,459.43,2024-01-01 07:56:00
13,Delhi,374.79,2024-01-01 07:57:00
44,Mumbai,342.97,2024-01-01 07:58:00
31,Delhi,630.07,2024-01-01 07:59:00
19,Mumbai,576.78,2024-01-01 08:00:00
4,Pune,403.11,2024-01-01 08:01:00
14,Mumbai,656.18,2024-01-01 08:02:00
39,Delhi,596.05,2024-01-01 08:03:00
12,Delhi,459.77,2024-01-01 08:04:00
29,Mumbai,417.21,2024-01-01 08:05:00
20,Mumbai,650.04,2024-01-01 08:06:00
39,Delhi,505.13,2024-01-01 08:07:00
33,Mumbai,466.65,2024-01-01 08:08:00
37,Mumbai,484.22,2024-01-01 08:09:00
20,Pune,549.22,2024-01-01 08:10:00
35,Delhi,357.95,2024-01-01 08:11:00
21,Pune,480.87,2024-01-01 08:12:00
16,Delhi,475.65,2024-01-01 08:13:00
2,Delhi,597.3,2024-01-01 08:14:00
21,Delhi,533.43,2024-01-01 08:15:00
31,Pune,611.24,2024-01-01 08:16:00
17,Pune,745.53,2024-01-01 08:17:00
25,Pune,418.79,2024-01-01 08:18:00
19,Delhi,446.26,2024-01-01 08:19:00
1,Pune,570.88,2024-01-01 08:20:00
34,Delhi,522.15,2024-01-01 08:21:00
22,Delhi,483.35,2024-01-01 08:22:00
18,Pune,480.91,2024-01-01 08:23:00
30,Mumbai,672.32,2024-01-01 08:24:00
28,Mumbai,376.57,2024-01-01 08:25:00
4,Delhi,344.51,2024-01-01 08:26:00
23,Delhi,573.61,2024-01-01 08:27:00
5,Pune,614.25,2024-01-01 08:28:00
12,Mumbai,455.83,2024-01-01 08:29:00
48,Pune,384.59,2024-01-01 08:30:00
12,Delhi,531.25,2024-01-01 08:31:00
7,Delhi,596.31,2024-01-01 08:32:00
16,Mumbai,534.24,2024-01-01 08:33:00
21,Delhi,213.24,2024-01-01 08:34:00
39,Delhi,559.94,2024-01-01 08:35:00
16,Mumbai,554.89,2024-01-01 08:36:00
43,Delhi,435.03,2024-01-01 08:37:00
26,Pune,313.96,2024-01-01 08:38:00
1,Delhi,407.8,2024-01-01 08:39:00
33,Pune,535.97,2024-01-01 08:40:00
7,Delhi,665.06,2024-01-01 08:41:00
20,Pune,453.73,2024-01-01 08:42:00
43,Pune,565.3,2024-01-01 08:43:00
21,Pune,537.26,2024-01-01 08:44:00
47,Mumbai,411.79,2024-01-01 08:45:00
38,Delhi,297.28,2024-01-01 08:46:00
14,Delhi,796.95,2024-01-01 08:47:00
46,Delhi,404.62,2024-01-01 08:48:00
27,Delhi,560.12,2024-01-01 08:49:00
0,Delhi,570.24,2024-01-01 08:50:00
41,Mumbai,484.25,2024-01-01 08:51:00
24,Delhi,572.62,2024-01-01 08:52:00
2,Delhi,764.02,2024-01-01 08:53:00
48,Pune,373.44,2024-01-01 08:54:00
35,Pune,504.45,2024-01-01 08:55:00
10,Delhi,597.85,2024-01-01 08:56:00
3,Mumbai,546.91,2024-01-01 08:57:00
40,Delhi,494.64,2024-01-01 08:58:00
33,Pune,438.74,2024-01-01 08:59:00
13,Mumbai,583.48,2024-01-01 09:00:00
36,Mumbai,368.46,2024-01-01 09:01:00
16,Delhi,417.43,2024-01-01 09:02:00
21,Mumbai,564.61,2024-01-01 09:03:00
24,Delhi,522.22,2024-01-01 09:04:00
42,Delhi,667.93,2024-01-01 09:05:00
6,Pune,426.7,2024-01-01 09:06:00
39,Mumbai,553.21,2024-01-01 09:07:00
18,Mumbai,499.04,2024-01-01 09:08:00
6,Mumbai,356.94,2024-01-01 09:09:00
19,Delhi,601.91,2024-01-01 09:10:00
15,Delhi,366.92,2024-01-01 09:11:00
11,Mumbai,435.83,2024-01-01 09:12:00
25,Pune,407.3,2024-01-01 09:13:00
44,Mumbai,370.42,2024-01-01 09:14:00
48,Pune,355.12,2024-01-01 09:15:00
36,Pune,537.25,2024-01-01 09:16:00
49,Mumbai,616.32,2024-01-01 09:17:00
20,Mumbai,395.19,2024-01-01 09:18:00
13,Mumbai,693.99,2024-01-01 09:19:00
30,Delhi,514.84,2024-01-01 09:20:00
28,Delhi,497.73,2024-01-01 09:21:00
25,Pune,469.07,2024-01-01 09:22:00
16,Delhi,573.49,2024-01-01 09:23:00
8,Pune,501.8,2024-01-01 09:24:00
3,Mumbai,397.07,2024-01-01 09:25:00
49,Delhi,524.42,2024-01-01 09:26:00
11,Mumbai,531.64,2024-01-01 09:27:00
6,Pune,585.65,2024-01-01 09:28:00
17,Pune,528.75,2024-01-01 09:29:00
38,Delhi,454.1,2024-01-01 09:30:00
42,Mumbai,500.82,2024-01-01 09:31:00
34,Mumbai,508.87,2024-01-01 09:32:00
15,Pune,554.72,2024-01-01 09:33:00
42,Delhi,467.06,2024-01-01 09:34:00
3,Pune,422.38,2024-01-01 09:35:00
16,Pune,626.09,2024-01-01 09:36:00
36,Pune,516.79,2024-01-01 09:37:00
18,Pune,666.11,2024-01-01 09:38:00
45,Pune,524.56,2024-01-01 09:39:00
30,Pune,754.58,2024-01-01 09:40:00
35,Mumbai,436.52,2024-01-01 09:41:00
