area_sqft,age_years,price
1221.0,6,4128000.0
1136.0,17,2704000.0
1495.0,17,4594000.0
1014.0,33,1946000.0
1249.0,0,4545000.0
648.0,35,799000.0
1177.0,29,2834000.0
1386.0,14,3937000.0
817.0,31,1869000.0
1487.0,12,4764000.0
831.0,34,1552000.0
875.0,15,2357000.0
969.0,16,2591000.0
1384.0,14,4278000.0
1182.0,20,3410000.0
1677.0,15,5213000.0
400.0,1,1193000.0
1062.0,17,2906000.0
1698.0,6,5767000.0
949.0,30,2206000.0
1724.0,35,4142000.0
1112.0,36,2445000.0
2157.0,30,5642000.0
446.0,37,303000.0
1661.0,32,4368000.0
1755.0,17,5465000.0
1651.0,14,5029000.0
668.0,29,1143000.0
1597.0,12,4831000.0
411.0,16,976000.0
1263.0,31,2623000.0
1671.0,21,4513000.0
1549.0,31,3965000.0
1406.0,33,3410000.0
1434.0,14,4578000.0
1448.0,8,4614000.0
703.0,2,2964000.0
554.0,9,1436000.0
1230.0,13,3672000.0
1180.0,38,2279000.0
1037.0,2,3630000.0
1153.0,35,2422000.0
1370.0,11,4146000.0
1129.0,37,2456000.0
863.0,28,1986000.0
1271.0,36,3041000.0
1182.0,2,4159000.0
1062.0,6,3734000.0
1303.0,29,3114000.0
908.0,31,2055000.0
1256.0,6,3872000.0
1317.0,37,3029000.0
1289.0,32,3141000.0
1157.0,31,2876000.0
1200.0,26,2762000.0
1373.0,26,3617000.0
1859.0,30,4931000.0
1640.0,18,4822000.0
965.0,17,2338000.0
1216.0,28,3130000.0
400.0,13,1162000.0
997.0,9,3196000.0
1099.0,0,3685000.0
1392.0,30,3454000.0
1277.0,7,4346000.0
1643.0,4,5750000.0
1243.0,5,3990000.0
1382.0,3,4717000.0
746.0,12,2165000.0
1113.0,32,2475000.0
959.0,9,2871000.0
1532.0,5,5289000.0
761.0,4,2606000.0
678.0,36,568000.0
788.0,13,2491000.0
1153.0,4,4101000.0
1012.0,11,2829000.0
1402.0,5,4564000.0
1990.0,16,6107000.0
1108.0,24,2871000.0
766.0,20,2312000.0
1214.0,14,3678000.0
1452.0,36,3541000.0
1834.0,16,5942000.0
1005.0,15,2769000.0
1945.0,4,6857000.0
1293.0,2,4278000.0
1103.0,4,3667000.0
1283.0,8,3886000.0
1219.0,6,3562000.0
1216.0,11,3904000.0
699.0,13,2081000.0
975.0,26,2779000.0
634.0,32,1097000.0
1150.0,12,3869000.0
974.0,37,1898000.0
1436.0,23,4170000.0
1155.0,8,3512000.0
821.0,15,2294000.0
974.0,15,2870000.0
1111.0,39,2493000.0
1002.0,25,2575000.0
1636.0,15,5469000.0
855.0,38,1268000.0
834.0,15,2123000.0
1175.0,8,4138000.0
785.0,10,3245000.0
1251.0,38,3011000.0
1054.0,22,2638000.0
1197.0,2,3881000.0
1122.0,10,3687000.0
1318.0,36,2899000.0
1014.0,26,2579000.0
1306.0,36,3183000.0
946.0,31,2121000.0
847.0,5,3218000.0
1268.0,21,3256000.0
1538.0,4,5384000.0
945.0,1,3348000.0
951.0,19,2534000.0
886.0,21,2332000.0
1178.0,6,3829000.0
887.0,19,2590000.0
1193.0,12,3431000.0
1062.0,29,2426000.0
1544.0,2,5600000.0
1366.0,36,3379000.0
1056.0,13,2895000.0
1314.0,6,4206000.0
1519.0,1,5026000.0
1666.0,8,5138000.0
1728.0,34,3532000.0
944.0,12,2650000.0
1337.0,8,3967000.0
1203.0,31,2957000.0
1860.0,11,5999000.0
1681.0,33,4463000.0
963.0,13,2753000.0
1050.0,31,2333000.0
1027.0,30,2615000.0
837.0,11,2437000.0
1178.0,23,3161000.0
905.0,20,2076000.0
710.0,35,991000.0
990.0,0,3617000.0
964.0,10,3068000.0
443.0,31,9000.0
734.0,26,1635000.0
1039.0,1,3798000.0
825.0,10,2684000.0
1633.0,17,4768000.0
1551.0,15,4671000.0
919.0,33,1866000.0
1425.0,3,4724000.0
1209.0,13,3749000.0
432.0,33,-1000.0
987.0,17,2487000.0
1515.0,12,4652000.0
1154.0,1,3927000.0
1086.0,35,1965000.0
1476.0,22,3918000.0
1425.0,8,4558000.0
1416.0,7,4556000.0
858.0,12,2843000.0
1121.0,10,3771000.0
1061.0,15,3326000.0
945.0,22,2197000.0
537.0,30,763000.0
909.0,11,2499000.0
1164.0,0,3696000.0
400.0,5,1578000.0
1902.0,7,6023000.0
1430.0,37,3615000.0
1544.0,31,4020000.0
1730.0,22,4816000.0
1269.0,31,3222000.0
859.0,23,1908000.0
1896.0,13,5957000.0
977.0,20,2530000.0
1870.0,6,6394000.0
1661.0,24,4779000.0
940.0,8,3123000.0
1538.0,30,4130000.0
939.0,20,2513000.0
1373.0,39,2800000.0
1019.0,27,2263000.0
1373.0,32,3223000.0
861.0,31,1875000.0
870.0,9,2714000.0
1469.0,0,4888000.0
400.0,32,370000.0
1224.0,17,3782000.0
595.0,5,2212000.0
914.0,34,2085000.0
400.0,25,598000.0
989.0,26,2472000.0
1280.0,18,3723000.0
849.0,37,1735000.0
1206.0,10,3932000.0
1442.0,33,3567000.0
952.0,39,1840000.0
947.0,25,2322000.0
1013.0,37,1854000.0
948.0,12,2968000.0
1010.0,27,2409000.0
853.0,13,2595000.0
1521.0,35,3671000.0
1016.0,35,2036000.0
1019.0,21,2385000.0
1049.0,22,2756000.0
1266.0,27,3543000.0
1847.0,12,5668000.0
1027.0,7,3334000.0
1101.0,1,3911000.0
948.0,5,3269000.0
1062.0,17,2975000.0
1369.0,26,3747000.0
1261.0,8,3911000.0
1064.0,15,3234000.0
1153.0,39,2423000.0
1227.0,32,3001000.0
988.0,10,3066000.0
797.0,22,2146000.0
1126.0,25,2811000.0
1356.0,11,3864000.0
694.0,34,1216000.0
1614.0,24,4435000.0
1311.0,12,4080000.0
1092.0,22,2711000.0
1564.0,25,4216000.0
1252.0,19,3415000.0
1214.0,38,2373000.0
1133.0,32,2779000.0
702.0,0,2529000.0
1030.0,15,3109000.0
622.0,22,1439000.0
1601.0,14,5143000.0
1473.0,14,4523000.0
1568.0,18,4981000.0
1690.0,6,5471000.0
