server,status,response_ms
10.0.0.6,200,30.85
10.0.0.6,503,134.85
10.0.0.6,200,113.63
10.0.0.1,200,161.72
10.0.0.6,200,91.23
10.0.0.2,200,23.16
10.0.0.2,200,87.29
10.0.0.6,200,64.66
10.0.0.6,503,126.7
10.0.0.5,404,138.07
10.0.0.4,404,133.54
10.0.0.2,200,24.63
10.0.0.6,200,30.76
10.0.0.4,200,106.7
10.0.0.5,200,62.16
10.0.0.6,200,79.19
10.0.0.6,200,102.73
10.0.0.1,200,58.26
10.0.0.4,200,43.84
10.0.0.2,200,87.67
10.0.0.2,200,84.23
10.0.0.2,200,45.62
10.0.0.6,200,67.0
10.0.0.2,200,72.72
10.0.0.6,200,42.35
10.0.0.6,200,130.17
10.0.0.6,200,19.24
10.0.0.6,200,57.62
10.0.0.1,200,41.5
10.0.0.3,200,34.78
10.0.0.6,200,182.02
10.0.0.6,200,38.29
10.0.0.6,200,171.67
10.0.0.6,503,94.48
10.0.0.2,200,58.92
10.0.0.6,200,216.53
10.0.0.6,200,29.08
10.0.0.1,200,48.94
10.0.0.6,200,49.66
10.0.0.6,200,140.74
10.0.0.4,200,158.76
10.0.0.6,200,220.73
10.0.0.6,503,87.76
10.0.0.4,200,52.19
10.0.0.6,200,115.36
10.0.0.6,200,18.13
10.0.0.1,404,108.71
10.0.0.6,200,38.35
10.0.0.6,200,75.52
10.0.0.6,200,24.06
10.0.0.3,200,73.06
10.0.0.6,200,26.57
10.0.0.2,200,73.35
10.0.0.6,200,53.7
10.0.0.1,200,63.19
10.0.0.1,200,30.42
10.0.0.2,200,39.86
10.0.0.6,200,31.26
10.0.0.6,200,65.85
10.0.0.6,200,10.7
10.0.0.6,200,109.93
10.0.0.2,200,147.28
10.0.0.6,200,56.83
10.0.0.6,200,31.13
10.0.0.3,200,6.71
10.0.0.1,200,32.25
10.0.0.6,200,55.67
10.0.0.1,200,24.41
10.0.0.5,200,113.12
10.0.0.1,200,126.56
10.0.0.3,200,51.49
10.0.0.6,404,36.19
10.0.0.1,200,109.99
10.0.0.6,200,38.38
10.0.0.2,404,204.2
10.0.0.1,200,166.92
10.0.0.2,200,101.62
10.0.0.6,200,59.44
10.0.0.6,200,117.55
10.0.0.5,404,143.03
10.0.0.6,200,78.4
10.0.0.6,200,75.04
10.0.0.5,200,177.12
10.0.0.6,200,114.07
10.0.0.6,200,58.79
10.0.0.6,200,28.07
10.0.0.4,200,55.78
10.0.0.5,200,47.0
10.0.0.6,200,76.88
10.0.0.6,404,174.76
10.0.0.6,200,18.78
10.0.0.3,200,45.18
10.0.0.6,404,74.22
10.0.0.6,200,24.44
10.0.0.3,200,54.18
10.0.0.6,200,164.29
10.0.0.5,200,146.93
10.0.0.6,200,62.31
10.0.0.6,200,79.95
10.0.0.6,200,93.56
10.0.0.2,200,107.24
10.0.0.1,500,72.33
10.0.0.3,200,9.2
10.0.0.5,200,130.9
10.0.0.6,200,62.56
10.0.0.6,200,113.55
10.0.0.6,200,374.93
10.0.0.6,200,62.74
10.0.0.6,200,43.83
10.0.0.2,200,155.02
10.0.0.4,200,32.03
10.0.0.6,200,58.18
10.0.0.2,200,32.67
10.0.0.1,200,246.88
10.0.0.6,200,95.1
10.0.0.4,200,101.26
10.0.0.6,200,28.34
10.0.0.6,200,71.74
10.0.0.6,503,93.99
10.0.0.4,200,100.09
10.0.0.1,200,130.62
10.0.0.5,200,7.67
10.0.0.6,200,11.7
10.0.0.6,200,38.23
10.0.0.6,200,185.33
10.0.0.3,200,77.88
10.0.0.3,200,46.39
10.0.0.3,200,323.58
10.0.0.6,200,83.48
10.0.0.5,200,69.32
10.0.0.6,500,225.2
10.0.0.1,200,20.27
10.0.0.6,200,61.64
10.0.0.6,200,100.23
10.0.0.6,200,25.85
10.0.0.6,500,53.51
10.0.0.3,200,100.77
10.0.0.6,200,13.91
10.0.0.4,404,88.39
10.0.0.5,200,31.67
10.0.0.6,200,70.75
10.0.0.6,200,36.07
10.0.0.6,200,73.19
10.0.0.2,200,68.79
10.0.0.4,200,25.84
10.0.0.1,200,42.75
10.0.0.6,200,11.37
10.0.0.2,200,86.34
10.0.0.2,503,39.38
10.0.0.4,200,125.97
10.0.0.6,200,83.21
10.0.0.6,200,77.17
10.0.0.1,200,93.82
10.0.0.1,200,53.66
10.0.0.6,200,10.8
10.0.0.6,404,14.93
10.0.0.2,200,417.08
10.0.0.6,200,26.14
10.0.0.2,200,30.19
10.0.0.3,200,61.49
10.0.0.3,200,87.65
10.0.0.6,200,185.43
10.0.0.1,200,267.15
10.0.0.6,200,15.76
10.0.0.6,500,122.3
10.0.0.2,200,165.39
10.0.0.6,200,68.51
10.0.0.5,200,26.13
10.0.0.6,200,147.7
10.0.0.6,200,189.94
10.0.0.3,200,60.64
10.0.0.3,200,18.45
10.0.0.6,200,86.54
10.0.0.2,503,43.16
10.0.0.6,200,37.46
10.0.0.4,200,175.74
10.0.0.6,200,20.78
10.0.0.1,200,296.42
10.0.0.5,200,92.11
10.0.0.6,200,29.94
10.0.0.5,200,33.42
10.0.0.6,200,20.75
10.0.0.3,200,121.99
10.0.0.6,200,137.36
10.0.0.1,404,8.71
10.0.0.6,200,48.88
10.0.0.6,200,105.18
10.0.0.3,200,106.45
10.0.0.6,200,32.02
10.0.0.4,200,200.45
10.0.0.1,200,94.73
10.0.0.2,200,70.55
10.0.0.6,200,136.14
10.0.0.3,200,60.97
10.0.0.1,200,96.18
10.0.0.4,200,27.63
10.0.0.1,200,5.57
10.0.0.6,200,84.3
10.0.0.6,200,62.59
10.0.0.6,404,85.45
10.0.0.3,200,21.16
10.0.0.3,404,179.94
10.0.0.6,503,54.93
10.0.0.6,200,54.15
10.0.0.6,200,79.03
10.0.0.6,200,50.85
10.0.0.6,200,169.27
10.0.0.5,200,43.03
10.0.0.6,503,62.93
10.0.0.6,200,82.6
10.0.0.5,200,12.41
10.0.0.4,200,70.72
10.0.0.6,503,129.13
10.0.0.3,200,83.37
10.0.0.6,200,30.63
10.0.0.6,200,34.45
10.0.0.2,200,69.64
10.0.0.6,200,65.75
10.0.0.5,200,69.01
10.0.0.6,200,40.03
10.0.0.6,200,81.59
10.0.0.6,200,124.95
10.0.0.4,200,28.13
10.0.0.6,503,126.15
10.0.0.6,200,14.68
10.0.0.3,200,283.76
10.0.0.6,200,109.38
10.0.0.6,200,52.18
10.0.0.1,503,55.58
10.0.0.6,200,26.37
10.0.0.4,200,25.75
10.0.0.6,200,50.81
10.0.0.6,200,55.6
10.0.0.6,200,114.37
10.0.0.4,200,55.11
10.0.0.6,200,33.94
10.0.0.6,200,194.37
10.0.0.3,200,80.05
10.0.0.2,200,169.77
10.0.0.5,200,60.9
10.0.0.3,200,93.19
10.0.0.3,200,57.15
10.0.0.6,200,35.19
10.0.0.2,404,405.96
10.0.0.6,200,121.44
10.0.0.6,200,36.28
10.0.0.6,200,192.62
10.0.0.6,200,34.06
10.0.0.6,404,26.2
10.0.0.6,200,112.89
10.0.0.6,500,75.69
10.0.0.5,200,79.01
10.0.0.6,200,117.89
10.0.0.2,200,135.1
10.0.0.4,404,95.34
10.0.0.1,200,34.95
10.0.0.4,200,39.93
10.0.0.6,200,128.51
10.0.0.1,200,98.16
10.0.0.1,200,191.33
10.0.0.6,200,35.89
10.0.0.1,200,41.72
10.0.0.5,200,89.42
10.0.0.6,200,148.6
10.0.0.4,200,58.08
10.0.0.6,200,15.27
10.0.0.6,200,134.13
10.0.0.4,200,168.31
10.0.0.5,200,39.3
10.0.0.5,200,66.41
10.0.0.4,200,60.7
10.0.0.5,200,34.01
10.0.0.6,200,49.33
10.0.0.6,200,115.64
10.0.0.6,200,68.86
10.0.0.4,200,158.09
10.0.0.3,200,178.04
10.0.0.1,200,12.11
10.0.0.4,200,91.27
10.0.0.1,200,75.8
10.0.0.6,200,69.58
10.0.0.2,200,125.14
10.0.0.1,200,20.57
10.0.0.3,200,283.63
10.0.0.6,200,78.3
10.0.0.6,200,41.83
10.0.0.1,200,94.92
10.0.0.5,200,129.79
10.0.0.4,200,68.68
10.0.0.3,200,91.71
10.0.0.6,200,26.17
10.0.0.5,200,55.62
10.0.0.6,200,65.66
10.0.0.6,200,57.8
10.0.0.6,200,87.16
10.0.0.4,200,13.58
10.0.0.6,200,95.12
10.0.0.5,200,133.95
10.0.0.6,200,126.58
10.0.0.6,200,37.73
10.0.0.6,200,30.72
10.0.0.6,200,22.02
10.0.0.6,404,49.86
10.0.0.6,200,54.86
10.0.0.1,200,138.88
10.0.0.3,200,40.68
10.0.0.6,200,21.77
10.0.0.6,200,101.17
10.0.0.6,200,87.3
10.0.0.2,200,49.94
10.0.0.6,200,83.88
10.0.0.2,200,146.26
10.0.0.6,200,34.34
10.0.0.6,200,59.83
10.0.0.6,404,31.9
10.0.0.4,200,19.85
10.0.0.6,200,28.47
10.0.0.1,200,152.07
10.0.0.6,200,36.47
10.0.0.6,200,88.82
10.0.0.5,200,257.18
10.0.0.4,200,52.78
10.0.0.6,200,20.02
10.0.0.6,200,47.24
10.0.0.6,200,23.62
10.0.0.3,200,195.72
10.0.0.5,404,31.64
10.0.0.6,200,47.88
10.0.0.4,200,11.5
10.0.0.6,500,17.97
10.0.0.6,404,53.18
10.0.0.6,200,31.93
10.0.0.4,200,152.28
10.0.0.3,200,181.62
10.0.0.2,200,75.52
10.0.0.2,200,111.23
10.0.0.2,200,16.98
10.0.0.6,200,15.12
10.0.0.6,200,22.38
10.0.0.6,200,43.7
10.0.0.3,200,87.64
10.0.0.6,200,20.48
10.0.0.5,200,9.85
10.0.0.6,404,140.03
10.0.0.6,200,26.41
10.0.0.6,404,68.01
10.0.0.4,200,85.64
10.0.0.6,200,51.83
10.0.0.6,200,16.99
10.0.0.6,200,115.32
10.0.0.5,200,52.53
10.0.0.6,404,174.25
10.0.0.2,200,62.22
10.0.0.6,200,23.17
10.0.0.6,500,129.51
10.0.0.6,200,55.87
10.0.0.4,200,207.54
10.0.0.3,200,94.31
10.0.0.3,200,133.6
10.0.0.3,200,167.03
10.0.0.6,200,23.9
10.0.0.6,200,63.91
10.0.0.6,200,23.65
10.0.0.6,200,4.17
10.0.0.6,200,46.36
10.0.0.6,200,34.15
10.0.0.1,200,165.15
10.0.0.6,200,24.6
10.0.0.1,200,10.4
10.0.0.2,200,69.51
10.0.0.6,200,74.84
10.0.0.2,200,57.66
10.0.0.6,200,25.94
10.0.0.2,200,130.07
10.0.0.6,200,15.82
10.0.0.6,200,19.22
10.0.0.5,200,97.36
10.0.0.4,200,301.51
10.0.0.6,200,96.8
10.0.0.6,200,46.52
10.0.0.2,200,8.35
10.0.0.6,200,52.96
10.0.0.4,200,170.32
10.0.0.4,200,155.12
10.0.0.2,404,77.05
10.0.0.6,200,91.43
10.0.0.6,200,147.16
10.0.0.1,200,86.92
10.0.0.6,200,23.49
10.0.0.6,200,55.46
10.0.0.3,500,79.1
10.0.0.2,200,62.55
10.0.0.3,500,89.9
10.0.0.6,200,102.8
10.0.0.6,200,306.15
10.0.0.3,200,182.27
10.0.0.6,404,59.86
10.0.0.5,200,80.01
10.0.0.4,200,120.76
10.0.0.2,404,57.45
10.0.0.6,404,22.99
10.0.0.2,200,32.22
10.0.0.6,503,85.99
10.0.0.6,200,87.43
10.0.0.2,200,48.64
10.0.0.6,200,104.14
10.0.0.5,200,222.68
10.0.0.6,200,188.79
10.0.0.6,200,37.77
10.0.0.5,200,121.83
10.0.0.6,200,49.41
10.0.0.6,200,66.24
10.0.0.3,200,50.65
10.0.0.1,200,51.31
10.0.0.6,200,6.52
10.0.0.4,200,166.2
10.0.0.6,200,35.32
10.0.0.4,200,14.01
10.0.0.6,200,56.06
10.0.0.4,200,38.39
10.0.0.4,200,140.48
10.0.0.2,404,80.93
10.0.0.5,200,19.75
10.0.0.2,200,53.61
10.0.0.6,200,34.74
10.0.0.2,200,108.27
10.0.0.1,200,128.34
10.0.0.3,200,63.78
10.0.0.6,200,175.05
10.0.0.2,200,73.99
10.0.0.4,200,82.68
10.0.0.4,200,15.62
10.0.0.6,200,102.79
10.0.0.3,200,110.44
10.0.0.3,200,44.39
10.0.0.3,200,50.66
10.0.0.6,200,44.47
10.0.0.6,200,45.95
10.0.0.5,200,110.7
10.0.0.6,200,134.61
10.0.0.6,200,158.91
10.0.0.6,200,138.55
10.0.0.6,200,111.29
10.0.0.5,200,67.28
10.0.0.6,200,119.67
10.0.0.1,200,62.85
10.0.0.5,404,165.98
10.0.0.6,200,28.35
10.0.0.6,200,43.51
10.0.0.2,200,131.04
10.0.0.4,503,19.66
10.0.0.4,200,27.77
10.0.0.6,200,27.01
10.0.0.1,200,94.58
10.0.0.6,200,44.23
10.0.0.6,200,64.24
10.0.0.6,200,36.15
10.0.0.3,200,27.57
10.0.0.6,200,88.61
10.0.0.6,200,178.04
10.0.0.5,200,157.58
10.0.0.6,200,193.05
10.0.0.5,200,17.19
10.0.0.6,200,28.81
10.0.0.6,200,58.64
10.0.0.5,200,38.71
10.0.0.6,200,28.47
10.0.0.6,200,25.84
10.0.0.1,200,58.42
10.0.0.6,200,41.45
10.0.0.1,200,219.37
10.0.0.6,200,74.5
10.0.0.5,200,73.53
10.0.0.1,200,22.32
10.0.0.6,200,6.2
10.0.0.3,200,35.95
10.0.0.5,200,64.09
10.0.0.3,200,84.06
10.0.0.6,200,172.92
10.0.0.4,200,99.84
10.0.0.6,200,33.62
10.0.0.5,200,67.7
10.0.0.6,200,10.09
10.0.0.6,200,102.51
10.0.0.2,200,77.34
10.0.0.3,200,154.19
10.0.0.5,200,41.84
10.0.0.6,200,61.51
10.0.0.2,200,70.29
10.0.0.2,200,74.83
10.0.0.5,200,29.58
10.0.0.4,200,83.93
10.0.0.6,200,64.04
10.0.0.6,200,60.48
10.0.0.1,200,40.85
10.0.0.6,200,25.56
10.0.0.2,200,157.57
10.0.0.2,200,62.14
10.0.0.3,200,60.77
10.0.0.6,200,53.48
10.0.0.3,200,97.78
10.0.0.6,200,91.12
10.0.0.2,200,100.84
10.0.0.2,200,26.61
10.0.0.6,200,32.48
10.0.0.6,200,37.74
10.0.0.6,200,109.18
10.0.0.3,200,95.72
10.0.0.5,200,30.12
10.0.0.6,200,88.13
10.0.0.6,200,85.14
10.0.0.6,200,28.76
10.0.0.6,200,204.02
10.0.0.6,200,31.1
10.0.0.6,200,57.54
10.0.0.5,200,130.4
10.0.0.2,200,37.33
10.0.0.6,200,89.53
10.0.0.3,200,21.7
10.0.0.3,200,42.62
10.0.0.5,200,14.32
10.0.0.1,200,170.18
10.0.0.2,200,42.13
10.0.0.6,200,31.91
10.0.0.6,200,43.24
10.0.0.3,200,231.21
10.0.0.4,200,151.62
10.0.0.5,200,50.02
10.0.0.6,200,272.41
10.0.0.6,200,44.1
10.0.0.6,200,94.26
10.0.0.6,200,127.09
10.0.0.1,200,235.45
10.0.0.2,200,103.39
10.0.0.4,200,57.7
10.0.0.6,200,13.31
10.0.0.6,200,26.9
10.0.0.6,200,168.83
10.0.0.3,200,77.17
10.0.0.5,200,27.2
10.0.0.6,200,125.21
10.0.0.1,200,55.06
10.0.0.6,200,119.14
10.0.0.3,200,53.68
10.0.0.6,200,73.05
10.0.0.6,200,140.79
10.0.0.4,200,40.41
10.0.0.2,200,189.31
10.0.0.2,200,17.44
10.0.0.1,200,43.45
10.0.0.4,200,226.79
10.0.0.1,200,141.7
10.0.0.6,200,121.99
10.0.0.2,200,128.53
10.0.0.3,503,99.93
10.0.0.6,200,36.03
10.0.0.6,200,53.04
10.0.0.6,200,233.95
10.0.0.6,200,41.21
10.0.0.6,200,8.2
10.0.0.6,200,168.06
10.0.0.5,200,33.1
10.0.0.6,200,48.36
10.0.0.3,200,46.44
10.0.0.1,200,211.49
10.0.0.3,200,95.96
10.0.0.2,200,168.89
10.0.0.1,200,29.02
10.0.0.2,200,28.52
10.0.0.6,200,77.58
10.0.0.6,200,113.15
10.0.0.5,200,67.07
10.0.0.6,200,178.55
10.0.0.1,200,79.73
10.0.0.5,200,88.58
10.0.0.6,200,88.82
10.0.0.1,503,15.02
10.0.0.6,200,65.67
10.0.0.6,200,111.24
10.0.0.6,200,6.42
10.0.0.1,404,31.2
10.0.0.3,200,161.68
10.0.0.6,200,79.77
10.0.0.1,200,32.4
10.0.0.6,200,25.69
10.0.0.1,200,122.44
10.0.0.6,200,37.42
10.0.0.6,200,27.58
10.0.0.3,200,45.74
10.0.0.6,200,80.69
10.0.0.6,200,81.43
10.0.0.1,200,53.97
10.0.0.5,200,22.1
10.0.0.3,200,56.95
10.0.0.6,200,72.68
10.0.0.6,200,97.21
10.0.0.6,200,52.88
10.0.0.6,200,38.76
10.0.0.4,200,93.73
10.0.0.6,200,127.45
10.0.0.5,404,35.48
10.0.0.6,200,11.19
10.0.0.3,200,21.02
10.0.0.4,200,44.67
10.0.0.6,500,83.67
10.0.0.2,200,255.83
10.0.0.6,200,179.78
10.0.0.1,200,79.54
10.0.0.6,404,193.93
10.0.0.6,200,171.59
10.0.0.2,200,59.11
10.0.0.5,200,15.05
10.0.0.1,200,38.56
10.0.0.3,200,70.2
10.0.0.6,200,152.22
10.0.0.6,200,226.2
10.0.0.6,200,101.45
10.0.0.6,404,87.24
10.0.0.3,200,65.32
10.0.0.2,404,13.8
10.0.0.2,200,140.65
10.0.0.6,200,9.83
10.0.0.6,200,32.01
10.0.0.1,503,102.98
10.0.0.5,200,259.94
10.0.0.6,200,74.61
10.0.0.2,200,87.36
10.0.0.4,200,78.47
10.0.0.5,200,47.23
10.0.0.6,200,83.41
10.0.0.6,200,19.06
10.0.0.5,200,79.82
10.0.0.6,200,150.58
10.0.0.6,200,109.42
10.0.0.4,200,17.02
10.0.0.6,200,84.96
10.0.0.3,200,61.72
10.0.0.5,500,66.91
10.0.0.5,200,9.81
10.0.0.2,200,30.25
10.0.0.4,500,98.16
10.0.0.6,404,204.36
10.0.0.5,200,29.47
10.0.0.6,200,69.4
10.0.0.2,200,174.62
10.0.0.4,200,177.14
10.0.0.6,200,195.31
10.0.0.3,200,88.04
10.0.0.6,200,8.87
10.0.0.3,200,119.84
10.0.0.3,200,72.78
10.0.0.4,200,53.22
10.0.0.6,200,133.15
10.0.0.6,200,61.94
10.0.0.5,200,14.07
10.0.0.6,200,35.54
10.0.0.6,200,30.95
10.0.0.2,200,7.45
10.0.0.5,200,42.88
10.0.0.5,503,126.2
10.0.0.6,500,73.04
10.0.0.5,200,100.12
10.0.0.6,200,116.84
10.0.0.3,200,28.51
10.0.0.1,500,94.86
10.0.0.6,200,49.93
10.0.0.3,404,30.55
10.0.0.6,503,108.03
10.0.0.5,200,34.16
10.0.0.4,200,42.03
10.0.0.3,200,161.11
10.0.0.1,200,50.12
10.0.0.5,404,37.63
10.0.0.6,200,65.99
10.0.0.2,200,80.72
10.0.0.6,200,58.12
10.0.0.6,200,132.19
10.0.0.1,200,74.4
10.0.0.6,200,172.42
10.0.0.4,200,58.27
10.0.0.5,200,73.98
10.0.0.6,200,99.57
10.0.0.6,200,76.22
10.0.0.6,200,98.38
10.0.0.6,200,21.7
10.0.0.2,200,227.01
10.0.0.6,200,67.06
10.0.0.6,200,82.63
10.0.0.6,500,99.21
10.0.0.6,200,16.08
10.0.0.6,200,36.51
10.0.0.6,200,67.64
10.0.0.6,200,65.42
10.0.0.6,503,98.13
10.0.0.6,200,89.92
10.0.0.6,200,68.32
10.0.0.6,200,7.51
10.0.0.5,200,47.0
10.0.0.6,200,109.53
10.0.0.6,404,28.61
10.0.0.2,200,88.46
10.0.0.4,200,28.36
10.0.0.1,200,6.96
10.0.0.6,200,38.58
10.0.0.4,200,49.99
10.0.0.6,200,234.12
10.0.0.1,200,30.43
10.0.0.3,200,86.53
10.0.0.4,200,19.42
10.0.0.6,404,51.74
10.0.0.1,404,14.76
10.0.0.6,200,206.48
10.0.0.4,200,113.59
10.0.0.1,200,5.4
10.0.0.4,200,15.09
10.0.0.6,404,169.8
10.0.0.1,200,67.94
10.0.0.1,200,21.95
10.0.0.2,200,31.59
10.0.0.6,500,29.98
10.0.0.1,200,41.95
10.0.0.3,200,20.53
10.0.0.6,200,101.86
10.0.0.5,200,10.42
10.0.0.3,200,66.11
10.0.0.6,200,191.09
10.0.0.6,200,51.92
10.0.0.3,200,91.0
10.0.0.6,200,9.44
10.0.0.6,200,141.44
10.0.0.1,200,2.48
10.0.0.3,200,59.47
10.0.0.4,200,26.57
10.0.0.2,500,55.48
10.0.0.6,503,58.13
10.0.0.3,200,50.46
10.0.0.6,200,153.94
10.0.0.6,200,104.6
10.0.0.1,200,82.89
10.0.0.6,200,107.18
10.0.0.6,200,69.34
10.0.0.4,200,26.84
10.0.0.6,200,45.98
10.0.0.4,503,31.44
10.0.0.5,200,64.47
10.0.0.6,200,190.23
10.0.0.2,404,82.72
10.0.0.6,200,122.65
10.0.0.6,200,89.96
10.0.0.4,200,25.7
10.0.0.1,200,106.04
10.0.0.6,200,37.06
10.0.0.5,200,135.19
10.0.0.1,200,90.16
10.0.0.1,200,102.64
10.0.0.2,200,80.45
10.0.0.4,200,113.23
10.0.0.6,200,192.91
10.0.0.4,200,127.77
10.0.0.1,503,84.77
10.0.0.5,200,72.5
10.0.0.5,200,34.48
10.0.0.6,200,24.56
10.0.0.1,200,119.63
10.0.0.6,200,100.08
10.0.0.6,200,270.37
10.0.0.6,200,71.82
10.0.0.1,200,11.86
10.0.0.6,200,151.19
10.0.0.6,500,109.58
10.0.0.1,200,67.33
10.0.0.6,200,132.58
10.0.0.4,200,16.18
10.0.0.3,200,44.97
10.0.0.4,200,9.83
10.0.0.6,200,172.66
10.0.0.6,200,19.36
10.0.0.4,200,34.44
10.0.0.1,200,39.78
10.0.0.3,200,77.99
10.0.0.6,200,97.15
10.0.0.6,200,43.18
10.0.0.1,200,167.07
10.0.0.1,200,134.14
10.0.0.1,500,31.93
10.0.0.6,200,71.19
10.0.0.6,200,31.44
10.0.0.1,200,15.33
10.0.0.4,200,105.99
10.0.0.6,404,11.83
10.0.0.6,200,97.44
10.0.0.2,503,26.84
10.0.0.6,200,61.74
10.0.0.4,200,84.0
10.0.0.6,200,124.69
10.0.0.4,200,12.0
10.0.0.4,200,7.06
10.0.0.6,404,27.79
10.0.0.6,200,15.42
10.0.0.3,200,76.0
10.0.0.6,200,87.02
10.0.0.4,200,79.69
10.0.0.3,200,296.92
10.0.0.6,200,34.02
10.0.0.6,200,49.32
10.0.0.6,200,48.48
10.0.0.1,200,25.46
10.0.0.4,200,34.06
10.0.0.6,200,24.8
10.0.0.3,200,13.03
10.0.0.3,200,22.51
10.0.0.2,200,26.57
10.0.0.6,200,138.65
10.0.0.6,500,66.63
10.0.0.4,200,122.23
10.0.0.6,200,115.88
10.0.0.6,200,12.4
10.0.0.6,500,42.94
10.0.0.6,503,55.66
10.0.0.5,200,101.2
10.0.0.5,200,137.75
10.0.0.5,200,99.19
10.0.0.1,200,94.36
10.0.0.6,200,150.36
10.0.0.5,200,33.07
10.0.0.6,200,122.29
10.0.0.2,500,71.2
10.0.0.1,200,46.44
10.0.0.6,200,26.64
10.0.0.3,404,116.5
10.0.0.6,200,188.9
10.0.0.1,200,35.35
10.0.0.6,200,84.93
10.0.0.1,503,51.34
10.0.0.6,200,86.81
10.0.0.1,200,58.21
10.0.0.6,200,77.54
10.0.0.3,503,22.22
10.0.0.6,200,71.77
10.0.0.2,200,97.68
10.0.0.6,200,123.86
10.0.0.6,404,105.17
10.0.0.6,200,46.93
10.0.0.2,200,84.5
10.0.0.3,200,20.36
10.0.0.6,200,209.11
10.0.0.6,200,210.76
10.0.0.6,200,161.15
10.0.0.4,200,20.85
10.0.0.2,200,19.05
10.0.0.3,200,48.36
10.0.0.2,200,22.61
10.0.0.6,200,207.36
10.0.0.6,200,23.46
10.0.0.4,200,137.36
10.0.0.6,200,21.52
10.0.0.5,200,51.13
10.0.0.3,200,35.49
10.0.0.6,200,120.63
10.0.0.5,200,71.68
10.0.0.2,200,146.8
10.0.0.6,200,72.89
10.0.0.6,200,53.9
10.0.0.3,200,24.29
10.0.0.6,200,81.56
10.0.0.6,200,7.97
10.0.0.4,200,65.19
10.0.0.6,200,123.36
10.0.0.6,200,26.46
10.0.0.6,200,191.64
10.0.0.5,200,90.94
10.0.0.6,200,162.59
10.0.0.6,200,74.12
10.0.0.6,200,102.94
10.0.0.3,200,176.87
10.0.0.6,200,40.34
10.0.0.2,200,117.83
