area,bedrooms,age,noise_1,noise_2,noise_3,price
1394.0,4,19,-0.2145,-0.7196,2.3979,71075.0
1399.0,5,25,-0.3291,-0.2662,1.6763,98550.0
1046.0,1,13,1.6902,0.0569,-1.1736,-46283.0
706.0,1,32,-1.8834,-0.43,0.3502,-197779.0
1250.0,2,28,-0.4516,-0.8447,-1.331,-53657.0
1233.0,2,35,0.9508,-0.8024,-1.6557,-120480.0
832.0,3,25,-0.9121,-1.5045,0.7435,-38908.0
995.0,1,36,-0.4768,0.0891,0.5517,-196082.0
1178.0,1,17,-0.3511,0.3721,-1.0386,-63666.0
917.0,4,36,0.6608,0.7273,1.6437,-27938.0
1171.0,1,27,0.1375,-1.8276,-0.9776,-142584.0
1229.0,1,3,0.4021,0.7839,-1.1677,64504.0
1211.0,2,12,0.5953,-0.0391,0.6526,68026.0
1048.0,1,15,0.0299,-1.4506,0.2209,-55118.0
1378.0,1,29,1.1106,0.0758,-0.1605,-114569.0
1467.0,1,18,-0.729,0.7926,-0.0671,-66339.0
1296.0,3,14,-1.4361,0.5004,0.2238,81644.0
955.0,2,35,-1.7769,0.7033,-0.1396,-157262.0
1419.0,5,38,-1.621,0.9233,-0.1725,-13200.0
1050.0,3,16,-0.5505,0.874,-1.896,56702.0
1464.0,2,9,1.03,-0.0575,-1.342,70433.0
878.0,5,10,0.1742,-2.1042,0.6109,175993.0
1474.0,1,10,-0.5985,-0.7812,-0.7043,31552.0
1194.0,2,0,-1.0699,0.3346,0.5452,150231.0
825.0,1,22,-0.5289,-0.4909,1.2355,-75453.0
1106.0,2,11,-0.4037,0.6644,-0.355,72879.0
1216.0,3,25,-0.5651,0.7768,0.283,-40399.0
1282.0,5,31,-1.4325,0.0274,2.0765,66170.0
905.0,2,11,-0.4758,1.8592,0.6949,65105.0
868.0,4,0,1.0171,-0.9955,1.8419,215395.0
1260.0,5,23,-2.1746,0.9111,1.5334,124548.0
1060.0,1,6,-0.2406,-0.4926,0.7534,63165.0
1271.0,4,24,-2.1213,-0.8005,-0.1119,35353.0
1428.0,5,12,0.183,0.5688,-0.842,169265.0
705.0,2,34,-0.7475,-0.6356,-1.1117,-158041.0
1276.0,5,21,-2.0857,0.8393,0.4863,176134.0
1567.0,5,27,0.1007,-1.1863,0.4682,85735.0
1111.0,1,14,1.8174,0.0156,-0.1746,-52954.0
957.0,1,16,0.1089,-0.8629,0.8485,-54349.0
1426.0,4,35,1.1618,-0.2545,-0.6045,-57101.0
1276.0,3,22,-0.0715,-0.3914,1.1102,4294.0
1469.0,1,8,-2.1576,-1.148,0.04,31973.0
1096.0,5,4,0.4905,0.6363,-0.0363,199648.0
755.0,2,22,-0.4183,-1.2642,-0.0003,-46142.0
1167.0,1,32,-1.4621,-0.9991,-0.0986,-142697.0
1066.0,3,31,0.7848,0.8728,2.4883,-69967.0
1433.0,2,2,0.2869,0.9547,-1.6115,119336.0
1258.0,3,37,-0.5254,0.6494,0.1772,-86388.0
711.0,2,28,0.8681,0.322,1.2441,-128003.0
841.0,3,34,-0.8721,2.2603,0.7175,-121688.0
1465.0,3,39,0.6434,-1.2274,-0.3021,-145861.0
1404.0,3,5,-0.9405,-0.761,1.7401,148972.0
1008.0,5,1,0.534,-1.0113,-1.0685,280121.0
1200.0,2,31,-1.1007,0.8815,-1.3063,-113811.0
1334.0,3,38,1.4892,0.271,0.5681,-102984.0
1341.0,4,27,0.2543,1.094,-1.4545,40845.0
1463.0,5,34,1.4329,0.9558,-2.3779,31822.0
1277.0,2,16,-0.8224,-0.2416,0.8829,-5863.0
1172.0,5,35,-0.4761,-0.8354,0.7614,-202.0
1122.0,5,1,0.8397,-1.0084,0.7323,300625.0
1517.0,2,3,-2.7437,2.1957,-0.4875,100576.0
525.0,3,6,-1.0668,0.9518,0.1829,112682.0
1158.0,4,11,1.0332,0.5775,-0.9653,138395.0
1210.0,2,29,0.4651,-0.3543,1.7344,-99302.0
772.0,2,12,0.9788,-0.2134,0.791,5647.0
1300.0,1,3,-0.3098,-0.3591,0.7423,38013.0
1005.0,3,36,0.564,-0.3388,-1.95,-56731.0
1459.0,3,12,-0.7308,-2.4185,0.8073,116688.0
1162.0,4,37,-1.372,-0.0762,1.494,-75392.0
1401.0,2,10,-1.6948,-0.3971,1.2163,60851.0
1566.0,3,27,-0.5517,0.275,0.7891,-5486.0
1315.0,4,29,-0.5489,0.1948,-0.001,577.0
937.0,4,24,-0.6294,0.8387,-0.3418,48440.0
746.0,3,14,-3.5488,-0.0276,0.6016,48074.0
1726.0,1,25,-1.9986,0.7824,0.3828,-105391.0
1167.0,1,3,-0.5326,-2.5754,0.2364,59315.0
993.0,3,14,0.287,-1.1157,-0.3092,58640.0
1243.0,5,14,-0.5788,1.7114,1.6813,126234.0
1143.0,3,34,-0.8769,-1.2335,-1.1678,-87287.0
1456.0,1,13,-2.3085,-0.2933,-0.0226,-5088.0
1210.0,1,6,2.0215,0.6926,-0.5802,47824.0
1204.0,5,28,-1.1011,-0.8967,1.032,42240.0
986.0,2,19,1.6834,0.7084,1.4305,-15535.0
1341.0,5,12,1.5607,-1.4423,1.2441,198544.0
890.0,1,33,0.2739,-1.9275,0.7554,-222676.0
1400.0,5,27,-0.5726,-1.3435,-1.4026,31961.0
1657.0,1,12,0.1322,-1.6679,2.0812,13239.0
743.0,4,21,-1.153,-0.0319,0.5167,35206.0
460.0,3,38,0.2607,-0.3319,-0.1085,-120156.0
1385.0,1,35,0.003,0.3143,0.0215,-145643.0
1964.0,2,32,0.532,-1.0499,-0.3395,-108735.0
900.0,3,29,0.9504,2.5288,0.4239,-68788.0
825.0,2,24,1.7328,-0.1096,0.3102,-67484.0
1377.0,3,16,-0.3883,-0.0599,-0.3601,76805.0
948.0,1,7,1.0434,0.4417,-2.5699,-276.0
1048.0,4,19,-0.7917,-0.2576,-0.0351,104349.0
1096.0,5,16,-0.8946,-0.6455,0.4768,174704.0
1360.0,2,18,-0.6181,0.0718,0.5262,10022.0
1078.0,3,7,-0.982,0.9048,-0.1535,115543.0
1283.0,4,34,0.9803,0.6518,0.4533,-15184.0
1147.0,5,6,0.9232,0.9281,1.0283,253554.0
947.0,2,5,1.2723,-0.5778,-0.4703,64391.0
1104.0,1,14,-0.0253,-0.7883,1.4663,12924.0
915.0,2,16,0.2744,1.9912,-1.9552,-6561.0
1202.0,5,4,-0.5784,-0.2519,-1.261,261444.0
863.0,3,21,-1.151,0.4657,-0.9051,-2593.0
872.0,1,9,0.447,0.7259,-2.4445,11858.0
1637.0,3,17,0.2684,1.4085,-0.9998,86312.0
1184.0,5,5,-1.107,-1.3632,1.2484,229373.0
1184.0,1,23,0.5853,-0.4921,1.2415,-131589.0
1353.0,2,26,-1.7417,-0.4453,0.0974,-76410.0
1074.0,5,19,-0.179,-0.3131,1.721,104099.0
1131.0,1,9,-0.6303,-2.4242,0.2395,-3241.0
1328.0,4,16,-0.5293,-0.1076,-0.4978,109310.0
1285.0,3,34,-1.0835,-2.9052,0.2416,-84733.0
852.0,5,27,0.9525,0.2871,-0.1371,85375.0
1450.0,5,2,0.5659,0.5268,0.7359,257204.0
1023.0,2,13,1.1834,0.5874,-1.5031,33744.0
883.0,2,24,0.1305,-1.2151,0.9994,-75661.0
930.0,5,24,-1.2981,0.945,-0.4595,113201.0
1083.0,4,1,-0.379,-0.8739,0.8553,275044.0
1688.0,5,29,-1.1915,-1.2368,-1.541,74709.0
847.0,1,2,0.4468,-0.9898,-0.4193,92894.0
1248.0,5,5,1.1987,-0.857,0.0781,236836.0
559.0,3,26,0.3161,0.1635,0.9015,-73218.0
1200.0,1,13,-0.6125,0.816,-1.2175,-43408.0
1470.0,4,27,-0.3833,-2.1101,1.6674,-3482.0
1129.0,3,37,0.1905,-0.5493,0.4827,-131225.0
1011.0,4,12,-1.4604,0.894,-0.5258,129526.0
1269.0,2,38,0.1346,0.1962,1.2173,-142928.0
1410.0,2,23,0.1835,0.5018,0.1027,-27703.0
1399.0,4,39,-0.5602,-1.5047,1.1583,-60755.0
1792.0,5,31,-0.434,0.9487,2.3231,47285.0
1263.0,2,1,0.1538,-1.5689,0.7685,115452.0
1022.0,4,13,-0.8383,0.1901,-0.5267,127325.0
1162.0,1,33,-0.8405,1.3613,-0.4257,-176387.0
1178.0,1,31,0.76,1.8794,0.5826,-157536.0
1233.0,3,37,0.2034,0.5115,0.2879,-101579.0
1191.0,1,33,1.6587,0.881,-0.833,-180622.0
1252.0,4,36,-1.008,-0.6063,-0.6681,-88933.0
699.0,3,0,-1.801,-0.4814,0.6658,148665.0
1449.0,2,28,0.9188,1.1694,2.3467,-97042.0
1028.0,4,9,0.9341,0.0016,-2.6304,192775.0
848.0,5,27,-0.7622,-0.1273,0.7239,50895.0
1391.0,5,32,-1.4929,-1.4106,-0.211,49231.0
1595.0,3,28,-0.0722,0.1506,0.7794,3135.0
1348.0,4,35,-1.7779,0.6459,0.8677,-32893.0
1248.0,2,22,-0.369,-0.7942,0.0528,-46416.0
920.0,1,17,-2.2109,-0.5071,-1.016,-64264.0
2061.0,5,31,-0.2679,1.5805,-1.3971,43382.0
1464.0,3,8,-2.1514,0.1783,-1.8742,136051.0
858.0,3,20,-0.2688,-0.2886,1.2223,38301.0
966.0,3,38,1.4845,-1.137,-0.2097,-113624.0
1226.0,2,9,-0.3007,-0.6196,-0.5403,80206.0
734.0,4,27,0.7352,-0.25,-0.2777,20374.0
1251.0,2,3,-0.6771,1.3691,-1.3395,153610.0
1062.0,1,39,-0.9285,-0.6105,0.3046,-242816.0
1568.0,5,36,-1.5351,1.7943,1.3187,12190.0
1489.0,4,22,1.0023,-0.9287,1.1385,82780.0
387.0,5,30,-0.097,-0.3576,-1.5658,46555.0
1213.0,5,22,1.5823,0.8435,1.3635,61837.0
715.0,4,7,-1.2198,-0.2402,-0.7642,155003.0
1533.0,5,17,-0.2651,-0.8303,-1.913,155820.0
1250.0,2,32,0.0362,-0.1318,-1.2295,-139088.0
1365.0,1,10,1.3682,0.4487,-0.9665,27893.0
880.0,4,12,1.7769,-1.7157,-0.0069,134780.0
1749.0,4,29,-0.6946,-0.2485,-1.032,12541.0
1806.0,2,25,-1.1803,-0.1093,-1.5102,-78502.0
881.0,5,16,-1.7838,-0.4037,-0.2645,121955.0
1312.0,2,14,1.2887,0.7354,1.9239,7653.0
998.0,5,32,-0.136,-0.5686,-0.7024,33036.0
1193.0,3,8,-0.6975,-0.3645,0.4643,97405.0
820.0,1,13,-0.1014,0.0376,0.0799,-70789.0
1760.0,3,7,-2.6089,0.7288,2.6581,117750.0
909.0,1,11,-1.7766,-0.2212,-1.8983,-22569.0
1111.0,2,2,0.8838,1.5166,1.0954,150796.0
1350.0,3,11,0.344,-0.9077,-1.2814,152539.0
1006.0,5,2,0.0981,1.2865,-0.5924,254552.0
1128.0,5,22,-1.0537,-0.8578,-0.0967,126717.0
1031.0,1,2,0.5353,-0.1631,3.1861,92954.0
1160.0,4,0,1.7259,0.364,-0.763,260491.0
849.0,4,3,-1.2773,2.0548,-1.8889,199134.0
1069.0,2,6,-0.0382,0.8958,1.2974,58028.0
1138.0,1,33,-0.4882,-0.4059,-0.8392,-189626.0
1100.0,3,27,0.3076,1.2991,-0.243,-70240.0
1217.0,1,20,-0.0394,-0.2137,-0.024,-68717.0
1112.0,5,14,-0.2006,-0.7914,0.097,186910.0
1426.0,2,5,-0.9358,0.4487,-0.1701,64920.0
1103.0,4,21,-0.0696,0.0945,0.2678,64054.0
1159.0,5,20,-0.6683,0.9537,0.3874,130617.0
1001.0,3,20,-0.2004,-0.5497,0.8539,45016.0
1042.0,4,21,-0.1175,0.3815,-0.4272,90832.0
821.0,3,21,0.6003,0.6345,-0.7487,22655.0
1356.0,5,19,-0.6363,0.278,-1.0636,124945.0
857.0,4,3,-0.3774,-0.029,0.5927,194343.0
976.0,1,8,1.018,-0.6976,-0.0463,39366.0
1308.0,2,3,-0.2723,0.9038,0.5532,103122.0
1321.0,4,17,-0.316,0.1372,0.5382,102785.0
1080.0,3,23,0.8103,0.4963,1.6859,29616.0
594.0,3,34,0.2185,-0.3508,0.2075,-101622.0
1326.0,3,16,0.0372,0.013,0.7524,34290.0
1278.0,3,15,0.1662,-1.0372,-1.2026,62428.0
776.0,3,38,-1.293,0.0855,-1.0803,-117934.0
1431.0,4,20,0.4082,0.7652,-0.3117,79123.0
990.0,2,15,1.2738,0.093,-1.2167,32926.0
862.0,2,37,0.5299,0.8594,0.6896,-144500.0
1229.0,3,25,-1.6062,0.3129,-1.3331,-26146.0
1146.0,3,9,0.2353,1.3639,0.0684,102307.0
1261.0,3,33,-0.9527,-0.19,-2.4581,-78256.0
718.0,2,29,-0.2733,-1.6386,-1.1048,-134495.0
1744.0,4,5,0.0839,0.4325,-0.339,219876.0
1019.0,2,19,-1.237,-0.1652,-0.259,-25035.0
738.0,4,21,1.2921,-0.9743,-1.7916,69844.0
1386.0,3,31,-0.1117,0.6513,0.1087,-68422.0
1094.0,4,16,0.7504,0.2643,0.9749,87225.0
1297.0,1,14,0.5935,0.4453,0.6482,13666.0
1098.0,1,23,1.3034,-0.3324,-0.6586,-118647.0
1182.0,2,21,1.1518,0.197,-0.5873,-44252.0
1274.0,5,22,-1.5132,0.2543,-1.1863,97570.0
976.0,3,14,0.0048,1.7747,0.6298,61188.0
1404.0,1,8,-2.1724,-0.684,1.4417,9799.0
1059.0,3,34,-0.4838,-0.0105,-0.526,-91130.0
939.0,2,35,0.6784,0.3639,-1.6978,-165928.0
1223.0,5,36,0.8783,-1.7248,0.2,-9648.0
1334.0,1,2,1.2538,-1.603,0.7078,81276.0
1131.0,4,25,-0.4118,2.1658,-2.7221,47962.0
941.0,1,12,0.286,-1.7671,0.1384,-8431.0
1386.0,3,39,0.0637,0.5749,2.1644,-135141.0
672.0,4,25,1.2337,-0.8482,0.8206,28103.0
891.0,5,29,1.5553,-0.7632,0.5505,42321.0
1212.0,1,24,-0.3915,-1.9825,0.4021,-107767.0
792.0,1,33,3.7516,-0.9007,1.0619,-224687.0
1208.0,1,8,-0.036,0.7844,-0.9412,35666.0
1184.0,1,35,-0.3989,-1.3887,-0.8453,-197272.0
1470.0,1,15,0.5678,0.5954,0.4076,8225.0
926.0,2,10,0.7272,0.3133,-0.6853,60582.0
1012.0,3,15,0.5156,2.0183,0.2587,38030.0
1300.0,1,39,-0.6797,-0.4745,-1.9126,-250444.0
463.0,5,6,1.4438,1.2634,0.758,238910.0
2130.0,3,15,0.0258,0.8889,0.847,76403.0
990.0,4,34,1.5105,-0.2867,0.0437,-28610.0
981.0,3,19,1.3666,-1.663,0.1644,21415.0
1458.0,3,7,-1.2989,1.5094,1.6207,179817.0
1188.0,1,7,-1.0043,-1.3644,-1.0831,31244.0
666.0,2,37,-1.0242,-0.4734,-0.9132,-145705.0
1388.0,4,32,0.2271,0.8832,-1.0938,12323.0
1457.0,2,29,0.0321,1.116,-0.4247,-97511.0
1065.0,3,13,0.2476,-0.8454,-1.0111,71429.0
1116.0,4,1,-0.8327,-0.032,0.037,255270.0
1346.0,3,27,0.4071,-0.2586,-0.6507,-25478.0
927.0,5,34,1.3851,1.1816,-1.4491,-11404.0
1332.0,5,8,-1.3536,2.5046,-1.5502,250233.0
1260.0,4,4,-0.2138,-1.8299,1.2117,257497.0
998.0,5,14,0.231,0.9164,-0.0689,167470.0
782.0,4,10,-0.1471,-2.8582,-0.2273,171828.0
1132.0,2,15,-0.2141,0.0141,0.0266,11163.0
937.0,2,16,1.7523,-1.1088,-0.0824,27733.0
1500.0,1,9,1.2671,1.9918,0.7561,18771.0
1243.0,1,38,0.8334,0.1664,0.5623,-189437.0
1435.0,5,1,-0.7772,-0.7368,-0.5897,296607.0
1240.0,3,29,2.2256,-0.4993,-0.8235,-47737.0
1279.0,1,30,0.3459,-0.5753,-1.0867,-146113.0
965.0,2,17,-0.593,0.1883,-1.2511,-17064.0
1400.0,4,38,-0.3524,-0.1581,1.4021,-83652.0
1735.0,2,39,-0.5043,0.6559,-0.9165,-180163.0
1107.0,2,9,2.1065,1.5403,-2.019,61038.0
