area_sqft,bedrooms,age_years,price
1348.0,3,2,5367000.0
1215.0,3,9,4599000.0
927.0,2,14,2799000.0
1259.0,3,14,5131000.0
1078.0,2,0,3732000.0
1118.0,2,35,2936000.0
459.0,1,38,362000.0
1001.0,2,16,3838000.0
1335.0,3,33,3795000.0
1064.0,2,9,3849000.0
888.0,2,26,2618000.0
615.0,1,31,1408000.0
948.0,2,28,2954000.0
1680.0,4,26,5771000.0
966.0,2,21,2518000.0
1553.0,3,7,5653000.0
1017.0,2,7,4019000.0
1555.0,3,39,4543000.0
998.0,2,13,3793000.0
1321.0,3,30,3886000.0
1414.0,3,21,4696000.0
1404.0,3,0,5693000.0
860.0,2,31,2493000.0
1071.0,2,16,3930000.0
888.0,2,35,2191000.0
1146.0,3,0,5171000.0
1080.0,2,26,3261000.0
1106.0,2,6,4350000.0
1409.0,3,25,4212000.0
830.0,2,28,2055000.0
916.0,2,10,3726000.0
992.0,2,9,3563000.0
1111.0,2,34,3333000.0
915.0,2,29,2831000.0
1375.0,3,27,4022000.0
817.0,2,30,2140000.0
1817.0,4,11,6772000.0
1217.0,3,9,4545000.0
1612.0,4,0,6018000.0
822.0,2,3,3460000.0
1091.0,2,37,2675000.0
1249.0,3,14,4149000.0
1823.0,4,3,6993000.0
1244.0,3,37,3326000.0
1729.0,4,16,6707000.0
962.0,2,34,2526000.0
1737.0,4,19,5870000.0
974.0,2,35,2396000.0
589.0,1,18,1229000.0
520.0,1,7,2138000.0
1282.0,3,7,4898000.0
1134.0,3,24,3986000.0
1296.0,3,15,4600000.0
1184.0,3,5,5061000.0
1380.0,3,38,4219000.0
1779.0,4,29,5495000.0
1139.0,3,13,4133000.0
1308.0,3,3,5225000.0
1074.0,2,39,2562000.0
606.0,1,3,2248000.0
1114.0,2,22,3435000.0
1739.0,4,2,6843000.0
928.0,2,24,2997000.0
2021.0,4,0,7818000.0
1413.0,3,37,4059000.0
1379.0,3,22,4891000.0
1548.0,3,9,5846000.0
1226.0,3,14,4331000.0
1237.0,3,11,4354000.0
1690.0,4,0,6845000.0
971.0,2,18,2959000.0
1173.0,3,0,5041000.0
809.0,2,21,2457000.0
1263.0,3,1,4731000.0
2293.0,5,29,7838000.0
1642.0,4,12,5881000.0
898.0,2,8,3531000.0
607.0,1,4,2438000.0
1422.0,3,14,5164000.0
1472.0,3,38,3682000.0
1013.0,2,17,3218000.0
1695.0,4,22,5771000.0
1375.0,3,24,5088000.0
1480.0,3,9,5699000.0
1498.0,3,5,5826000.0
1618.0,4,3,6784000.0
1077.0,2,20,3443000.0
988.0,2,9,3656000.0
1710.0,4,21,5754000.0
1183.0,3,15,4336000.0
806.0,2,20,2024000.0
1362.0,3,37,3400000.0
1071.0,2,30,3240000.0
1348.0,3,23,4678000.0
2345.0,5,26,8039000.0
1863.0,4,4,7091000.0
1081.0,2,33,3271000.0
808.0,2,15,3055000.0
1235.0,3,25,3708000.0
903.0,2,37,2203000.0
1321.0,3,18,4782000.0
1341.0,3,9,4945000.0
1469.0,3,29,4086000.0
1239.0,3,26,3878000.0
755.0,2,25,2311000.0
1190.0,3,29,3826000.0
1263.0,3,12,4512000.0
1319.0,3,17,4694000.0
1660.0,4,34,5179000.0
876.0,2,25,2733000.0
1183.0,3,31,3248000.0
1029.0,2,12,3476000.0
942.0,2,33,2575000.0
1456.0,3,32,4627000.0
1016.0,2,28,2916000.0
1908.0,4,39,5925000.0
400.0,1,28,759000.0
1754.0,4,19,5983000.0
1145.0,3,22,4231000.0
796.0,2,36,1633000.0
1286.0,3,1,4984000.0
1269.0,3,35,3674000.0
1566.0,3,32,4929000.0
1662.0,4,13,6222000.0
956.0,2,3,3636000.0
1224.0,3,27,3526000.0
1342.0,3,12,5021000.0
1291.0,3,32,3893000.0
1104.0,2,8,3845000.0
1697.0,4,18,5878000.0
1327.0,3,21,4769000.0
758.0,2,16,2824000.0
1319.0,3,30,3414000.0
1134.0,3,7,4295000.0
1120.0,2,21,3852000.0
1515.0,3,12,5318000.0
1448.0,3,27,4043000.0
1322.0,3,1,5043000.0
1369.0,3,21,4846000.0
1527.0,3,29,4489000.0
1006.0,2,2,4192000.0
1255.0,3,3,4726000.0
1662.0,4,7,6619000.0
1011.0,2,12,3501000.0
1056.0,2,31,2937000.0
1000.0,2,36,2477000.0
1583.0,4,20,5430000.0
1047.0,2,1,3511000.0
1590.0,4,11,6206000.0
1068.0,2,18,3717000.0
1282.0,3,18,4580000.0
1322.0,3,21,4663000.0
1027.0,2,23,2964000.0
860.0,2,26,2599000.0
1547.0,3,25,4556000.0
1071.0,2,22,2908000.0
1389.0,3,36,3970000.0
1439.0,3,19,4358000.0
702.0,2,18,2481000.0
1639.0,4,19,5713000.0
1253.0,3,35,3572000.0
1101.0,2,14,3565000.0
1076.0,2,35,2814000.0
1038.0,2,30,3024000.0
1295.0,3,27,3728000.0
1937.0,4,6,7092000.0
1173.0,3,35,3426000.0
820.0,2,34,1635000.0
1120.0,2,35,3020000.0
1942.0,4,24,6255000.0
1240.0,3,26,3806000.0
1893.0,4,10,7119000.0
946.0,2,37,2387000.0
941.0,2,7,3280000.0
810.0,2,20,2983000.0
879.0,2,1,3535000.0
1186.0,3,34,3209000.0
1249.0,3,32,3866000.0
589.0,1,21,1598000.0
841.0,2,16,3322000.0
921.0,2,7,3349000.0
1061.0,2,28,2566000.0
1672.0,4,15,5461000.0
1723.0,4,0,6734000.0
1341.0,3,28,4184000.0
1455.0,3,24,4840000.0
894.0,2,15,3230000.0
1297.0,3,1,5530000.0
562.0,1,7,2055000.0
1150.0,3,1,4594000.0
1272.0,3,34,4434000.0
1461.0,3,4,6268000.0
1120.0,2,9,3974000.0
1120.0,2,15,3866000.0
807.0,2,31,2019000.0
400.0,1,30,1067000.0
926.0,2,31,2793000.0
476.0,1,18,841000.0
1007.0,2,36,2528000.0
1035.0,2,37,2402000.0
654.0,1,10,2373000.0
502.0,1,2,2024000.0
1077.0,2,31,2992000.0
933.0,2,39,1924000.0
1292.0,3,4,5361000.0
1450.0,3,19,4823000.0
1708.0,4,14,6514000.0
1484.0,3,27,4362000.0
824.0,2,1,3631000.0
1123.0,2,33,3168000.0
1884.0,4,36,5877000.0
844.0,2,5,3315000.0
1024.0,2,32,2470000.0
1615.0,4,26,5268000.0
1361.0,3,20,4334000.0
937.0,2,23,3085000.0
1275.0,3,35,3750000.0
945.0,2,4,3907000.0
1471.0,3,12,5543000.0
1116.0,2,23,3160000.0
1176.0,3,39,3008000.0
1230.0,3,6,4682000.0
465.0,1,33,446000.0
1106.0,2,20,3299000.0
1306.0,3,35,3450000.0
1191.0,3,35,3267000.0
981.0,2,24,3483000.0
1142.0,3,6,4631000.0
1685.0,4,11,6385000.0
1409.0,3,8,5367000.0
952.0,2,35,2053000.0
1552.0,3,26,5005000.0
1281.0,3,30,3816000.0
1005.0,2,23,3076000.0
553.0,1,0,2240000.0
1381.0,3,15,5334000.0
787.0,2,36,1368000.0
1301.0,3,12,4647000.0
1569.0,3,14,5321000.0
1425.0,3,37,3891000.0
760.0,2,29,2332000.0
860.0,2,2,3918000.0
1417.0,3,24,4687000.0
1568.0,3,24,4767000.0
1190.0,3,15,4472000.0
1135.0,3,18,3910000.0
1831.0,4,21,5774000.0
1777.0,4,15,6499000.0
1287.0,3,23,4116000.0
1070.0,2,33,2776000.0
1429.0,3,3,5734000.0
769.0,2,13,3088000.0
1275.0,3,32,3439000.0
1289.0,3,24,4215000.0
1635.0,4,7,6367000.0
1399.0,3,19,4792000.0
569.0,1,9,2012000.0
1859.0,4,36,6057000.0
1412.0,3,13,4853000.0
504.0,1,14,1549000.0
663.0,1,37,1547000.0
1450.0,3,23,4745000.0
745.0,2,19,2633000.0
1492.0,3,23,5359000.0
834.0,2,34,1856000.0
646.0,1,14,1671000.0
1764.0,4,9,5914000.0
1815.0,4,39,5405000.0
1106.0,2,15,3741000.0
1781.0,4,8,6580000.0
1337.0,3,28,4316000.0
1391.0,3,22,4959000.0
1150.0,3,38,3216000.0
1455.0,3,3,5522000.0
1743.0,4,15,5884000.0
1753.0,4,39,5217000.0
1971.0,4,13,7159000.0
1887.0,4,30,6374000.0
1480.0,3,17,4797000.0
1075.0,2,9,3645000.0
1559.0,3,5,5288000.0
1490.0,3,31,4321000.0
1117.0,2,37,3010000.0
859.0,2,22,2927000.0
977.0,2,10,3518000.0
720.0,2,20,1986000.0
950.0,2,13,3420000.0
1331.0,3,34,3599000.0
1707.0,4,11,6138000.0
1306.0,3,31,4545000.0
1077.0,2,10,3629000.0
1103.0,2,19,3545000.0
1207.0,3,2,4838000.0
1698.0,4,2,6900000.0
1305.0,3,13,4480000.0
632.0,1,16,1813000.0
1257.0,3,27,4209000.0
642.0,1,13,1897000.0
1000.0,2,21,2908000.0
1281.0,3,8,4637000.0
934.0,2,3,3302000.0
1195.0,3,17,3646000.0
1658.0,4,14,6146000.0
950.0,2,20,2678000.0
1610.0,4,17,5545000.0
1547.0,3,1,6253000.0
1478.0,3,30,4578000.0
933.0,2,25,2423000.0
1620.0,4,36,5098000.0
1373.0,3,19,4652000.0
1496.0,3,6,5451000.0
1253.0,3,13,5040000.0
1686.0,4,6,6371000.0
770.0,2,29,1948000.0
1383.0,3,3,5489000.0
1519.0,3,30,4687000.0
2209.0,5,16,8019000.0
695.0,2,6,2751000.0
824.0,2,6,3173000.0
1161.0,3,23,3910000.0
1332.0,3,12,4738000.0
954.0,2,38,2182000.0
1485.0,3,0,6087000.0
1149.0,3,14,4372000.0
1262.0,3,13,4528000.0
751.0,2,16,2417000.0
1364.0,3,9,5489000.0
1255.0,3,39,3007000.0
1737.0,4,37,5356000.0
