temperature_c,ice_cream_sales,drownings
30.58,3658.0,9.66
37.39,4634.0,14.05
26.95,3340.0,6.23
21.73,2792.0,11.95
32.13,4203.0,17.47
40.7,4724.0,15.87
28.11,3426.0,10.4
30.18,3694.0,7.83
22.83,2300.0,10.07
35.34,4563.0,12.63
18.95,2171.0,5.06
33.08,4037.0,10.35
20.9,2591.0,7.98
33.24,3738.0,12.71
28.55,3665.0,11.01
37.27,4757.0,13.53
30.29,3679.0,8.52
39.49,3866.0,18.47
27.17,3661.0,12.31
15.41,1797.0,4.82
41.33,4759.0,13.67
35.75,4108.0,12.12
37.21,4133.0,16.08
37.35,4364.0,15.77
18.41,2386.0,7.75
38.61,4294.0,17.64
17.27,2127.0,5.64
23.34,2615.0,12.0
19.32,2233.0,7.89
28.04,3246.0,9.55
20.12,2498.0,8.9
20.7,2779.0,8.75
30.64,3665.0,10.7
19.36,2583.0,11.14
28.01,3798.0,7.78
33.74,3607.0,13.85
15.42,2077.0,6.82
38.88,4568.0,13.98
35.37,4181.0,14.1
35.3,4520.0,16.58
34.55,4069.0,11.45
40.95,4719.0,14.09
18.89,2639.0,6.74
17.23,2377.0,7.77
34.97,4316.0,16.08
15.49,2701.0,7.22
32.01,3544.0,10.45
31.84,3332.0,14.82
39.95,4728.0,17.27
17.64,1776.0,8.97
24.51,3051.0,6.38
35.51,4084.0,10.69
24.41,2749.0,8.26
22.87,2746.0,8.07
19.84,2129.0,7.72
15.54,1290.0,3.84
29.28,3296.0,9.38
16.73,2217.0,7.33
27.67,3390.0,6.63
34.81,4456.0,11.35
26.31,3660.0,10.35
31.42,4033.0,13.83
40.73,4870.0,16.61
19.85,2157.0,10.88
32.37,4023.0,13.33
33.08,4450.0,14.41
28.73,3874.0,12.88
24.21,3185.0,9.54
19.39,2087.0,4.91
25.2,3198.0,9.28
29.95,3806.0,11.32
41.26,5318.0,14.52
22.38,2307.0,10.02
38.19,4375.0,13.96
36.21,4387.0,11.25
24.91,3027.0,9.66
30.55,3483.0,9.93
15.72,2037.0,7.05
41.49,4891.0,11.1
28.3,3727.0,7.65
19.15,2152.0,7.38
36.42,4430.0,14.77
38.53,3996.0,15.27
34.89,4247.0,16.67
41.54,4786.0,15.82
22.49,2911.0,7.68
29.95,3543.0,13.33
26.89,3594.0,9.81
32.24,3710.0,13.38
22.57,2279.0,11.24
33.41,4081.0,12.75
27.63,3489.0,10.55
25.36,2821.0,8.66
33.87,3677.0,14.05
22.35,2908.0,9.9
23.93,3187.0,11.37
41.94,5252.0,17.85
25.51,3089.0,13.92
24.13,2896.0,9.73
41.05,5414.0,16.46
40.3,5076.0,15.35
39.84,4510.0,18.26
17.65,1797.0,7.03
36.72,4594.0,13.93
20.68,2701.0,5.51
32.52,3720.0,12.57
38.12,4348.0,16.78
35.16,4509.0,8.78
16.6,1898.0,4.28
31.05,3977.0,10.44
19.62,2025.0,6.07
37.36,4189.0,14.88
21.12,2024.0,7.54
20.56,2459.0,8.34
24.59,2832.0,10.26
29.88,3085.0,14.49
39.38,4774.0,15.12
19.82,2222.0,8.48
37.69,4457.0,14.5
26.37,3583.0,10.74
41.84,5311.0,15.94
32.17,4009.0,10.48
20.97,2418.0,9.06
28.72,3092.0,13.52
35.03,4008.0,12.05
37.44,4382.0,14.81
27.61,3690.0,10.88
25.2,2748.0,5.79
34.88,4023.0,17.67
17.74,2127.0,9.88
34.06,4204.0,15.85
25.69,3407.0,12.14
33.76,4449.0,11.71
17.36,2039.0,2.01
21.81,3194.0,8.5
22.78,2935.0,9.17
23.22,2551.0,8.65
41.12,4642.0,15.47
38.06,4442.0,17.06
17.34,2005.0,8.37
30.58,3906.0,12.09
40.67,4636.0,15.17
36.89,4255.0,19.14
16.34,1707.0,8.06
34.98,4277.0,14.09
36.08,3894.0,11.75
39.36,4887.0,12.58
30.7,3447.0,6.71
26.8,3151.0,10.11
19.96,2523.0,8.45
31.05,3815.0,11.96
22.56,3539.0,8.91
22.78,2460.0,9.48
29.32,2894.0,13.27
16.98,1645.0,3.18
28.15,3624.0,8.69
21.8,2295.0,10.36
27.48,3604.0,11.44
20.07,2343.0,8.91
35.14,4438.0,11.97
38.32,4140.0,18.21
33.69,4353.0,13.61
39.15,5043.0,15.1
38.88,4386.0,13.71
30.91,4103.0,12.65
35.29,5022.0,14.36
18.86,2262.0,7.23
30.01,3320.0,15.13
41.1,4753.0,18.72
35.11,4127.0,13.96
41.18,5243.0,15.26
23.45,3361.0,8.45
18.99,2153.0,8.22
16.71,1937.0,1.13
15.55,1450.0,6.79
30.99,3562.0,11.92
34.04,4225.0,17.8
19.65,1756.0,8.7
40.71,5091.0,15.93
22.58,2977.0,9.12
21.38,2927.0,7.29
34.06,3915.0,12.24
15.71,1415.0,6.15
27.56,3223.0,7.05
33.06,3657.0,13.24
30.13,3087.0,8.73
21.28,2326.0,7.1
36.8,3999.0,13.28
29.98,4174.0,13.38
30.47,3879.0,15.29
25.44,3315.0,13.01
41.4,4636.0,15.61
16.56,2398.0,6.18
21.84,2509.0,8.83
34.32,4373.0,14.05
23.24,2483.0,11.54
35.37,4431.0,15.51
35.17,3718.0,14.08
26.16,3087.0,14.31
37.73,4455.0,16.91
33.74,3639.0,17.18
33.18,3989.0,13.19
29.71,3395.0,13.07
30.36,3525.0,12.85
39.86,5004.0,16.35
37.41,4877.0,12.94
21.64,2537.0,9.21
39.06,5071.0,12.79
31.45,4074.0,13.41
27.84,3564.0,14.62
29.51,4016.0,14.13
29.71,3114.0,12.55
28.06,3765.0,10.72
40.93,5025.0,17.96
35.35,4125.0,12.14
17.91,2099.0,4.83
22.61,3018.0,6.52
24.91,3349.0,10.8
41.48,5193.0,14.04
30.14,3271.0,13.29
31.99,3403.0,14.87
40.78,4909.0,17.73
37.29,4668.0,14.76
21.38,2361.0,9.44
21.93,2898.0,6.45
31.21,3930.0,12.93
28.63,3583.0,14.83
15.38,1621.0,9.1
29.59,3926.0,8.74
40.42,5144.0,16.07
33.43,4422.0,12.75
18.7,2362.0,9.33
33.98,3704.0,14.17
19.79,2494.0,7.76
41.3,5220.0,15.28
29.67,3523.0,12.2
39.09,4353.0,15.38
35.84,4472.0,14.48
41.11,5130.0,16.17
28.97,3106.0,9.17
28.37,3192.0,12.19
16.65,1569.0,7.58
33.16,4081.0,13.72
21.51,2637.0,9.14
22.11,3175.0,11.28
30.9,3437.0,14.54
32.9,4347.0,16.47
18.35,2138.0,8.75
29.44,3615.0,13.49
15.2,1456.0,6.22
16.03,1931.0,4.38
30.38,3488.0,9.86
33.96,4043.0,14.65
26.45,3229.0,10.86
31.91,3975.0,13.88
37.5,4750.0,10.45
29.57,3543.0,11.4
38.9,4402.0,15.77
27.84,3648.0,10.37
37.13,4481.0,14.28
32.52,3722.0,9.39
32.1,4263.0,12.55
28.25,3478.0,13.72
36.33,4578.0,12.18
32.11,3348.0,13.84
38.31,4413.0,13.79
37.9,5153.0,15.42
33.02,4115.0,15.94
24.77,3118.0,9.92
40.52,4652.0,16.85
31.77,3773.0,13.9
22.39,2799.0,8.81
37.32,4457.0,17.34
21.17,2507.0,4.42
15.27,1308.0,5.39
39.03,4445.0,11.75
21.53,2448.0,5.52
24.68,3130.0,9.77
27.9,3502.0,8.68
17.86,2138.0,6.26
28.56,3209.0,14.03
25.3,2818.0,11.13
16.09,2002.0,13.82
24.71,2558.0,9.61
33.28,3925.0,13.39
40.02,4705.0,11.04
31.39,3687.0,12.45
40.95,5406.0,15.41
31.58,3742.0,13.52
25.59,3324.0,10.25
31.86,4295.0,11.4
31.87,3974.0,8.8
36.98,4433.0,16.25
27.95,2974.0,9.71
36.8,4895.0,11.21
