f1,f2,target
-1.9088,2.492,4.7658
0.8247,-1.6018,2.6986
-0.2049,-1.3655,-2.8715
-0.5882,-1.4874,-5.5221
-1.3051,2.5297,-0.1835
1.1941,-2.0228,0.4432
0.1582,2.4861,3.7049
2.8641,1.3332,-0.9347
1.2065,1.1335,3.6192
-2.0787,1.0937,4.1239
2.3836,-1.1166,-5.3625
0.4386,1.3881,4.4899
-0.4119,-1.0074,-3.7397
-2.8626,-1.6968,0.9211
0.7095,-2.1529,2.1941
-0.9266,1.6436,-2.3162
1.4936,-0.9831,-0.1489
-1.1391,-0.799,-4.2629
-2.7548,2.8895,5.103
2.3343,-2.1244,-5.9637
-0.8932,0.6898,-3.1914
2.3543,-2.8578,-6.9536
0.2717,-2.8299,-0.7908
1.9657,-1.0018,-4.0058
0.1363,1.8685,3.0367
0.4269,-2.6773,1.0562
-0.7305,-0.1199,-3.7501
0.339,1.7693,4.2599
0.7275,0.5253,4.4996
-2.276,2.6561,7.2482
2.2017,0.6745,-3.4485
2.1763,1.6119,-2.6967
0.7389,-1.0303,2.469
-0.5603,2.5321,-0.9889
2.8298,-2.6596,-4.8332
-1.427,2.2227,1.0834
-0.8716,-0.1523,-4.0789
-0.5865,-0.5968,-4.0322
1.9172,-2.9929,-5.3673
-1.7553,1.6775,3.4576
-2.6391,1.702,5.04
-2.4075,-0.3256,4.0548
0.1909,1.7568,2.9467
1.5441,-1.6103,-0.9878
-1.3504,-2.121,-3.3508
0.9485,2.6159,6.2847
-0.429,0.859,-1.7868
2.3525,2.0224,-2.1969
2.1592,-2.3539,-6.1145
-1.0821,2.2548,-0.8728
-0.5916,-1.4073,-4.3014
2.619,-1.4881,-5.1116
-2.9397,-1.0443,0.8562
2.8355,-2.6813,-5.0203
1.1936,-2.5705,0.0734
0.2645,-2.9112,-0.3174
-1.3514,-2.7686,-4.99
-0.286,1.9339,-0.172
2.597,1.1641,-2.4265
0.5183,2.54,5.8676
0.2549,2.6826,4.1062
2.0994,-1.4066,-4.8665
1.9064,1.9578,-0.7701
-1.3998,-0.9252,-2.0326
0.3531,0.5809,2.8747
-1.1677,2.359,-0.7426
1.9681,1.9906,-0.9717
-0.4642,0.4376,-3.4369
2.7747,2.7291,0.0669
-0.2539,0.1896,-1.7022
2.0092,-2.5053,-6.3103
2.7736,-2.6662,-5.4324
-0.2687,-2.1333,-3.977
-0.9981,-0.5359,-4.714
0.7243,-1.0908,2.9023
0.4963,-1.1489,2.514
-0.4661,1.3895,-2.0052
1.7818,1.444,-0.4324
-1.8802,-0.8241,1.4286
-1.373,-0.4146,-2.3231
-2.9782,-0.7706,-0.1432
-0.0274,0.5715,0.7604
-1.4966,-1.7912,-1.9186
-2.4946,0.663,4.7918
-2.4765,-0.795,3.0053
-1.3647,0.8943,-0.9856
2.7317,-1.1022,-4.2351
1.8633,2.0863,-0.1978
2.6908,-2.091,-4.9665
-1.3066,-2.6797,-4.9443
2.0073,-2.6548,-6.0442
2.063,-0.0376,-3.7597
0.9511,-1.3025,1.8821
0.5137,1.1588,4.4398
-1.1297,-2.7897,-5.5698
2.744,-2.1685,-4.2737
-0.0459,-1.5148,-1.6932
2.9928,1.2214,0.35
-1.0024,0.9297,-2.7949
2.3851,0.8044,-3.5017
-1.5625,0.3846,0.6756
-2.0332,2.5164,6.4424
2.1155,-2.04,-5.9199
-2.67,2.5513,6.1041
0.404,1.8755,5.1102
-1.2981,1.5989,-0.3279
1.7595,1.8538,0.4693
1.8708,-0.5571,-2.9139
0.5325,-0.9303,2.7929
-0.4283,2.9241,-0.4764
-0.5752,0.9626,-2.1885
2.2125,2.8166,-0.5809
0.6746,2.2996,6.409
-0.7032,1.5804,-2.6381
2.4404,-1.3604,-5.6839
1.185,-2.4001,0.3256
-0.679,-2.985,-6.5789
1.2665,2.8146,4.8255
1.0035,-0.4977,3.5905
-0.4005,-1.7739,-4.6336
0.0623,0.9629,1.6161
-2.7412,0.7419,3.4073
-1.6829,-1.9599,-1.4798
1.984,-2.6729,-5.5701
1.5363,-1.7762,-1.033
-0.0895,2.3879,1.9914
-0.7992,1.482,-2.2438
1.0142,2.9911,6.5312
-1.1964,0.9341,-1.6662
1.7912,2.9462,1.0569
-2.4033,1.4206,4.699
1.5914,-2.8606,-3.1234
-1.8861,2.8733,5.985
-1.4729,-2.8783,-3.2175
-2.369,0.7849,4.9952
1.8921,-1.0141,-3.2967
2.473,-1.2658,-5.3779
-2.5408,-0.5557,2.4414
1.1734,1.8991,4.4919
-0.1543,-0.5101,-1.3261
0.9783,1.5723,5.3884
0.6958,2.0196,5.9343
2.7371,0.4916,-2.4519
-2.0159,-0.541,2.456
2.5252,-1.2356,-5.5673
-1.6634,0.8252,1.5392
2.917,2.2924,0.2876
-2.6695,-2.6305,0.393
-2.8365,-1.5497,0.661
-0.8474,2.8652,-0.8235
2.4089,-2.1775,-6.205
-0.6886,-2.2425,-6.3095
1.7907,-1.3841,-2.9475
0.2278,-1.1516,0.9162
1.3735,-2.5923,-0.9013
2.6611,-0.394,-3.9898
-2.0621,-1.0395,2.293
-2.5191,-1.2875,2.7093
0.1878,-2.046,-0.0115
0.921,-2.7009,1.1621
1.6662,-1.0779,-2.0206
-0.5636,0.9504,-2.6536
1.3038,-2.0726,-0.6579
-1.344,-0.0527,-2.2031
-0.3374,-0.7857,-2.8958
0.2673,-2.6643,-0.8176
0.7035,2.8988,7.0598
0.7775,-1.4816,2.4244
-1.0907,-1.6899,-5.8122
2.3652,2.6288,-0.8795
-1.4937,2.3654,2.1047
0.5979,0.2334,4.5394
0.2544,-2.0249,-0.0207
-2.3455,2.476,5.8576
2.1865,-2.4615,-6.1131
-2.0844,-2.7453,1.0366
1.0771,0.0829,3.3498
2.4339,1.9795,-2.4303
-1.8669,0.7775,3.2216
1.3179,-1.5558,-0.1359
-2.1314,0.2915,4.2376
-1.4442,2.043,1.5993
-2.7027,2.174,5.2063
-1.3985,2.1142,0.6476
0.6463,-0.5095,3.4678
-1.7712,2.6291,3.3033
-0.2471,-1.8315,-3.9407
2.8706,2.1827,0.1152
-2.3547,-1.4157,2.5625
2.7005,0.5862,-2.4964
1.5963,1.5313,1.5946
-2.5745,-1.5813,2.6857
0.3321,-1.1267,1.2017
0.7784,-1.08,3.1403
-1.3605,-1.9651,-2.5183
-0.1306,-0.4652,-1.1429
0.2576,-2.6524,-0.3175
1.0356,2.3744,6.8722
2.892,-2.6715,-5.0013
-1.196,-1.337,-4.2605
2.7454,0.017,-3.3237
-0.2686,2.585,-0.0357
-0.3933,0.0255,-2.57
2.1801,-1.642,-5.1225
2.2032,-1.0995,-4.4016
1.0391,1.0468,4.6904
-2.4107,2.0866,6.2373
0.1042,2.3899,3.2301
-1.0911,-0.7274,-3.9914
0.388,2.4787,5.8246
-2.4584,-2.6471,0.594
1.4888,2.3034,2.8717
1.0758,-2.6668,0.769
-1.5977,2.9407,3.0019
1.233,0.4111,2.5543
0.8029,-1.7615,2.9747
0.8914,2.3828,6.5959
-0.7627,-1.0739,-4.8358
1.8226,-2.4816,-3.9377
1.7254,1.9598,0.7891
0.257,1.9708,3.4685
-2.1216,1.3223,3.8131
2.6223,1.4506,-1.7788
1.6826,-0.8297,-1.9838
1.6938,-0.2282,-1.4838
2.5122,0.0402,-3.9118
-0.2792,0.3706,-1.6487
0.7779,2.5163,6.8896
-1.909,0.9159,3.4171
2.3448,2.6176,-1.4969
-1.7478,0.1286,1.1494
-0.1676,1.0016,-1.0279
1.3143,-2.9742,-0.8857
-0.6482,0.3526,-3.2921
-1.1866,-0.1603,-2.9847
-0.0611,-0.7263,-0.6005
-2.5096,0.731,3.9015
-2.0119,0.4829,3.5046
-1.8263,1.0702,2.8032
-1.1343,2.1441,-0.8568
2.2034,-2.0221,-6.2539
0.6944,0.7202,4.4312
-0.2848,-1.7407,-4.7011
-2.4173,2.4393,6.6248
-1.8372,2.3016,4.4475
-2.1612,1.9047,4.9396
0.0569,2.4038,3.433
-0.3863,-1.3754,-3.8471
1.0122,-0.2748,3.2133
-2.4725,-0.9952,2.7961
2.624,2.1653,-0.5512
2.351,1.2839,-2.866
-0.6907,-2.2055,-6.0586
-2.8587,1.6793,3.4983
-2.9697,-2.5264,-1.3366
2.4169,0.7451,-3.3251
2.6363,-1.5829,-4.4935
2.3289,-1.4997,-5.1265
1.6615,2.0761,1.2738
-0.2482,-1.5114,-3.4292
-2.8322,0.3092,2.7102
-0.0087,0.0562,-0.218
2.0367,-2.0203,-5.5111
-1.8635,2.579,4.8911
0.4214,-0.9266,1.9249
-2.4106,2.0226,5.0173
0.8118,2.722,6.6955
-0.2574,2.5786,1.0195
1.176,1.3674,3.8268
-2.5051,-2.9236,1.2447
-2.848,-1.7096,0.3485
0.3072,0.7472,2.6408
-2.3273,2.9265,7.3274
0.6695,-2.2258,2.0147
-2.2299,2.5287,6.4021
0.8027,1.3263,5.4252
-0.5775,2.4696,-0.941
0.7106,1.2549,5.0574
2.6478,-2.602,-5.5362
1.2976,1.8237,4.0305
-1.5574,-0.6704,-0.6379
0.0061,-0.356,-0.6766
0.8377,-1.5236,2.3534
-2.8506,2.3413,4.8067
-1.2779,2.6345,-0.1369
-0.5496,2.9445,-0.9746
0.6804,-1.5926,2.2872
-1.6236,-2.279,-2.4713
-0.904,1.8512,-2.1974
1.5335,-1.0511,-1.0253
-0.1076,-2.5024,-3.3356
-0.2141,-1.5614,-3.4256
2.0512,1.8863,-1.5996
0.4271,2.4085,5.9257
1.8231,1.2157,-1.2917
-2.1857,-1.4596,1.9487
1.7339,-0.7208,-2.3097
-2.7559,1.9262,4.6014
