hour,status,response_ms
5,200,98.64
11,200,41.8
5,200,39.8
7,200,141.24
12,200,120.16
3,200,47.51
1,200,111.91
17,200,58.15
11,200,40.49
8,200,45.23
3,200,37.61
14,200,95.93
4,200,58.37
13,200,105.47
21,200,30.14
17,200,76.02
21,200,44.27
22,200,15.02
21,200,133.61
10,200,164.26
20,404,56.11
20,200,33.4
10,404,36.73
12,200,18.48
11,200,51.25
10,200,27.06
6,200,96.34
3,200,61.09
17,200,82.54
16,200,102.83
11,200,12.84
21,200,122.57
20,200,152.2
19,200,79.83
13,200,32.52
14,200,44.34
16,200,12.6
12,200,197.05
2,200,76.8
6,200,130.12
8,200,106.99
2,200,25.66
15,200,37.0
12,200,108.5
17,200,16.29
9,200,13.78
21,200,92.46
19,200,28.14
17,200,93.89
22,200,101.31
9,200,113.83
0,200,68.3
3,200,49.84
14,200,45.66
18,200,149.42
4,200,1.39
4,200,170.4
19,200,140.27
19,200,23.34
17,200,214.48
15,200,66.4
9,200,107.68
3,200,78.82
5,200,75.61
9,200,19.63
10,200,64.0
7,200,49.03
0,200,31.56
2,200,81.17
18,200,13.2
14,200,66.63
5,200,27.17
22,200,96.97
14,200,9.63
3,200,56.17
8,200,243.48
19,404,102.7
11,404,72.02
21,200,85.95
21,200,91.26
5,200,130.93
19,200,90.7
6,200,10.08
18,200,25.66
9,200,69.77
7,200,73.54
12,200,72.5
20,200,52.05
11,200,49.26
17,200,17.87
6,200,182.5
20,200,49.08
14,200,9.32
22,200,144.9
17,200,57.42
13,200,104.3
5,200,6.49
19,200,117.37
3,200,144.39
18,200,33.76
1,200,96.68
23,200,78.82
0,200,140.46
12,200,172.42
23,200,75.04
14,200,25.59
17,200,65.74
12,200,29.63
14,200,69.66
2,200,134.92
3,200,110.64
21,200,67.08
3,200,80.13
3,200,56.14
19,200,102.79
1,200,150.57
0,200,94.8
3,200,65.24
22,200,16.06
6,200,17.18
11,200,24.97
10,200,156.21
21,200,222.6
14,200,160.65
21,200,58.54
21,200,45.21
3,200,39.4
11,200,156.24
4,200,61.89
8,200,104.68
1,200,194.76
14,200,53.67
0,200,7.44
19,200,44.32
12,200,25.06
3,200,59.33
16,200,105.45
16,200,53.94
22,404,33.02
17,200,100.46
12,200,20.86
12,200,28.03
3,200,95.51
18,200,10.67
2,200,132.66
1,200,45.24
1,200,26.02
16,200,111.3
21,200,48.12
9,200,110.94
17,200,42.87
10,200,105.25
15,200,48.09
21,200,144.8
2,200,52.96
21,200,59.14
12,200,17.07
1,200,174.23
0,404,82.53
9,200,155.14
7,200,71.61
10,200,185.84
10,200,62.63
0,200,34.33
18,200,155.19
18,200,82.17
9,200,23.96
8,200,150.65
19,200,57.15
5,500,68.04
12,200,108.86
1,200,78.82
13,200,56.65
18,200,127.68
9,500,128.99
14,200,32.27
16,404,90.38
4,200,55.92
5,200,24.2
16,200,214.85
22,200,57.51
22,404,28.44
9,200,124.26
9,200,162.28
1,200,78.17
2,404,30.79
12,200,73.13
10,200,32.44
19,200,169.03
10,200,66.94
3,200,17.13
15,200,40.18
20,200,40.28
1,200,63.63
21,200,28.27
9,200,130.85
3,200,193.28
23,200,67.23
22,200,9.0
21,200,47.27
13,200,25.85
15,404,182.31
11,200,164.12
9,200,102.61
1,200,110.42
6,200,60.48
13,200,79.38
16,200,136.67
23,200,90.82
18,200,37.03
8,404,139.72
8,200,102.83
16,200,22.97
6,200,89.07
2,200,141.59
8,200,73.79
23,200,68.34
3,200,70.55
19,200,96.66
6,200,69.66
22,200,157.65
10,200,135.01
2,200,118.39
21,200,190.23
2,200,84.17
0,200,49.06
11,200,124.64
11,200,72.9
8,200,15.76
19,200,46.1
2,200,17.03
6,200,78.48
13,200,132.32
6,200,126.81
2,200,12.01
13,200,85.76
12,200,98.81
10,500,68.53
8,200,15.1
1,200,9.15
20,200,81.41
9,200,71.46
11,200,31.18
13,200,46.78
11,200,35.6
23,200,121.84
17,200,19.11
5,200,70.32
9,200,15.09
3,200,13.4
19,200,185.78
8,200,16.76
6,200,49.38
7,200,56.28
17,200,109.02
6,200,121.32
7,200,181.01
19,404,90.16
0,200,30.36
18,200,119.61
3,200,63.44
20,200,27.92
7,200,31.65
1,200,101.95
11,200,44.68
10,200,24.84
19,200,24.85
16,200,85.51
23,200,61.02
7,200,118.79
0,200,179.68
8,200,148.79
12,200,156.06
22,200,46.67
21,200,79.57
6,500,80.68
14,200,101.21
23,200,240.33
6,200,51.53
20,200,41.01
9,200,114.18
3,200,107.57
3,200,18.59
12,200,84.03
4,200,63.38
8,200,189.02
16,200,39.64
7,200,60.71
20,200,37.32
3,200,127.14
6,200,90.74
7,200,74.82
6,200,70.4
19,200,135.69
20,200,23.46
9,200,89.63
15,200,224.99
8,200,5.85
14,200,52.34
15,200,104.3
19,200,42.9
18,200,21.0
1,200,142.59
18,200,121.59
2,200,30.02
12,200,38.73
20,200,30.93
7,200,93.91
20,200,13.88
10,200,57.35
5,200,60.31
1,200,26.53
0,404,4.45
19,404,56.94
8,200,71.24
18,200,186.83
21,200,176.16
5,200,57.32
7,200,117.59
22,200,106.78
20,200,114.63
7,200,21.03
22,200,20.24
22,200,83.11
13,404,34.09
11,200,63.55
10,200,73.34
4,200,82.44
17,200,201.44
17,200,58.97
9,200,71.38
2,200,41.52
14,200,54.57
18,200,79.19
18,200,152.04
13,200,84.9
6,200,181.84
6,200,10.42
18,200,21.6
4,200,44.83
3,200,30.61
0,200,145.55
11,200,44.52
23,200,86.45
16,200,119.25
4,200,108.96
9,200,44.15
4,200,58.39
18,200,10.42
4,500,136.36
14,200,18.92
9,200,111.08
9,200,111.74
8,200,173.69
18,200,220.29
15,200,63.72
22,200,68.05
19,200,24.36
8,200,83.86
22,200,29.32
1,200,145.32
14,200,77.29
15,200,73.3
15,200,76.93
20,200,131.37
3,200,70.13
16,200,45.28
7,200,49.53
19,200,28.01
23,200,82.51
16,200,93.63
5,200,22.43
0,200,92.99
10,200,79.02
21,404,15.36
1,200,52.31
18,200,49.34
21,200,29.41
5,200,125.02
14,200,39.88
13,200,181.03
13,200,142.1
7,200,15.42
3,200,125.32
4,200,68.85
14,200,89.68
10,200,75.22
16,200,63.56
2,200,14.06
8,200,52.86
14,200,225.91
7,200,169.82
16,404,43.68
1,200,70.33
2,200,63.4
0,404,67.36
19,200,14.64
20,200,114.86
6,200,22.32
14,200,34.02
20,200,23.12
12,200,33.62
22,200,57.3
1,200,90.89
17,200,79.86
4,200,6.05
21,200,43.06
10,404,107.11
7,200,52.99
22,500,109.76
13,404,68.47
2,200,64.25
17,500,71.9
22,200,73.69
21,200,16.53
5,200,173.2
11,200,121.78
11,200,6.66
16,200,64.26
1,200,33.89
18,200,145.85
10,200,66.33
11,200,62.77
12,200,31.6
9,200,114.8
4,200,23.47
18,200,22.47
19,200,20.17
2,200,47.64
9,200,23.19
23,200,93.8
23,200,181.67
12,200,27.97
2,200,35.91
22,404,121.99
5,200,51.3
5,200,45.08
6,200,65.42
19,200,49.56
7,200,94.27
6,200,142.74
4,200,155.47
21,200,41.6
7,200,140.22
2,200,103.58
0,200,132.08
16,200,140.07
17,200,14.7
5,200,12.17
1,200,66.46
17,200,42.54
17,200,18.31
11,200,138.33
16,200,9.36
9,404,17.69
22,200,116.79
3,200,132.43
16,200,97.77
13,200,44.98
12,200,26.42
5,200,78.09
0,200,21.63
2,500,61.95
0,200,65.39
5,200,128.19
7,200,92.33
15,200,39.94
12,200,36.83
16,200,71.03
20,200,36.11
18,200,38.81
16,200,97.78
16,200,52.48
0,200,2.65
7,200,120.27
10,200,131.9
15,200,161.83
20,200,202.77
14,200,48.7
5,200,23.03
4,200,166.22
11,200,78.81
12,200,349.93
9,200,37.39
11,200,55.8
12,200,109.87
14,200,80.53
2,200,53.95
0,200,10.35
8,404,135.33
12,200,62.9
12,200,32.47
14,200,76.98
17,200,89.62
1,200,110.52
15,200,130.25
22,200,29.51
2,200,78.91
3,200,14.95
21,200,35.45
13,500,59.58
10,200,72.21
10,200,60.03
13,404,25.65
8,200,5.01
1,200,61.03
19,200,154.82
22,200,46.64
8,200,17.6
9,200,82.19
2,200,71.26
11,200,113.68
10,200,36.62
21,200,66.08
8,200,64.05
6,200,56.27
19,200,109.55
10,200,39.6
4,200,25.86
11,200,11.84
20,200,18.8
8,200,59.71
17,200,79.86
13,200,205.57
7,200,141.61
7,200,22.06
0,200,32.88
12,200,160.17
10,200,37.27
4,200,294.12
3,500,32.8
15,404,50.79
21,200,105.74
6,200,42.74
0,200,38.41
12,200,99.74
4,500,55.19
13,200,58.1
17,200,107.32
1,200,61.51
23,200,83.03
9,200,34.57
2,200,12.57
4,200,24.49
2,404,102.48
1,200,58.17
23,200,38.68
21,200,86.53
21,200,171.68
14,200,97.9
4,200,36.96
12,404,119.5
4,200,71.38
18,500,184.25
4,200,52.37
7,200,52.69
14,500,278.15
15,200,113.93
10,200,93.18
12,200,142.8
11,200,33.33
3,200,24.38
23,200,115.02
8,200,135.56
17,200,58.28
20,200,147.45
21,200,64.82
10,200,40.74
2,200,93.6
14,200,45.58
21,200,59.24
16,200,86.59
23,200,13.88
7,200,12.69
18,200,158.38
16,200,54.35
14,200,121.14
13,200,66.93
18,200,219.65
2,200,27.69
16,200,25.49
19,200,112.14
18,200,44.15
20,200,78.3
12,200,32.01
4,200,210.66
11,200,79.75
21,200,74.08
4,404,53.77
8,200,13.86
9,200,109.04
15,500,113.51
1,200,83.12
13,200,78.83
14,200,10.25
10,200,126.56
20,200,140.05
6,200,110.15
5,404,135.32
2,200,71.28
7,500,40.92
22,200,76.16
11,200,171.45
15,404,5.28
5,200,192.77
20,200,170.11
8,200,29.77
20,200,101.57
20,200,142.15
4,200,61.18
1,200,34.58
10,200,109.59
19,200,42.08
10,200,214.54
8,200,64.17
4,200,110.22
1,200,53.21
6,200,155.44
20,200,79.43
5,200,25.59
20,200,94.77
21,200,29.84
13,404,115.07
9,200,238.09
14,200,21.49
13,404,54.64
23,200,25.45
22,200,110.29
17,200,86.03
6,200,35.43
11,200,71.39
13,200,13.05
10,200,62.63
22,200,118.9
23,200,38.86
16,404,252.19
5,200,78.41
7,200,67.73
19,200,34.85
10,200,29.94
10,200,55.84
17,200,88.24
23,200,98.75
21,200,77.73
3,200,205.02
9,200,68.05
3,200,10.88
7,200,90.29
21,200,46.91
11,200,125.55
16,200,127.03
13,200,123.49
2,200,58.72
6,200,154.54
12,200,46.0
16,200,244.84
22,200,10.59
13,200,9.04
1,200,82.11
12,200,173.62
21,200,54.79
9,200,145.49
2,200,57.64
6,200,68.24
6,200,103.5
8,200,144.86
20,200,60.4
6,200,58.6
8,200,30.92
17,200,107.33
22,200,148.88
9,200,111.89
16,200,46.96
6,200,100.97
9,200,37.87
9,200,44.34
11,200,78.43
20,200,19.94
22,200,105.14
20,200,227.48
4,200,21.98
20,200,45.54
17,200,33.93
2,200,46.65
16,200,61.68
0,404,61.22
21,200,87.73
4,200,60.71
21,200,37.94
4,200,42.07
12,200,71.37
7,404,40.93
22,200,68.69
12,200,15.19
5,200,192.63
19,200,34.34
8,500,101.17
9,200,117.56
0,200,189.58
3,200,56.15
23,200,133.11
13,200,8.66
20,200,57.12
8,200,120.44
9,200,88.66
1,200,13.06
22,200,44.65
11,200,37.09
20,200,90.03
12,200,165.93
13,200,37.0
17,200,30.96
13,200,21.4
6,200,219.09
6,200,75.57
3,200,196.83
21,200,39.39
5,200,18.77
11,200,63.56
3,200,67.0
8,200,146.52
19,404,15.93
9,200,44.59
4,200,64.22
16,200,159.64
3,200,102.88
13,200,101.95
20,404,49.88
16,200,79.18
1,200,86.71
4,200,33.88
16,200,22.96
11,200,141.11
15,200,126.3
13,200,97.46
13,200,59.38
22,200,62.61
23,200,49.8
11,200,83.19
21,200,205.29
22,200,112.98
12,200,32.53
21,200,125.07
9,200,21.79
10,200,15.45
18,200,42.15
17,200,37.99
4,200,154.32
7,200,115.34
0,200,16.27
15,200,45.84
11,200,66.92
1,404,98.39
5,200,71.42
22,200,32.13
12,200,11.54
12,200,26.24
15,200,74.29
1,200,92.96
0,200,87.88
11,200,105.11
9,200,197.67
0,500,56.64
18,200,234.69
21,200,70.6
20,200,69.6
16,200,99.44
5,200,17.12
16,200,59.5
15,200,110.36
18,200,65.34
15,200,118.32
20,200,111.7
16,200,221.61
14,200,12.96
16,200,154.8
0,200,72.88
5,200,153.94
11,200,25.42
3,200,113.49
17,200,117.96
2,404,27.49
19,200,67.5
23,200,45.24
9,200,32.67
13,200,12.18
1,200,143.3
4,200,76.31
2,200,47.52
14,200,65.05
20,200,46.01
12,200,168.22
4,200,73.52
15,200,57.55
17,200,14.86
8,200,48.62
23,200,144.0
23,200,63.54
0,200,105.01
6,200,44.18
23,200,168.78
19,200,30.41
18,200,244.12
19,200,37.72
6,200,57.9
5,200,20.5
0,200,26.0
22,200,72.68
1,200,119.72
7,200,54.62
9,200,57.75
22,200,26.44
7,200,9.71
17,200,92.0
13,200,21.08
16,200,71.37
4,200,153.25
9,200,55.64
7,200,276.38
7,200,82.15
20,200,58.39
6,200,43.71
0,200,281.31
23,200,27.65
8,200,82.74
8,200,241.1
21,200,55.32
4,200,54.87
10,200,76.42
21,200,9.62
7,404,118.05
2,200,203.23
17,200,29.37
13,200,35.04
18,200,60.8
16,200,68.81
3,200,39.03
9,200,245.5
20,200,54.68
19,200,109.79
16,200,9.15
5,200,95.95
19,404,76.92
12,200,31.75
23,200,15.03
8,404,43.21
4,200,37.44
7,200,98.25
15,404,167.56
13,200,44.15
9,200,77.65
18,200,32.35
15,200,54.64
17,200,100.51
11,200,85.13
11,200,33.49
19,200,51.51
0,200,13.31
5,200,61.21
17,200,19.43
4,404,31.4
23,200,56.86
15,200,144.55
17,200,50.15
1,200,23.3
0,200,8.59
19,200,32.98
12,200,30.24
8,200,57.84
15,200,29.91
7,200,33.49
13,200,57.5
23,200,31.03
1,200,41.67
4,200,123.96
7,200,10.28
1,200,215.86
7,200,23.31
23,200,25.43
7,500,87.23
12,200,108.95
4,500,196.72
13,200,161.6
18,200,226.1
12,200,145.03
16,200,71.52
2,200,26.31
12,200,47.02
22,200,124.97
20,200,47.58
17,200,92.45
0,200,51.91
13,200,210.01
11,404,109.17
13,200,55.26
18,200,51.66
23,200,109.24
9,200,44.22
0,200,72.34
9,200,62.34
19,200,54.68
22,200,134.62
0,200,53.19
8,200,150.96
9,200,18.6
10,200,210.9
19,200,231.83
6,200,24.7
6,200,119.0
3,200,96.44
16,200,129.48
9,200,16.36
9,200,11.42
1,200,133.31
0,200,72.58
2,200,61.77
15,200,11.34
6,404,77.26
18,200,10.33
0,200,25.98
17,200,76.33
21,200,29.47
14,200,62.38
15,200,114.69
7,200,36.62
1,200,31.37
10,404,143.89
19,200,18.69
23,200,92.39
0,200,5.45
19,200,34.83
22,200,9.38
2,200,19.14
15,200,117.91
19,200,105.76
8,200,39.25
20,404,74.34
10,200,122.85
22,200,225.66
18,200,78.48
15,200,43.69
11,200,107.22
4,200,56.66
2,200,37.13
5,200,142.63
7,200,100.36
4,200,90.71
1,200,81.0
14,200,112.47
2,200,14.64
13,200,35.04
3,200,94.68
20,200,195.94
14,200,133.12
15,404,57.81
18,200,154.06
2,404,118.37
22,200,60.4
23,200,62.12
13,200,21.3
2,200,38.84
19,200,53.58
15,200,157.64
23,200,25.58
1,200,113.11
0,200,59.1
20,200,64.49
4,200,19.3
17,200,16.5
18,404,88.79
15,200,25.65
5,200,77.76
20,200,89.46
22,200,9.24
21,200,175.13
0,200,116.74
9,200,70.94
11,200,25.3
22,200,52.96
17,200,111.06
5,200,218.49
15,200,71.03
20,200,82.62
23,200,17.72
5,200,32.95
21,200,59.69
17,200,76.14
15,200,116.69
19,200,142.35
0,200,65.11
20,200,34.23
4,200,19.19
11,200,47.79
13,200,168.05
16,200,9.29
21,200,21.73
19,404,111.26
18,200,97.09
8,200,20.19
8,200,95.78
3,200,124.45
5,200,246.37
9,200,6.56
9,200,62.52
12,200,40.13
20,200,111.11
18,200,67.56
23,200,54.28
0,200,67.82
4,200,103.87
20,200,25.49
3,200,20.86
14,200,51.39
2,200,139.34
23,200,35.34
3,200,81.57
15,200,13.23
10,200,165.07
6,200,59.79
2,200,161.78
11,200,74.8
23,200,84.44
16,200,72.43
14,200,30.53
21,200,142.93
23,200,23.43
8,200,100.55
20,200,107.94
13,200,52.35
16,404,54.58
20,200,84.6
0,200,53.61
10,200,24.87
14,200,74.52
14,200,129.32
2,200,127.35
19,404,7.06
6,200,22.39
9,200,165.37
21,200,68.78
7,500,30.85
21,200,144.36
8,200,62.92
2,404,80.3
3,200,82.41
14,200,49.36
23,200,71.23
13,500,60.01
11,200,99.04
15,200,35.35
10,200,63.73
6,200,15.92
12,200,61.39
13,200,17.12
5,200,1.82
7,200,27.76
22,200,91.9
13,200,61.27
4,200,43.34
0,200,43.44
4,200,89.33
12,200,30.76
15,200,74.94
2,200,53.01
22,404,44.47
22,200,93.73
20,200,173.89
12,200,87.39
11,200,194.78
9,200,161.74
0,200,121.73
11,200,84.98
9,200,164.14
16,200,35.75
15,200,51.74
23,200,75.68
14,200,99.67
15,200,81.41
22,200,131.33
15,200,75.86
7,200,182.64
12,200,41.25
6,200,29.22
20,200,72.95
2,200,58.71
3,200,180.29
17,404,124.64
2,200,27.03
22,200,73.97
7,200,154.29
20,200,59.9
6,200,28.39
15,200,51.11
5,200,88.39
10,200,5.56
10,200,60.0
0,200,76.45
20,200,19.88
23,200,104.18
0,200,88.68
20,200,142.76
21,200,210.36
15,404,156.25
1,200,19.88
19,200,101.41
4,200,37.01
17,200,89.46
17,200,312.46
14,200,8.82
11,200,154.29
7,200,11.84
21,200,37.94
12,200,9.12
4,200,64.26
5,200,294.2
13,404,29.47
0,404,139.16
17,200,79.03
21,200,52.05
3,200,41.69
22,200,11.75
15,200,41.27
9,500,36.0
9,404,61.57
17,200,105.88
3,200,164.48
22,200,156.96
17,200,32.19
9,200,199.94
3,200,159.55
23,200,33.92
20,200,291.69
7,200,49.74
5,200,121.03
16,200,44.33
16,200,209.28
10,200,85.29
1,200,83.04
22,200,44.12
13,200,14.31
5,200,69.13
22,200,197.86
16,200,157.63
7,200,26.48
19,200,124.33
16,200,147.35
10,200,55.74
8,200,79.82
22,200,43.04
13,200,78.41
0,200,123.39
17,200,193.26
13,200,67.15
2,200,161.95
18,200,69.45
18,200,79.71
14,200,58.68
3,200,117.94
18,200,78.46
11,200,336.51
16,200,71.16
2,200,10.18
19,200,174.67
16,200,24.27
7,200,20.42
7,200,73.42
5,200,99.25
14,200,72.48
11,404,66.87
19,500,48.27
7,200,38.19
17,200,82.31
2,200,63.51
11,200,49.8
10,200,90.66
18,200,34.02
8,200,51.47
23,200,37.29
5,200,162.91
21,200,50.82
11,200,27.28
11,200,205.49
10,200,50.6
6,200,41.94
1,200,78.48
18,200,28.16
19,404,71.72
19,200,37.33
21,404,60.57
16,200,25.65
21,200,88.94
18,200,139.34
14,200,62.45
17,200,20.18
5,200,32.87
9,200,44.28
0,200,66.36
3,200,99.37
10,200,219.37
2,200,54.34
21,200,56.97
13,200,28.81
1,200,49.77
7,200,63.63
0,200,28.67
18,200,77.78
18,200,73.17
4,200,5.53
21,200,49.94
10,200,50.55
8,200,45.46
7,200,89.34
20,200,7.2
21,200,38.9
5,200,44.35
12,404,47.96
9,200,85.11
11,200,40.61
7,200,58.94
4,200,38.73
11,200,69.1
11,200,94.11
6,404,74.58
21,404,50.57
14,200,141.83
12,200,25.22
0,200,79.15
10,200,47.92
17,200,56.45
11,200,51.03
4,200,55.87
18,200,97.37
19,200,158.19
9,200,105.42
10,200,23.06
11,200,64.86
3,404,9.28
2,200,67.54
14,200,25.29
22,200,68.09
11,200,30.33
1,200,24.73
2,200,51.83
23,200,47.84
16,200,5.56
11,200,36.94
13,200,98.49
23,200,115.93
9,200,63.22
23,200,82.79
20,404,159.58
9,200,82.61
21,200,103.44
0,200,6.75
22,200,76.23
10,200,79.22
9,200,83.89
13,200,140.43
13,200,51.36
21,200,26.58
11,200,30.5
18,200,45.32
23,200,162.7
13,200,131.45
19,200,15.36
14,404,20.05
3,200,72.58
2,200,133.22
11,200,17.23
13,200,72.11
8,200,68.18
2,200,102.21
6,200,18.29
20,404,74.1
21,200,10.51
17,200,257.76
11,200,24.16
17,200,101.97
6,200,109.99
1,200,28.16
2,200,79.5
0,200,116.53
10,200,225.35
3,200,25.26
15,200,9.36
7,200,20.5
10,200,112.57
20,200,164.85
9,200,43.65
15,200,141.45
3,200,8.76
10,200,2.75
18,200,41.89
6,200,59.54
22,200,73.4
22,200,23.76
6,200,63.96
11,200,157.13
7,200,89.38
1,200,75.2
4,404,23.1
13,200,100.06
0,200,147.25
19,200,80.78
6,200,258.78
6,200,36.43
19,404,75.62
20,200,101.19
22,200,66.16
7,200,91.24
2,200,42.5
15,200,163.52
21,200,96.07
3,200,257.95
3,200,80.07
11,200,181.75
15,404,3.69
19,200,5.92
19,200,17.66
21,200,115.54
18,200,145.08
5,200,85.31
0,200,41.42
6,200,112.33
14,200,256.22
8,200,73.77
10,200,21.98
23,200,61.81
5,200,32.56
11,200,150.45
14,200,4.43
19,200,52.96
0,200,21.81
11,404,178.51
15,200,191.46
21,200,72.34
6,200,72.75
0,200,184.74
16,200,17.73
11,200,48.98
13,200,98.14
13,200,60.25
20,200,213.95
2,200,29.84
14,200,82.49
22,200,45.55
19,200,81.09
16,200,9.02
9,200,68.3
1,200,36.08
1,200,45.46
4,200,67.57
1,200,55.81
1,200,56.82
2,200,61.08
6,200,181.05
1,200,94.3
15,404,58.49
0,200,200.02
12,200,168.99
14,200,40.81
14,200,109.78
13,200,87.12
13,200,42.35
1,200,184.44
22,200,98.64
10,200,128.6
15,200,59.01
3,200,97.41
1,200,107.88
16,200,82.88
18,200,103.61
9,404,95.01
10,200,82.8
12,200,259.1
18,200,56.29
17,200,97.95
0,200,141.43
3,200,85.6
12,200,59.31
4,200,164.14
8,200,138.45
17,200,17.35
3,200,153.58
1,200,172.05
19,200,33.43
22,200,55.77
19,200,77.89
11,200,51.34
2,200,138.33
14,200,128.34
13,200,52.39
0,404,15.35
6,200,50.13
18,200,32.75
16,200,67.71
1,200,82.77
11,200,46.49
9,404,78.81
19,200,257.81
1,200,128.09
18,200,99.88
13,200,152.55
21,200,88.39
12,200,20.5
19,200,91.45
2,200,93.16
0,200,109.27
12,200,72.55
23,200,22.53
3,200,42.07
10,404,183.02
1,200,248.29
5,200,29.16
10,404,53.09
21,200,30.85
7,200,112.1
5,200,74.46
16,200,33.92
18,200,29.75
4,200,107.38
16,200,108.48
2,200,53.31
11,200,4.37
19,200,57.29
22,404,41.25
14,200,116.94
7,200,31.26
5,404,17.42
14,200,83.52
3,200,39.58
8,200,97.33
14,200,112.24
21,200,90.04
22,200,52.08
8,200,6.84
17,200,154.36
4,200,52.98
11,200,34.64
13,200,41.58
11,200,52.62
18,200,28.63
9,200,137.78
20,200,70.08
3,200,71.93
