f1,f2,target_normal,target_heavy
0.5431,0.2162,0.7768,1.9179
-1.6702,-1.0031,-4.1734,-2.806
-0.4276,-0.7733,0.4399,1.0558
-1.7738,-0.3037,-2.8314,3.0689
1.1021,1.0552,3.0256,1.3319
-0.1128,0.6191,-3.3246,-3.1804
1.5652,0.2017,3.0449,4.7601
-0.4344,0.5686,-2.7327,-1.2998
1.0073,-0.1487,3.938,4.1943
1.509,0.3123,4.0425,4.4037
0.1626,0.9504,-2.244,-1.0123
0.2676,0.4876,-0.7226,-2.3486
-0.6354,-0.0161,-0.0971,-1.0819
-1.0365,0.967,-4.4136,-3.8792
-2.6931,-0.8702,-7.6144,-8.1099
0.0607,-0.5662,2.9294,3.2158
-0.1127,-0.952,2.0929,3.2272
1.3248,-1.4269,7.4716,9.497
0.0523,0.0473,-0.0821,1.503
0.4692,-0.6296,2.9121,2.1
0.2378,-1.2537,1.8496,3.31
0.0905,0.5243,-1.2393,-1.0052
-1.2692,-0.3062,-2.4685,-3.2562
-0.7857,0.6183,-4.4972,-0.7275
1.0665,1.4278,-0.0719,0.5444
0.5109,-0.1395,2.0742,0.0902
-1.4408,-1.002,-2.7464,0.1907
1.162,-0.3473,4.3739,2.9452
-0.5134,-0.4491,-2.4901,-1.574
-0.8366,-0.321,-0.7776,-2.2648
0.1639,-0.2616,2.2117,1.0114
0.9371,-1.5,7.8424,10.5427
0.1416,-1.0155,1.7046,2.0117
-1.2612,-2.3681,1.3644,1.3974
1.8073,-0.3369,6.3387,6.2807
-0.3718,-0.4334,-0.7325,-2.1791
-0.1518,1.6622,-3.9058,-4.5653
1.2756,0.3618,1.7182,0.8175
0.066,-1.0166,0.8797,6.5461
1.14,-0.0232,3.452,3.6817
1.6595,2.2636,1.5221,-0.5939
-0.452,-0.0767,-1.7746,-3.2803
1.3817,-0.1147,2.4219,4.8835
-0.49,0.7087,-2.3978,-4.5338
0.8243,-0.6384,3.05,4.1964
-0.5258,-0.0189,-3.5651,-2.5181
0.7719,-1.2747,5.696,4.9306
0.8382,0.4035,0.9873,1.9819
0.3709,1.5132,-0.5958,-2.1596
1.5845,0.6245,3.6281,3.3124
0.7685,-1.5159,6.3524,5.7504
0.0162,1.1183,-3.3926,-3.6293
0.6508,0.5724,0.7688,0.2426
1.9779,0.0387,6.5116,6.1169
0.6475,0.6128,0.8307,7.7218
0.5675,1.3567,-0.8955,-2.4228
2.0121,-0.3466,4.7601,4.1537
0.6166,0.3091,0.2074,4.1129
0.7021,0.0549,2.4302,2.0207
-0.4187,0.5076,-2.4788,-1.5622
-1.3655,-0.4197,-3.5512,-0.943
-0.802,0.345,-1.6448,-3.2732
-1.7321,-0.3088,-5.4355,-6.8122
0.7044,-0.3711,3.0942,1.9866
-1.3143,0.4121,-5.1038,-0.9034
0.4377,-1.9104,6.6211,3.9377
0.7233,-0.0092,3.3887,2.1554
0.6645,-1.9506,5.5168,3.5489
0.2383,0.4318,-0.3885,-1.5227
2.5689,0.9538,5.915,5.7671
1.2986,-0.2856,5.1196,3.9535
1.3021,0.6418,0.9727,2.09
1.6962,0.2595,6.463,2.078
0.14,0.7656,-0.3795,-0.0967
-0.985,-0.0795,-2.0725,-3.2628
2.3809,-1.0634,9.4956,8.17
-0.0523,-0.9123,2.3503,1.5406
0.268,0.6689,-1.321,0.5843
0.4303,1.4143,-2.4959,-2.9591
0.3802,-1.6834,4.7552,3.2922
-1.3833,-0.1085,-4.0345,-3.4895
0.1869,1.2047,0.4476,-0.7115
0.0783,-1.0954,1.3285,-3.368
-0.4204,-0.1211,-0.8783,-0.3372
-0.7714,-0.1693,-0.9534,-4.0359
-0.5496,0.1578,-0.6997,-6.8014
0.5133,1.2914,0.1051,-0.8419
0.1249,0.7921,-0.1202,-3.2162
0.8123,-0.0559,1.8417,2.7173
-0.1774,-1.9127,1.9928,4.9454
2.2621,-1.4323,9.2696,10.5701
-0.507,-0.7632,0.4651,-0.1628
-0.2756,0.8442,-3.1739,-5.047
-0.4746,-1.2764,0.8818,-0.2803
0.4901,0.8997,-1.9784,0.1881
1.0167,-0.5109,4.8003,4.2581
1.1664,-0.5903,2.7244,5.6436
-1.345,0.4334,-5.5294,-5.5327
1.2039,0.0831,3.5276,3.3465
-0.6958,0.0578,-2.4007,-1.865
-0.0731,0.7647,-0.2474,-0.652
-1.137,0.5532,-3.9973,-3.8684
0.0747,0.8099,-2.304,-3.0254
0.0504,-0.9909,2.26,3.096
0.2475,0.242,2.1519,0.1099
0.5242,-1.1068,5.0479,7.475
3.2668,0.081,9.5154,8.6988
-0.1487,1.08,-2.0108,-2.8643
-0.7419,0.7968,-3.3389,-5.9266
-1.4692,-0.4773,-2.2766,-3.5442
0.1801,-1.1857,3.8485,4.9415
-2.2684,-0.911,-3.4291,-4.493
0.7304,-1.1278,3.7986,5.4475
-0.5473,0.4359,-2.6838,-2.7088
-0.3586,-0.0599,-0.0243,-0.2425
1.0454,-1.2086,5.4235,4.0784
0.6692,0.0764,1.0068,6.4914
-0.6603,-0.6239,-0.8423,-0.8098
0.5146,-0.7006,3.2145,2.8894
-1.4605,0.12,-6.0508,-3.7194
-2.1619,-0.2893,-4.2196,-4.5998
-1.639,1.1797,-6.5682,-11.0733
-0.095,-2.3151,5.7096,2.1721
-0.4748,0.3117,-2.7335,-0.6418
-0.4741,-1.5226,-0.1626,1.618
-0.758,0.6521,-4.017,-4.9376
1.0383,0.2065,3.3002,1.4989
-0.7797,1.1147,-2.9769,-5.7795
-0.83,-1.0751,0.1641,0.8196
-0.5898,-0.8787,0.0381,2.9353
1.5372,-0.0916,4.6552,3.2198
0.5381,-0.0413,2.1147,-0.2539
0.5902,-0.334,2.2552,0.6228
-1.2113,-1.339,0.0334,0.1684
-1.0961,0.2416,-4.218,-3.0948
-0.4665,0.9281,-3.0354,-4.1155
0.9299,0.6609,0.9381,4.2865
0.6993,0.3991,0.4064,2.3857
1.4608,0.7878,1.9524,3.5277
0.3523,-1.268,2.0704,3.2726
0.6211,-0.3209,3.3372,2.1527
-0.4503,0.716,-1.4366,-2.6567
-0.4133,-0.715,-1.1531,0.2115
-0.647,-0.7943,-0.831,0.1823
-0.4841,-0.9843,1.1879,0.5398
-0.2729,0.1913,-2.2917,0.4418
0.5829,-0.8246,2.996,2.2337
-1.1761,-0.1334,-2.679,-3.2141
1.6857,-0.8596,7.1154,6.836
-1.3185,-2.2808,-0.9008,1.2687
1.223,0.2886,4.7915,3.6734
2.5171,0.5383,7.4373,6.8811
-0.8544,0.1157,-1.9376,-1.8498
-0.1194,0.6955,-1.8549,-1.5964
0.5714,0.6776,0.4313,-2.3934
-1.0553,2.2574,-7.1121,-9.6998
-0.3367,-0.6575,1.0327,0.9574
0.474,0.8308,0.0791,-1.7483
1.4393,0.2157,4.5893,7.8723
0.1532,0.4138,-0.9455,-0.5727
2.075,1.0533,2.5036,5.2613
-1.4814,0.5285,-6.6889,-6.8283
-1.1758,0.0491,-2.8859,-3.4521
-0.4894,-1.5034,0.9227,0.9011
-0.0544,0.2533,-0.6356,-1.799
-0.2437,1.4564,-4.5174,-3.1299
0.2837,-2.2113,6.7946,0.0119
0.6291,0.8943,0.1168,-0.4981
-0.8017,0.6341,-3.6679,-3.389
-0.2712,0.801,-0.7901,-2.8398
-0.6298,-0.0223,-1.2071,-1.3991
0.7408,0.3247,0.7433,1.8844
1.8564,-0.2135,5.8539,6.5213
0.2693,0.3812,0.5848,-0.1426
0.4486,1.1076,-1.8373,-0.7118
1.053,-2.192,7.0242,7.5261
0.7219,0.6092,0.9584,-0.5583
0.6638,0.055,2.6362,1.2383
-0.3096,-0.88,0.4581,-1.35
-1.6116,0.5313,-6.9112,-6.5212
-0.981,0.5515,-4.6254,-1.8254
0.1424,-0.3282,0.369,-1.2901
-1.3629,-1.3719,-1.2789,-0.2967
-1.5783,0.9799,-8.8631,-9.1418
2.325,-2.032,12.5504,5.9853
0.0942,-0.8124,1.3493,3.9952
1.3864,-0.2049,4.9488,5.0181
1.3533,-1.0965,4.6967,6.7716
0.737,-0.141,1.8063,3.6024
-0.8042,1.3844,-4.1228,-5.9661
0.6643,0.2201,2.0192,0.806
0.4995,-0.3883,1.2404,2.2057
0.36,1.4165,-1.4221,-4.1277
0.1264,-2.3231,2.8408,5.3053
-1.0224,-1.0834,-3.3027,1.9661
1.5858,-0.3087,5.1758,5.6428
-1.03,0.0533,-3.1608,-4.3071
0.0675,-0.7187,-0.1479,3.9319
0.6616,-0.5736,2.107,-0.3885
-1.84,0.9706,-6.5228,-7.6714
0.4163,0.9482,-0.184,4.712
-0.5723,-0.7207,0.4731,-0.4131
0.1719,-0.7973,2.5386,-2.6483
-0.2184,-1.4642,1.4834,1.7793
1.9632,-0.134,7.7172,5.4702
-0.8692,-0.164,-3.5573,-0.3451
0.535,-0.6137,3.226,2.2355
-0.2178,-0.2598,-0.5266,-1.7664
1.4287,0.0023,2.2277,3.5205
-0.3035,0.506,-2.1456,-0.0535
0.9795,-0.8829,4.0611,4.8771
0.803,0.2896,3.6649,2.4471
0.1536,-1.3731,2.3341,0.5961
-1.7936,-1.4013,-2.4598,-0.6744
-1.3703,-2.4046,-0.0804,-0.1224
0.0486,1.6727,-0.5793,-5.7569
-0.3457,1.2723,-3.2328,-4.9566
0.7024,0.5881,3.0732,2.0001
-0.739,-0.0613,0.3166,-1.8992
-0.8362,-1.4,1.0324,2.9374
0.1467,-1.4751,3.6364,2.2819
0.8428,0.4975,2.0452,1.4404
-0.2738,-0.1405,-1.713,-3.1479
-1.2491,1.3865,-5.9577,-8.8794
1.5575,-1.535,8.3706,3.1448
-0.1203,-0.6313,3.4684,1.9242
-0.7627,1.3463,-5.5367,-3.2012
-0.4698,0.3092,-2.4998,0.2686
-0.3539,-0.0407,-1.6715,1.502
1.9184,-0.1065,5.131,5.1842
-0.5001,0.0804,-2.1776,-1.1824
-0.0017,-0.269,0.3889,1.4769
0.7392,1.4944,0.8118,1.6633
2.1805,1.0292,4.0271,3.7528
1.2638,-0.6678,4.7889,6.0832
0.3044,2.5791,-2.546,-4.4524
-1.7521,-0.3004,-4.5919,-3.5603
0.3366,-1.3102,4.9674,1.2516
-1.3625,0.5591,-6.1833,-5.5366
1.7409,-0.4951,6.1504,4.2441
1.7679,0.1787,5.5564,5.122
-0.6907,0.2871,-1.5384,-1.3941
-1.9911,0.2888,-6.9074,-6.7546
0.0593,-0.6474,2.4448,3.1635
1.5909,-1.1651,7.4926,7.1121
0.1499,0.3109,-0.8182,0.2305
-1.0789,0.6932,-4.3392,-4.4222
0.6338,0.0284,2.0533,2.4236
-0.0351,0.0682,-0.7655,-1.8494
0.7133,0.7501,0.5361,-1.3623
-1.0333,1.4909,-7.8576,-5.1409
-0.4132,0.4868,-1.0842,-2.8366
-0.906,2.3637,-5.6089,-5.8393
0.5987,0.0162,2.3098,2.3996
0.6403,-0.3404,1.2581,5.217
1.6304,-1.0399,6.8023,11.7487
-0.7268,-0.3189,-1.1053,-1.8339
0.8893,-0.1147,3.3599,2.9601
-0.7236,0.5715,-2.4683,-4.1614
0.1355,-0.29,-0.9557,-0.6775
-0.3422,-1.4332,1.4997,1.8959
-1.1695,1.8698,-6.8668,-6.6431
-1.1957,-0.2358,-1.7911,-4.729
0.0631,0.8828,-1.0896,-1.902
-0.9751,-0.6481,-1.8397,-2.4478
-1.0344,-0.8476,-1.3428,-0.4619
-0.2558,-0.6976,0.0685,2.2442
-0.3561,0.1611,0.0916,-1.749
0.0786,0.1744,0.8646,-0.7246
2.1978,-0.3288,6.4986,8.6225
-0.4339,-0.0973,-0.6364,-3.1054
-2.3024,-1.1011,-5.2318,-3.9226
-0.6184,0.0366,-2.2778,-1.1552
-0.8106,1.3214,-4.9444,-8.3084
-0.2351,-1.758,3.2563,2.7679
-1.0247,0.7699,-4.6044,-2.4075
0.2646,-0.4083,1.6992,2.7292
-0.3602,-0.1224,0.8243,0.6255
0.7297,0.1254,1.7687,2.0691
0.5562,0.1785,0.0258,-0.7091
-0.9303,0.6682,-3.9153,-4.3892
-0.842,1.251,-4.4809,-5.3772
1.0379,-0.3423,4.3794,5.5025
-0.0789,0.2635,0.2176,-0.0474
3.2087,0.4144,10.4882,8.4733
0.4235,-1.7597,4.785,3.7
0.7798,0.9547,-0.7761,0.1158
-0.7976,-0.1356,-3.374,-1.7426
-1.7351,0.8715,-7.1377,-6.2414
1.1553,-0.2972,4.9174,3.8044
-1.0662,-1.7242,-0.104,-7.5769
-0.4491,-1.7608,2.6634,2.2656
-0.0295,-2.5986,5.562,3.9217
-0.2944,-0.5227,-1.6522,2.5734
1.1845,-1.2498,4.4773,6.9485
1.2983,-0.3617,6.4892,3.448
0.3903,0.0345,-0.4603,2.3356
0.4416,-0.0367,-0.0373,1.366
0.2408,-1.6161,3.2493,3.0153
1.6761,-1.1092,6.6105,5.3329
1.138,-0.6414,3.016,4.0129
0.1837,0.8983,-1.6148,-1.3746
-1.4659,-0.5795,-4.2233,-3.1421
0.6521,-0.6571,4.6632,4.7798
-2.1091,-0.9541,-5.928,-4.7471
-0.881,1.0129,-5.2025,-2.3043
1.3122,-1.9575,7.8393,8.7891
-1.0388,1.0009,-4.9214,13.743
-1.7115,-1.9365,-1.724,1.0948
0.7586,-0.7709,5.6743,4.8158
0.0421,-0.0436,-0.7051,0.789
-0.3172,0.6255,-1.5492,-1.4143
-0.964,0.7078,-4.9921,-1.1718
0.2643,-0.4953,2.9342,2.4837
0.74,2.0185,-0.6747,-2.1611
0.3996,1.5596,-0.3755,-2.8073
1.6188,-0.0743,4.6155,5.4476
0.2115,1.6581,-4.4347,-3.6397
1.2357,-0.0061,5.1502,3.3466
-2.029,-0.1937,-6.1309,-2.6572
-0.1365,-1.8742,4.2096,2.5538
-0.729,0.1458,-3.3702,-4.1447
1.4099,0.2944,4.7169,4.6345
1.6827,0.3081,3.7595,6.5968
-0.5605,-0.0641,-1.6071,1.1362
-0.4129,1.4752,-3.4948,-4.2707
-0.4936,1.0209,-4.9307,-4.2695
0.3318,-0.8718,3.4351,5.0955
0.8569,-1.0113,4.521,5.1021
-0.0273,-0.11,-0.9383,-5.5645
2.7785,-0.2753,6.8359,9.4626
0.0286,0.2527,-1.3915,1.715
-0.1921,-1.2365,4.198,2.3691
0.0161,-0.098,-0.2361,1.6482
-0.6752,1.2458,-5.3527,-4.9598
-0.3907,-0.3041,-1.1007,-0.0089
-0.2702,-0.9988,0.5945,1.4737
-0.5535,0.6236,-0.9862,-1.445
-0.2684,-0.3556,-0.1854,-1.057
0.414,0.133,0.1232,1.0641
0.5745,-0.3242,2.4595,2.8215
-0.0421,0.9196,-2.4834,-0.5525
0.1267,-0.4733,3.1984,-2.2516
-0.8315,-0.0672,-3.0424,-2.5141
0.6314,0.5154,-0.0891,-0.1252
-0.0036,-0.2904,1.3934,7.7968
1.0307,1.1467,1.3423,0.6967
-0.1944,-2.2945,3.3474,7.2745
-1.3782,-1.1842,-2.3437,-0.7308
-0.9524,-0.1864,-0.8593,-3.6032
0.317,0.1263,2.676,0.0453
-0.275,-1.6895,1.562,2.6949
1.3844,-1.2817,6.7926,7.6758
-0.0071,0.8372,-0.5021,-3.3584
-1.0725,-0.8687,-0.8248,-6.5047
1.539,-0.8534,7.5021,8.624
0.47,-0.2802,3.4703,-1.1141
-0.504,-0.1239,-2.6362,-1.3416
-0.9785,-1.0058,-2.2275,-1.1013
0.1233,-0.0901,-0.1847,1.6613
2.0326,2.9997,0.0392,0.1215
-0.0606,-0.4903,-0.4042,1.0685
0.6779,-0.3938,2.1563,2.7478
0.3597,-1.4073,3.1673,1.0024
1.5651,0.1487,4.8737,6.3814
-2.2213,1.2421,-9.0473,-7.8058
0.9369,-0.4574,3.8866,3.5099
-0.859,-1.3925,0.0954,-0.2057
-0.261,0.6651,-3.1775,-0.7831
-0.3436,-0.6439,1.8499,-0.5912
0.3048,0.3946,0.4102,-2.2435
-0.5753,0.274,-3.4798,-0.7173
-2.0336,0.3128,-6.0028,-5.2045
3.002,1.213,7.3128,8.2101
1.506,1.0168,2.4457,2.4811
0.581,0.3067,1.8772,1.1456
-2.1357,0.4665,-8.6975,-7.4832
-0.6529,0.6503,-4.0178,-4.756
0.1017,0.67,-1.4154,1.5953
1.9069,-0.4158,6.8169,6.3044
-0.3423,0.5503,-1.6842,-4.245
-1.9353,2.2327,-10.6551,-9.2061
0.9395,0.7245,2.9101,1.8723
1.1711,0.7291,0.9473,2.0658
0.8446,-1.0216,3.804,5.4469
0.4291,-1.3658,4.0112,5.596
-0.1251,0.8573,-2.7209,-2.4602
0.7175,-1.4024,4.7265,5.5911
0.7866,-0.5287,2.7716,4.8533
1.1278,-1.1056,5.5248,5.8862
1.8512,-0.1568,6.7931,5.7385
-0.5179,0.231,-2.3235,-2.4572
-0.4252,-0.1549,-1.2464,0.107
-1.5977,-0.104,-6.7085,-4.5153
0.6329,-1.0315,2.998,3.599
-0.2877,1.3993,-3.112,-4.0638
0.3798,-1.4914,3.8096,4.2383
-0.4304,-0.3197,-0.7036,0.7904
-0.0471,1.5223,-4.7427,-3.8718
-0.843,-1.1401,-0.2352,0.0522
0.8769,-1.6308,4.5261,7.3474
0.2694,0.625,-2.8191,2.4197
-0.1066,-0.4259,1.751,-3.3928
0.0744,0.38,-0.4577,2.9583
1.2165,-2.291,8.1468,7.6955
0.0058,0.5634,-1.9779,-0.4077
0.5575,0.1179,0.5011,4.2912
2.0108,0.9178,4.4765,7.2291
-0.4134,-0.9262,-0.9309,2.7015
-0.2935,-0.2419,-0.9856,-0.1195
0.0597,0.646,0.6019,0.6612
1.6183,-0.0282,4.7728,5.8796
-0.3778,1.6835,-4.3439,-4.5473
1.0502,-1.0933,5.3323,5.8057
-0.6932,0.4318,-3.9181,-2.2889
1.0296,0.115,3.9248,2.9135
-0.9536,-1.1028,0.6988,-1.8547
0.7637,-0.0919,3.8109,0.3999
0.2976,0.6707,-0.6347,-1.3925
1.2592,1.5378,0.8145,-2.8739
0.6752,1.1615,-0.5341,-0.1872
-1.4426,-2.4608,0.6464,1.953
-1.2031,-0.3099,-3.0707,-4.543
-0.0953,0.9803,-3.186,-2.594
0.4603,0.0394,2.8709,-0.0916
0.8565,-1.712,5.854,5.8072
0.5663,1.0462,-0.6118,0.024
-0.3179,-0.4732,-0.9884,0.5437
0.2557,-0.9778,0.8077,4.7533
0.3671,-0.9426,3.454,4.8632
-0.1927,0.8709,-3.1074,-2.2817
0.5318,0.0715,0.7418,3.8488
0.4573,-2.7906,6.5991,7.5106
-0.3149,0.4814,-2.8635,-2.4301
-0.8155,1.2389,-4.3681,-6.5217
-0.2675,0.7258,-2.055,-2.2216
0.8356,1.6164,-0.0585,-3.6949
-1.2615,-0.7022,-1.689,-2.4244
0.809,0.2573,2.7571,1.3967
-0.1111,-1.6241,3.3393,1.8971
-0.3471,0.7486,-2.1287,-1.8564
0.4093,-0.2832,0.4486,2.1971
0.862,0.2777,3.0882,3.2314
-3.0846,0.2718,-9.1634,-9.7281
0.1468,0.4201,-1.4446,-0.6291
0.988,-0.8431,5.9819,4.8829
-0.5384,0.9336,-4.3895,-3.7859
0.452,-1.1398,4.2612,7.2311
0.366,-0.6508,1.8578,3.1362
1.2774,1.0512,0.6703,2.5821
-0.7103,0.5271,-4.6312,-3.9384
-1.0914,1.3315,-4.1292,-5.9224
-0.1509,0.4308,0.1749,-0.3898
1.2083,-0.1155,3.6529,1.4281
0.7698,-0.3602,2.6322,2.4506
1.9209,-0.0652,4.7851,7.8506
-0.9432,1.108,-6.7106,-5.9481
-0.1544,0.7548,-2.6375,-0.0843
0.6341,0.1353,1.8471,1.3861
0.1845,0.1722,0.1413,2.6991
-0.936,-1.4657,0.1357,-2.4524
1.4771,0.4014,2.9031,5.8252
-0.9969,1.0924,-5.2964,-5.0563
-1.3938,0.9777,-5.6196,-5.1177
0.0581,0.0784,-0.1418,0.2853
1.4389,-1.365,7.2953,5.355
0.9397,0.749,1.2295,1.2166
0.3384,0.6992,-0.06,-3.4036
0.0519,1.3849,-3.0636,-2.288
0.5874,-1.1278,4.6567,1.7554
-0.4576,0.2625,-2.0072,-0.0528
-1.6847,1.3193,-7.957,-10.7232
-1.0417,2.7474,-9.6237,-5.8783
0.4343,0.2317,0.6048,0.1972
1.2521,-0.8385,4.8822,6.4307
0.6586,-1.2643,5.318,4.1453
0.3082,-0.0556,1.7591,1.5236
-0.5869,-0.1547,-3.0055,-2.1968
0.0833,1.5398,-2.2522,-3.8632
1.9426,2.8202,-0.6357,-0.2081
0.5505,-1.9721,5.579,8.2221
-1.4975,-0.7299,-3.4895,-2.5662
-0.3194,0.2916,-2.0802,-3.5765
1.1072,-0.7288,5.5421,6.143
-0.4512,0.9955,-4.5669,-2.4904
1.7341,-0.5764,5.9201,7.3135
-0.6715,-0.5281,-1.949,-0.7939
0.2141,-0.4869,1.7945,1.5248
0.4103,-0.0537,0.777,0.84
0.0401,-1.3655,4.0583,4.7353
0.124,-0.1189,0.464,1.3377
-0.6383,-1.2212,-0.2522,-0.7454
0.42,-0.2777,0.8171,3.66
0.4337,1.6354,-1.8813,-5.1391
-1.1717,0.0483,-4.2791,-0.9866
-0.084,1.7104,-4.1331,-3.4686
0.1547,-0.8562,3.7111,2.2119
-0.6256,1.2565,-3.6947,-4.4206
2.5751,0.5018,6.1756,9.3043
0.5485,0.9784,0.6065,1.6596
1.0617,-0.7156,4.4209,4.81
