area_sqft,age_years,city,bedrooms,price
697.0,4,Mumbai,2,3988000.0
481.0,5,Pune,1,1240000.0
1168.0,10,Nagpur,3,2218000.0
1248.0,33,Mumbai,3,6716000.0
992.0,9,Mumbai,2,5822000.0
,0,Mumbai,1,2099000.0
1190.0,32,Pune,3,2045000.0
,4,Pune,2,3041000.0
889.0,38,Pune,2,508000.0
1087.0,1,Mumbai,2,6980000.0
805.0,4,Pune,2,2772000.0
1396.0,5,Mumbai,3,9199000.0
1204.0,26,Pune,3,3142000.0
1004.0,37,Pune,2,1255000.0
1299.0,39,Pune,3,1600000.0
1189.0,8,Pune,3,3525000.0
669.0,36,Mumbai,1,1986000.0
1150.0,39,Mumbai,3,5209000.0
1040.0,8,Pune,2,2953000.0
591.0,15,Nagpur,1,617000.0
972.0,23,Pune,2,1784000.0
1349.0,11,Mumbai,3,8314000.0
983.0,27,Pune,2,2332000.0
1693.0,9,Pune,4,5380000.0
1794.0,0,Mumbai,4,11462000.0
1093.0,30,Pune,2,2279000.0
1394.0,3,Mumbai,3,9220000.0
1897.0,29,Pune,4,5055000.0
1084.0,28,Nagpur,2,791000.0
885.0,13,Pune,2,2049000.0
1052.0,20,Nagpur,2,727000.0
719.0,27,Pune,2,938000.0
728.0,27,Mumbai,2,2737000.0
1273.0,37,Nagpur,3,500000.0
1054.0,4,Mumbai,2,7096000.0
,31,Mumbai,3,6332000.0
1371.0,7,Nagpur,3,2557000.0
932.0,32,Mumbai,2,4580000.0
1132.0,31,Nagpur,3,500000.0
1106.0,32,Pune,2,1821000.0
966.0,15,Mumbai,2,5893000.0
907.0,32,Pune,2,865000.0
1310.0,19,Mumbai,3,8044000.0
1151.0,30,Mumbai,3,5598000.0
1316.0,30,Pune,3,2814000.0
1550.0,35,Mumbai,3,7896000.0
1555.0,3,Mumbai,3,9853000.0
811.0,38,Mumbai,2,3390000.0
900.0,4,Mumbai,2,5766000.0
1110.0,33,Pune,2,2051000.0
1243.0,20,Pune,3,2780000.0
1528.0,32,Pune,3,3326000.0
,26,Mumbai,2,3826000.0
1047.0,19,Nagpur,2,1048000.0
1286.0,13,Mumbai,3,7903000.0
1630.0,29,Pune,4,4105000.0
1683.0,20,Mumbai,4,10134000.0
848.0,17,Mumbai,2,4430000.0
1126.0,30,Nagpur,3,724000.0
917.0,9,Mumbai,2,5433000.0
1497.0,34,Mumbai,3,8294000.0
1356.0,10,Nagpur,3,2198000.0
1075.0,10,Mumbai,2,6884000.0
986.0,15,Mumbai,2,5553000.0
1303.0,29,Nagpur,3,1182000.0
1543.0,37,Nagpur,3,1083000.0
931.0,8,Nagpur,2,1057000.0
1087.0,7,Mumbai,2,6994000.0
1240.0,19,Pune,3,2936000.0
1206.0,29,Nagpur,3,500000.0
1318.0,29,Mumbai,3,7064000.0
850.0,28,Mumbai,2,4293000.0
992.0,12,Mumbai,2,6082000.0
465.0,2,Nagpur,1,614000.0
1220.0,24,Mumbai,3,6181000.0
1575.0,19,Mumbai,3,8566000.0
480.0,10,Mumbai,1,2406000.0
979.0,39,Pune,2,934000.0
1514.0,24,Pune,3,3811000.0
1150.0,35,Mumbai,3,5896000.0
537.0,19,Nagpur,1,500000.0
1609.0,24,Nagpur,4,1627000.0
701.0,16,Mumbai,2,3379000.0
1680.0,26,Pune,4,4044000.0
995.0,5,Nagpur,2,1595000.0
953.0,20,Pune,2,2223000.0
1209.0,15,Mumbai,3,7048000.0
1192.0,18,Mumbai,3,6823000.0
1410.0,31,Mumbai,3,7543000.0
1376.0,17,Mumbai,3,8185000.0
1148.0,6,Pune,3,3840000.0
1663.0,10,Nagpur,4,3222000.0
1450.0,31,Nagpur,3,898000.0
1296.0,39,Nagpur,3,500000.0
1247.0,32,Pune,3,2409000.0
1167.0,34,Pune,3,1996000.0
1173.0,36,Mumbai,3,5870000.0
1433.0,9,Mumbai,3,9192000.0
1366.0,20,Nagpur,3,1487000.0
1214.0,38,Mumbai,3,6266000.0
1555.0,20,Nagpur,3,2213000.0
1108.0,14,Pune,2,3235000.0
1353.0,19,Pune,3,3422000.0
1501.0,30,Nagpur,3,1576000.0
810.0,22,Pune,2,1422000.0
1108.0,19,Pune,2,2466000.0
1784.0,34,Pune,4,4239000.0
865.0,17,Pune,2,1717000.0
,22,Mumbai,4,9032000.0
,29,Pune,2,1291000.0
1342.0,22,Mumbai,3,7831000.0
828.0,19,Mumbai,2,4168000.0
984.0,31,Pune,2,1858000.0
1069.0,29,Pune,2,2335000.0
1008.0,12,Nagpur,2,1725000.0
,38,Pune,3,3254000.0
1492.0,1,Pune,3,5076000.0
1505.0,31,Mumbai,3,8586000.0
1268.0,37,Mumbai,3,6105000.0
1773.0,18,Nagpur,4,2781000.0
1560.0,15,Mumbai,3,9798000.0
1314.0,33,Nagpur,3,1271000.0
,19,Mumbai,2,4491000.0
1440.0,13,Nagpur,3,2327000.0
,18,Mumbai,3,8577000.0
1233.0,31,Mumbai,3,6412000.0
1450.0,28,Mumbai,3,8286000.0
1469.0,13,Nagpur,3,2621000.0
1096.0,8,Pune,2,3857000.0
1398.0,4,Pune,3,4651000.0
1321.0,10,Mumbai,3,8412000.0
1310.0,20,Pune,3,3196000.0
1080.0,9,Mumbai,2,6543000.0
1038.0,7,Mumbai,2,6904000.0
1242.0,28,Nagpur,3,867000.0
1701.0,21,Mumbai,4,9529000.0
2014.0,17,Pune,4,5891000.0
1071.0,2,Mumbai,2,6865000.0
831.0,39,Nagpur,2,500000.0
1080.0,34,Mumbai,2,5216000.0
908.0,35,Mumbai,2,4190000.0
1054.0,32,Pune,2,1636000.0
1339.0,38,Nagpur,3,823000.0
880.0,6,Nagpur,2,915000.0
1413.0,8,Mumbai,3,9144000.0
1477.0,31,Mumbai,3,7973000.0
1731.0,8,Pune,4,6233000.0
1837.0,39,Mumbai,4,9895000.0
1549.0,30,Mumbai,3,8509000.0
1994.0,28,Nagpur,4,2514000.0
1025.0,25,Pune,2,2004000.0
1297.0,33,Nagpur,3,650000.0
1260.0,12,Nagpur,3,2138000.0
1354.0,36,Mumbai,3,6934000.0
1559.0,15,Pune,3,4655000.0
1087.0,17,Nagpur,2,1356000.0
1800.0,0,Mumbai,4,11790000.0
1647.0,27,Mumbai,4,9881000.0
1324.0,39,Mumbai,3,6193000.0
1365.0,22,Mumbai,3,8037000.0
,4,Pune,2,2748000.0
350.0,5,Mumbai,1,2338000.0
1172.0,32,Pune,3,2134000.0
1313.0,6,Pune,3,4563000.0
1282.0,18,Pune,3,3566000.0
819.0,22,Mumbai,2,4473000.0
1045.0,28,Mumbai,2,5851000.0
1816.0,39,Mumbai,4,9815000.0
1458.0,3,Pune,3,4986000.0
,6,Mumbai,3,8417000.0
1095.0,20,Nagpur,2,1127000.0
1461.0,34,Mumbai,3,7952000.0
1652.0,18,Mumbai,4,9858000.0
1468.0,17,Mumbai,3,8783000.0
1062.0,27,Nagpur,2,587000.0
1303.0,9,Pune,3,3499000.0
898.0,5,Mumbai,2,5933000.0
1098.0,23,Nagpur,2,745000.0
1410.0,37,Mumbai,3,6798000.0
1018.0,7,Nagpur,2,2017000.0
1124.0,39,Nagpur,2,500000.0
1704.0,31,Nagpur,4,1900000.0
1146.0,8,Mumbai,3,7201000.0
1471.0,7,Nagpur,3,2508000.0
1100.0,3,Nagpur,2,2405000.0
809.0,1,Mumbai,2,5101000.0
1206.0,21,Pune,3,3058000.0
1080.0,3,Mumbai,2,6744000.0
506.0,17,Mumbai,1,2057000.0
787.0,22,Nagpur,2,586000.0
1059.0,25,Mumbai,2,5347000.0
1718.0,4,Nagpur,4,3842000.0
1005.0,39,Nagpur,2,500000.0
1194.0,4,Nagpur,3,2592000.0
1424.0,28,Mumbai,3,7731000.0
1306.0,1,Mumbai,3,8870000.0
1088.0,28,Pune,2,2349000.0
1796.0,11,Pune,4,5142000.0
1671.0,35,Pune,4,3944000.0
358.0,13,Pune,1,500000.0
1539.0,24,Mumbai,3,8556000.0
1394.0,34,Pune,3,3159000.0
1545.0,13,Mumbai,3,9627000.0
1236.0,13,Pune,3,3690000.0
1492.0,5,Nagpur,3,3253000.0
1874.0,29,Nagpur,4,2508000.0
1800.0,10,Pune,4,5753000.0
1827.0,13,Nagpur,4,2856000.0
1571.0,24,Mumbai,3,9446000.0
1526.0,37,Mumbai,3,7773000.0
1532.0,9,Nagpur,3,2256000.0
817.0,13,Pune,2,2645000.0
1994.0,10,Nagpur,4,4201000.0
1288.0,21,Nagpur,3,1016000.0
1318.0,27,Pune,3,3128000.0
1247.0,7,Pune,3,3576000.0
1370.0,32,Mumbai,3,7398000.0
469.0,0,Mumbai,1,3021000.0
1285.0,11,Mumbai,3,7525000.0
766.0,9,Nagpur,2,1364000.0
863.0,37,Nagpur,2,500000.0
560.0,4,Pune,1,1860000.0
609.0,30,Pune,1,500000.0
1409.0,16,Mumbai,3,8916000.0
1035.0,14,Mumbai,2,6374000.0
1169.0,39,Mumbai,3,5337000.0
1145.0,18,Mumbai,3,5962000.0
801.0,32,Pune,2,1017000.0
958.0,5,Pune,2,2819000.0
766.0,8,Mumbai,2,4978000.0
1096.0,31,Pune,2,2445000.0
432.0,30,Pune,1,500000.0
1066.0,36,Pune,2,1855000.0
1519.0,7,Mumbai,3,9344000.0
1622.0,31,Mumbai,4,9118000.0
1600.0,10,Nagpur,4,3249000.0
1375.0,3,Mumbai,3,8601000.0
853.0,13,Pune,2,2437000.0
1517.0,37,Nagpur,3,1059000.0
1382.0,2,Mumbai,3,9339000.0
1294.0,13,Pune,3,3789000.0
780.0,20,Pune,2,1530000.0
1337.0,23,Pune,3,3657000.0
1692.0,2,Mumbai,4,11162000.0
1459.0,11,Nagpur,3,2558000.0
1121.0,12,Nagpur,2,1272000.0
1391.0,13,Mumbai,3,8597000.0
1202.0,4,Pune,3,4180000.0
1263.0,12,Mumbai,3,7656000.0
1495.0,17,Mumbai,3,8926000.0
1320.0,0,Mumbai,3,8238000.0
1226.0,14,Pune,3,3176000.0
1334.0,22,Mumbai,3,7496000.0
916.0,13,Nagpur,2,1071000.0
854.0,19,Pune,2,2477000.0
,15,Nagpur,3,2210000.0
994.0,26,Nagpur,2,500000.0
1395.0,23,Pune,3,4158000.0
560.0,15,Nagpur,1,500000.0
1617.0,27,Pune,4,3731000.0
1166.0,39,Mumbai,3,5179000.0
1780.0,3,Mumbai,4,11655000.0
350.0,28,Mumbai,1,1390000.0
615.0,35,Nagpur,1,500000.0
1689.0,30,Pune,4,4282000.0
1255.0,22,Pune,3,2677000.0
1307.0,11,Mumbai,3,7920000.0
1244.0,31,Nagpur,3,1494000.0
1257.0,36,Mumbai,3,6585000.0
1388.0,36,Pune,3,2977000.0
850.0,30,Mumbai,2,4305000.0
1143.0,5,Pune,3,3882000.0
1654.0,28,Nagpur,4,1964000.0
1265.0,12,Pune,3,3421000.0
986.0,1,Nagpur,2,1604000.0
1235.0,37,Pune,3,1934000.0
1565.0,21,Mumbai,3,9074000.0
1133.0,5,Mumbai,3,7023000.0
1140.0,1,Mumbai,3,7745000.0
1373.0,15,Mumbai,3,8769000.0
1498.0,6,Mumbai,3,9618000.0
1716.0,2,Mumbai,4,10865000.0
1157.0,27,Mumbai,3,5744000.0
1324.0,7,Nagpur,3,2678000.0
1566.0,15,Pune,3,4827000.0
541.0,26,Nagpur,1,500000.0
1253.0,32,Mumbai,3,6618000.0
1364.0,7,Nagpur,3,2789000.0
1175.0,32,Nagpur,3,581000.0
908.0,38,Nagpur,2,500000.0
1408.0,2,Pune,3,4731000.0
