income_right_skewed,height_symmetric,easy_exam_left_skewed
112092.5,160.21,95.35
60882.7,166.58,98.1
50457.1,165.27,91.43
30102.7,161.17,97.08
58027.8,180.07,93.95
21798.9,160.4,93.57
20466.8,172.06,82.67
27448.4,166.48,90.78
58559.7,155.2,79.25
35157.0,172.26,81.89
28520.0,181.7,88.12
54225.9,166.09,88.09
42219.3,168.29,72.01
89724.9,176.27,89.6
15690.1,173.82,97.88
9333.7,151.29,95.42
39885.1,164.28,90.52
45403.6,178.44,77.01
58087.6,156.25,96.38
105266.7,171.57,87.68
17049.1,157.1,87.63
14947.8,161.3,75.88
14291.0,159.83,71.32
22029.9,168.93,82.49
25479.4,169.95,83.55
83993.6,158.84,66.25
62082.8,170.34,97.36
40480.1,165.16,86.64
8633.0,171.63,92.85
24952.5,150.69,89.6
28016.3,153.14,93.27
31884.6,155.66,95.26
33773.1,161.32,92.08
63281.5,162.06,90.98
71086.5,150.74,93.56
35561.4,167.01,82.37
23036.6,164.11,88.62
38988.8,175.72,77.89
30161.7,165.53,86.27
124257.1,176.91,91.76
92995.1,161.14,94.25
28172.7,156.42,73.49
38038.2,161.17,92.79
58726.1,172.35,90.11
36823.2,156.68,85.19
48110.4,163.84,89.4
37388.0,158.13,89.17
1907.8,179.65,97.49
20921.0,170.31,91.66
77091.6,174.49,80.17
60879.7,150.15,49.72
19084.4,172.78,93.9
37270.6,170.7,93.18
23508.7,154.74,69.22
23373.1,170.8,87.71
24459.6,164.32,89.99
81117.9,157.01,87.96
16684.6,160.47,97.7
33895.2,165.69,94.05
25517.0,167.9,96.38
63983.4,156.5,78.68
65691.9,182.19,71.32
72954.1,161.7,90.34
46184.1,155.14,82.06
38595.4,168.48,95.18
1010.9,174.17,94.19
13246.6,164.59,92.99
39298.9,167.83,84.19
66302.3,170.37,90.04
56514.6,157.98,82.17
42422.7,160.91,73.97
58213.7,159.41,91.85
26799.1,156.71,96.03
24520.4,144.6,85.07
20744.5,151.29,90.57
38594.9,168.25,95.09
20014.8,152.27,95.27
20639.0,173.26,83.29
20063.2,160.73,95.06
43091.7,172.11,70.02
71486.9,166.49,85.6
28607.5,161.45,82.27
30641.8,182.67,89.76
29570.0,173.04,84.92
32371.0,161.87,74.8
65137.1,179.99,89.45
47983.1,167.81,80.99
10803.3,160.09,88.79
18299.0,169.26,87.85
9650.3,163.9,99.71
12858.0,168.23,93.15
10237.5,172.25,90.29
97092.5,156.53,91.66
43676.8,166.52,91.29
41214.0,166.47,84.65
19469.7,164.51,85.1
20320.6,163.99,75.77
10614.8,176.39,88.02
17676.7,169.56,76.86
49824.7,154.18,96.19
68394.2,165.58,93.85
52350.0,163.22,82.55
18064.3,164.3,94.45
14438.3,160.52,73.59
24546.0,159.38,81.68
59080.3,159.61,78.8
32407.5,173.98,98.14
2542.8,178.33,87.3
12860.9,162.2,85.93
12287.3,150.82,87.83
58357.6,163.17,91.68
48161.1,165.74,76.36
10118.8,163.92,94.72
46315.3,166.88,97.88
32348.2,161.37,90.96
41630.6,174.06,81.78
16399.8,152.77,72.72
10116.6,176.33,76.22
57525.8,164.34,97.69
45467.6,163.23,79.07
30078.8,165.79,97.2
51337.6,163.74,81.62
34114.6,162.64,88.53
49613.0,165.12,81.86
20053.4,168.09,90.1
20900.9,154.69,91.55
50823.1,170.02,73.84
19454.8,166.47,99.03
27179.6,154.72,92.62
60968.3,158.22,92.6
37789.9,169.43,74.01
58077.0,177.48,87.16
84318.8,164.31,91.09
22935.1,152.0,86.43
20040.4,162.32,93.67
42372.8,165.46,91.04
43938.7,164.06,95.17
48767.8,164.09,94.22
104844.1,168.69,90.36
45513.3,165.19,84.79
25806.3,153.5,78.95
82148.1,153.25,95.81
54865.9,171.14,87.23
28854.6,163.29,77.53
125322.5,162.73,88.85
90342.9,166.89,94.78
20305.8,169.03,83.61
16646.9,156.19,73.9
80281.2,154.48,84.22
12605.7,180.73,96.75
13624.8,158.44,93.85
27380.4,160.98,84.92
17459.6,161.79,95.37
113520.7,155.3,82.47
16890.2,170.22,80.29
38404.7,158.42,89.3
88874.2,168.51,88.25
93974.6,165.82,85.49
36791.1,174.92,75.67
35176.6,179.1,98.36
15830.5,165.41,87.71
120951.6,176.21,92.3
48089.7,167.18,95.36
89527.6,158.78,96.0
17366.6,167.53,75.48
50923.0,170.27,96.43
15096.4,168.58,90.3
20643.8,167.67,94.21
24857.9,161.08,87.42
32042.5,176.16,93.1
88883.9,175.73,93.57
9706.9,169.97,93.54
27087.7,150.05,83.92
38761.8,162.86,89.19
31362.9,159.48,91.82
10580.5,164.36,99.62
37609.1,176.67,95.74
11791.8,157.2,94.67
29516.8,178.38,94.22
8390.0,170.89,91.73
49467.0,158.45,87.54
21991.1,168.83,97.04
6592.2,169.13,79.11
75054.5,165.4,90.0
43642.8,172.57,91.11
61912.1,171.76,80.25
51173.5,149.44,90.35
14010.1,175.03,94.5
43227.2,179.68,92.27
46226.1,150.89,90.12
7811.7,159.95,84.61
63550.8,158.82,94.41
43051.3,173.18,80.98
82675.6,167.3,87.59
30110.7,175.61,98.54
42315.9,156.96,98.51
6023.5,149.62,95.41
46571.7,174.07,93.56
10485.2,172.92,94.83
41917.1,163.15,84.34
21942.9,155.34,85.77
43779.6,154.01,95.43
34490.4,162.28,91.46
160483.7,159.02,83.85
101160.1,142.95,93.65
26641.8,159.53,81.73
10920.7,154.9,88.46
41484.7,155.9,88.95
98128.6,169.55,94.25
38995.8,170.0,92.82
14553.4,169.97,84.83
59116.1,164.77,98.42
36806.5,157.69,77.6
21112.1,147.32,91.7
7750.8,167.53,64.2
21171.7,156.28,93.32
9413.8,156.77,82.88
66801.1,163.19,86.75
43167.2,163.41,96.02
19987.2,172.95,93.93
26860.2,182.59,84.26
48533.7,155.91,82.2
20579.8,161.38,87.21
55574.9,173.55,91.55
34042.5,167.5,91.49
19146.8,164.95,88.74
28757.1,164.25,82.27
76135.1,172.76,89.14
25235.9,157.39,95.13
76262.9,152.88,89.68
37727.0,164.75,89.89
50125.6,164.73,88.27
84638.1,148.55,94.63
72425.0,169.91,92.88
117247.3,166.09,93.07
26044.1,171.42,88.63
42159.1,173.85,90.58
21670.6,165.6,77.9
138824.3,166.16,95.93
34424.2,163.79,93.36
35370.5,180.3,91.93
26630.0,165.5,87.67
129892.5,155.29,92.08
41344.4,161.62,94.74
34079.9,157.94,97.82
42337.4,170.33,98.63
18658.6,173.21,94.19
13155.9,162.2,96.28
151628.4,159.67,91.0
6422.1,163.94,93.63
31005.7,155.68,87.81
44227.4,161.41,48.14
16978.3,170.62,78.17
28478.1,166.87,95.38
15331.7,160.13,97.23
19648.0,174.52,81.42
24714.5,150.58,88.83
137641.4,163.91,94.16
21082.3,164.1,89.6
56355.4,176.58,97.42
83300.3,156.09,94.66
7076.5,154.05,98.17
28892.8,166.58,85.6
7078.1,169.73,96.63
31162.0,155.73,95.59
10908.0,174.36,92.32
109778.8,153.68,96.78
7226.8,158.76,89.89
15690.8,167.13,88.87
9865.1,153.52,84.96
19899.6,177.41,84.04
33300.3,157.56,71.68
16353.8,161.14,85.57
6380.1,181.15,84.36
28855.6,168.01,79.33
51604.3,155.49,87.24
32929.7,180.27,90.86
17055.6,168.66,87.28
59555.4,158.3,93.62
64486.4,155.37,92.23
15658.0,146.89,75.11
15444.3,158.15,88.41
16027.3,172.36,91.73
36157.0,152.15,92.39
115392.3,175.7,88.61
6273.1,172.54,97.85
22424.2,147.1,95.36
30601.7,167.81,53.57
27757.8,168.77,91.0
20479.0,168.55,98.31
21242.0,153.72,88.5
50735.5,162.53,77.35
22314.1,165.58,82.89
14285.3,161.98,57.22
3375.1,162.88,90.08
72428.2,163.58,90.83
18495.7,172.68,91.84
14108.7,169.23,87.56
52966.2,179.9,96.15
111399.4,155.04,93.2
29915.6,158.09,80.88
26387.3,162.58,97.68
39048.4,162.47,94.75
49228.8,178.36,95.69
50713.4,179.09,94.89
29289.8,165.05,95.23
66547.2,176.79,95.17
23826.9,156.28,92.49
36552.4,175.02,84.97
35950.9,150.84,83.03
102939.0,155.79,88.83
80049.1,158.57,84.0
89213.0,153.3,95.39
18168.9,159.09,96.48
91056.0,151.9,85.52
47772.4,173.45,86.4
15351.0,158.19,76.14
69589.1,175.35,80.68
30361.1,161.76,78.74
47323.9,173.87,85.2
7367.1,162.15,93.66
109473.5,152.63,91.67
143337.9,169.8,87.28
26518.3,160.69,93.71
51522.5,153.91,94.39
40109.5,168.71,98.16
86872.0,167.58,93.18
36569.7,168.39,74.83
9074.2,164.11,99.53
14883.3,158.44,97.53
39787.1,169.43,95.13
8609.5,164.0,94.34
53542.9,166.9,86.9
9752.6,173.99,82.95
95356.2,177.83,87.84
91895.2,156.66,95.59
50674.0,145.44,85.0
74481.8,167.15,88.02
27246.9,165.37,87.97
102456.4,166.88,76.92
71442.0,159.12,96.72
23757.5,166.08,93.78
85559.4,160.62,81.8
75148.8,166.72,82.59
126090.6,151.93,89.28
78412.6,165.48,80.57
5511.2,162.87,92.58
6783.6,185.47,80.86
71622.3,170.57,91.26
60443.0,170.73,93.53
19821.9,172.13,96.67
34312.6,178.57,93.25
30885.3,173.04,96.07
22878.6,171.93,91.36
23036.5,161.02,80.05
13166.3,154.9,83.98
43045.4,185.31,86.32
26665.5,154.69,96.74
58803.7,159.54,92.21
65850.5,176.27,90.84
33067.5,170.89,95.74
70804.1,170.47,90.48
104310.4,160.37,92.76
16569.5,173.43,88.6
8815.3,158.09,91.75
52115.3,164.98,93.44
3605.8,165.38,65.07
58938.9,165.96,85.43
97700.2,154.43,98.01
20719.8,164.32,79.6
9204.3,170.55,83.85
78112.2,172.07,98.9
48382.5,156.77,92.21
41038.8,160.1,90.2
39448.0,144.98,94.2
49766.9,160.23,93.14
29359.1,169.94,89.77
5655.5,156.7,93.07
57106.8,169.74,97.74
45100.2,158.82,81.9
42178.2,181.31,91.0
15121.8,160.88,94.28
86217.9,162.81,78.68
27319.8,176.08,92.13
33474.9,159.88,71.15
66168.2,152.83,81.31
49717.8,174.15,97.98
75338.4,179.15,92.3
34459.8,161.33,86.96
37023.0,158.16,89.75
32324.8,163.14,97.0
176589.5,154.77,96.24
47328.8,158.99,96.35
59543.6,155.78,83.19
29693.1,155.09,99.69
35795.9,159.94,98.08
98056.4,176.63,90.17
20898.9,163.22,97.77
17511.1,162.01,75.02
15005.2,169.94,94.57
43317.2,165.87,84.5
12687.5,178.8,87.36
68644.6,174.95,79.76
76208.7,157.63,83.11
67096.1,165.58,85.42
24015.5,159.33,91.85
114001.6,164.86,85.52
27754.2,159.21,97.67
7426.6,165.54,89.66
85988.9,174.71,94.28
47818.5,163.66,88.36
66923.2,152.46,69.86
41568.6,164.81,85.12
42590.2,162.81,82.54
18692.7,179.83,84.66
63129.2,155.36,94.5
18875.5,172.04,82.77
10507.0,156.03,91.95
41818.8,171.99,98.0
37787.8,166.88,86.71
49373.0,161.55,96.23
8361.9,153.71,77.3
32560.9,179.98,93.02
100600.5,157.72,91.4
8428.8,162.46,79.21
35517.5,164.87,77.92
22405.7,173.57,90.51
249235.7,157.05,82.35
26082.4,162.63,96.06
45980.2,172.81,92.41
54966.3,176.85,99.3
63691.9,171.56,92.35
31553.0,167.22,91.87
8892.2,151.01,96.23
24472.5,154.82,71.33
31696.5,173.32,73.56
134029.7,169.57,98.62
76416.0,163.63,98.81
67494.6,177.77,90.26
46843.6,170.5,82.9
78322.2,160.97,93.3
7169.4,169.52,92.3
35338.5,172.0,95.15
59254.3,160.88,79.68
83556.3,169.86,90.8
36639.9,162.17,98.18
16937.2,165.2,73.74
17906.0,158.96,87.83
15914.6,164.93,92.62
70182.5,171.12,98.37
15362.6,170.39,86.56
32890.6,172.02,85.21
18580.7,171.73,94.02
8759.6,158.57,87.27
38437.8,161.37,92.99
10551.5,165.43,97.24
4055.0,177.25,75.14
26948.4,175.3,94.18
71970.7,178.18,84.99
108017.2,155.63,91.04
88087.9,155.29,94.95
25566.3,158.1,98.79
64176.3,152.15,88.78
30186.8,165.2,87.52
49523.5,175.84,90.21
44148.5,162.24,87.6
3708.8,160.06,97.3
50475.0,172.8,91.95
41833.2,153.3,81.1
40793.6,159.89,88.37
7083.5,162.66,82.99
21081.1,163.14,97.27
15163.3,152.75,77.99
23435.8,163.47,92.83
47830.9,164.91,83.33
62770.3,167.86,58.75
12706.2,170.91,90.52
3197.1,154.09,86.44
47755.3,168.13,92.14
12108.4,163.9,89.7
33496.9,173.18,86.08
12062.3,169.22,91.44
36912.0,163.29,79.48
67231.8,163.79,65.87
50253.1,161.98,95.14
25379.5,171.36,93.02
41584.9,160.23,78.89
39243.2,145.0,88.42
89744.4,168.44,69.26
37217.2,172.34,93.26
126546.7,149.57,85.47
30663.0,155.59,91.39
19606.2,166.65,94.29
46630.1,164.43,89.12
45281.8,158.94,91.8
111468.8,161.25,83.09
41396.0,169.34,96.92
19617.2,174.06,97.75
42566.3,170.84,94.87
57009.0,167.0,92.68
76819.8,162.21,94.42
34737.9,167.22,72.41
11343.1,165.39,82.82
101673.9,162.09,88.69
134425.7,172.44,88.22
75150.9,165.66,94.11
24325.2,165.55,88.41
28612.5,169.84,81.3
11351.9,166.53,82.15
80901.3,166.6,93.88
36897.8,162.69,91.6
75967.2,179.32,77.38
12528.0,158.81,77.99
27394.2,157.31,97.29
99755.6,158.11,75.54
45178.0,173.8,81.88
23671.6,169.57,84.14
86608.0,164.19,92.12
44776.2,177.67,95.32
56573.2,159.44,71.34
15195.9,163.23,77.68
33655.1,160.15,93.87
23307.9,161.63,88.3
32388.6,162.28,91.25
7960.3,161.61,92.53
82924.7,186.75,93.59
27767.2,160.66,89.29
11432.6,167.44,88.05
48905.9,166.76,92.21
36637.9,168.26,85.59
27100.5,156.87,87.53
27937.6,161.55,86.5
84040.1,163.04,79.78
17901.9,170.93,99.22
55917.2,162.62,89.67
86105.0,157.25,83.57
37405.8,162.01,84.58
25316.9,173.46,80.32
76335.8,168.1,97.97
8839.8,173.27,93.62
11905.8,166.21,90.97
5062.2,151.04,95.33
51252.6,172.05,86.0
101283.5,166.02,90.71
19660.4,157.5,88.25
37257.5,158.25,58.66
5444.9,165.56,79.64
50701.7,157.96,80.63
30289.0,170.2,91.77
30916.4,173.4,79.77
47982.3,152.63,81.09
97068.6,166.3,88.64
53636.4,169.95,97.44
80326.8,162.66,87.82
27760.0,168.08,96.07
88882.6,159.18,89.87
37797.3,168.28,83.25
29014.9,152.9,81.41
23939.2,160.74,90.63
23269.4,170.61,89.57
44656.6,182.95,60.86
24587.1,161.22,85.29
49675.2,165.76,95.18
13930.7,172.88,87.01
105941.7,165.28,87.9
10939.1,172.53,97.15
63676.0,171.11,93.98
42645.7,154.58,87.28
28335.1,164.93,89.93
38544.6,175.08,70.83
9805.3,170.59,93.07
42346.8,178.97,84.54
84902.1,169.09,90.41
16292.8,169.28,95.26
4292.4,165.45,83.31
41848.5,162.87,95.13
12744.5,163.35,98.96
26954.3,161.98,96.09
59331.3,163.56,86.6
61683.8,164.8,88.17
47462.6,166.15,95.92
21306.1,175.8,86.89
30375.7,170.75,96.53
49147.8,172.82,80.77
61154.8,145.53,96.0
59091.2,162.16,88.06
58138.4,156.47,89.64
18923.4,152.07,95.76
9002.8,156.63,93.46
42026.3,166.99,82.94
27646.0,150.86,82.38
72079.9,152.08,78.73
19388.6,166.92,98.81
55661.7,170.41,93.69
70055.0,162.61,94.7
70192.2,167.91,89.47
28887.4,167.72,95.63
15497.3,172.13,87.52
34335.5,157.24,86.8
30405.2,153.98,90.16
20574.6,179.8,90.35
18806.2,163.27,92.3
6195.0,172.24,94.95
30403.2,157.54,94.41
12242.1,159.87,86.1
10710.4,156.45,77.89
62324.3,174.29,65.12
25290.8,147.95,92.33
36507.8,152.94,98.01
13511.2,156.69,94.72
54828.5,171.19,91.92
58089.7,153.53,62.5
105218.6,155.01,89.12
21870.2,157.44,91.19
34259.2,165.15,85.59
17093.6,153.29,99.72
87332.3,155.75,85.99
44509.3,153.24,84.52
45794.5,155.89,92.66
8560.5,175.0,95.58
26401.9,164.26,90.65
62325.0,159.96,93.09
23669.0,164.2,82.82
14167.3,150.5,99.19
26255.0,147.59,77.91
19112.7,163.1,87.0
62417.5,160.12,89.13
7716.9,156.3,90.61
49143.2,147.29,79.75
143745.5,160.04,94.08
30625.7,168.7,90.19
7812.2,155.71,98.57
31784.7,172.55,90.95
12692.6,167.44,97.88
72313.9,155.73,93.57
20203.7,169.29,90.38
46477.5,168.18,96.16
65929.1,162.48,98.97
21567.6,165.32,93.31
6853.6,155.0,97.22
11170.9,167.25,79.2
52283.4,180.24,91.83
24496.4,161.34,89.76
87479.1,157.03,98.09
5513.4,153.6,77.95
22280.7,173.9,93.01
23951.0,167.93,90.49
900.3,162.79,88.77
38113.0,165.63,93.17
8513.9,155.14,92.58
11191.5,158.59,87.68
31917.5,161.58,74.43
16311.5,165.25,93.21
18274.6,169.96,93.13
60133.5,168.51,79.28
87544.7,150.68,81.86
33483.3,171.22,94.83
41418.2,168.74,88.63
135072.0,160.28,84.42
60249.4,163.87,82.58
83294.3,168.22,92.2
13190.0,176.53,88.79
33623.7,169.47,95.43
26972.3,171.37,83.04
47337.0,170.33,95.76
95729.7,168.16,81.15
84027.1,159.52,95.94
8108.5,169.34,84.94
4987.0,158.81,91.73
4376.6,168.62,92.55
23933.9,172.44,97.66
26516.5,178.41,91.14
16738.8,167.93,82.98
51751.3,161.41,83.74
29939.4,167.82,90.23
86912.8,170.13,99.32
70848.1,172.22,97.34
7299.2,166.23,98.25
15762.5,165.74,85.45
48459.1,164.23,72.6
54143.1,162.95,92.62
98310.5,154.68,84.5
64934.4,176.11,73.54
39192.4,172.68,93.2
28317.9,154.75,91.86
36773.1,164.57,86.77
110117.9,157.81,66.04
12003.2,170.25,96.43
110810.6,158.46,73.25
80293.9,160.36,99.42
54305.1,161.45,97.48
35836.0,166.53,91.15
33832.8,157.38,94.28
71387.1,166.56,89.49
27421.2,167.37,90.33
13375.9,180.93,75.29
23457.8,161.22,94.67
31935.4,165.59,57.63
20945.6,163.75,83.16
21549.5,154.98,70.67
10217.2,159.99,94.74
58516.2,170.62,78.96
130785.4,171.57,77.01
29565.5,150.09,85.86
56449.3,168.55,81.72
49185.5,172.17,76.93
41817.5,175.58,83.32
14255.9,182.31,84.93
16693.0,178.06,90.18
33139.0,177.97,97.27
20188.2,151.55,88.52
36881.2,159.38,64.39
54099.9,166.03,98.34
61569.0,160.36,84.59
8278.6,169.84,91.52
16084.0,158.28,86.71
76514.0,152.98,95.92
20123.5,159.81,86.14
67875.0,153.73,81.98
27555.6,148.01,85.09
11285.2,166.65,88.73
23378.1,160.53,96.65
46446.4,159.72,96.57
24853.2,156.28,87.91
57138.6,170.14,88.12
42839.6,164.41,74.37
44545.2,161.74,88.81
39223.2,157.91,72.82
23572.3,167.07,84.85
28257.2,166.09,72.53
74024.6,173.24,88.29
15967.4,157.29,81.81
22117.2,171.3,69.62
88689.6,163.17,86.65
9330.8,165.67,97.27
25353.7,161.04,96.5
25050.6,175.42,90.47
45427.1,168.71,93.64
61038.4,157.34,95.19
22106.0,163.23,90.15
27957.7,162.14,92.86
23827.5,145.03,80.74
3159.9,167.25,90.48
53613.0,167.06,57.66
27044.8,161.1,76.53
45519.5,173.32,91.5
65761.7,169.53,86.78
37092.2,162.1,71.25
37398.8,163.42,85.34
55315.0,176.52,91.97
8480.3,155.43,93.08
44695.3,181.13,75.02
6798.1,166.49,48.78
87637.8,175.99,79.95
13681.1,155.53,89.08
15818.0,162.12,91.23
11149.2,160.56,93.88
22780.3,156.63,90.49
29267.8,182.84,83.89
86258.4,169.82,88.74
51062.2,165.86,83.78
31983.3,166.3,96.26
80267.5,179.41,94.94
22754.4,179.13,93.16
67734.6,170.46,86.95
38310.4,170.9,93.43
82418.9,157.45,84.61
60559.6,169.61,92.61
32046.4,172.32,94.55
31484.4,164.14,69.47
42443.5,148.03,94.88
30767.6,156.49,92.22
41522.1,162.26,81.8
17040.2,166.38,89.64
19840.9,156.59,92.73
37182.1,170.64,83.57
7933.2,154.75,91.14
13610.4,182.39,96.91
73937.5,169.33,97.84
39327.1,173.59,97.52
10535.8,162.66,91.1
19445.6,166.03,93.28
17825.7,152.0,94.67
118997.6,157.1,92.7
29341.6,165.0,96.8
77097.4,162.41,87.92
52748.1,162.55,95.99
14549.0,166.8,96.72
72119.3,169.74,89.21
41086.5,155.13,95.23
32797.6,171.45,79.43
13266.0,176.59,83.62
16335.6,154.36,86.57
20386.5,149.7,75.07
6399.2,169.09,98.91
59508.6,157.37,98.43
119456.7,166.6,85.22
40816.6,164.88,90.17
39874.0,163.42,96.17
27034.2,164.56,74.98
14829.9,172.75,87.11
61000.0,162.24,91.54
32633.9,173.04,87.96
25312.2,162.6,94.25
31030.0,159.86,85.76
25621.8,179.67,96.67
28668.2,162.22,90.76
3327.3,165.07,97.47
10925.7,162.7,99.65
28199.6,159.91,79.59
53586.1,159.9,83.38
25583.2,170.69,93.78
8704.0,164.48,90.48
64234.5,178.4,86.2
19132.2,172.11,98.61
54995.5,164.76,93.55
20628.3,156.52,89.78
23719.9,158.86,92.86
47232.7,164.51,92.27
20938.3,164.79,87.93
14513.2,162.73,86.62
87236.5,160.6,92.64
16443.8,175.27,96.49
5984.9,160.15,93.03
6101.0,156.13,94.14
43979.0,170.69,76.04
41646.4,170.23,94.77
75985.6,157.27,90.12
23962.0,167.01,88.82
36870.1,171.34,86.21
61245.0,153.71,92.83
33041.4,159.7,86.27
63627.3,160.15,75.15
13428.5,166.03,89.72
119918.9,162.3,91.67
14632.8,168.45,96.67
10363.7,161.52,90.39
5137.8,151.39,77.7
28799.3,162.35,85.68
9123.7,160.21,82.45
21682.5,177.35,96.06
50548.9,176.22,94.33
24584.0,173.11,83.36
42294.4,154.5,98.32
23394.1,164.83,73.46
139157.5,163.75,66.5
94364.0,168.28,78.22
47087.5,167.31,87.16
41111.6,160.08,95.08
35912.2,169.44,98.7
22266.2,162.72,97.08
19578.2,171.33,95.92
58069.7,166.93,95.53
101844.7,169.25,66.67
21442.7,188.2,84.59
46047.3,165.4,91.48
20924.2,173.83,98.13
24362.5,157.17,93.16
27850.9,176.89,83.69
49333.8,164.27,94.71
32180.6,153.9,87.39
16606.3,177.99,85.27
26649.9,158.4,84.55
54696.2,177.07,81.26
66209.1,163.34,87.03
13303.4,154.71,99.47
55367.3,162.9,90.67
19440.0,180.11,86.3
34004.4,169.93,81.36
68668.1,166.11,89.34
33004.0,168.34,83.0
8419.6,170.1,96.11
99371.6,170.98,82.99
4908.4,174.36,86.67
63644.6,169.67,93.38
3259.5,173.93,84.94
45910.3,156.14,80.54
66172.0,156.49,86.99
19146.5,164.11,96.2
12733.0,159.26,75.27
44044.2,165.67,61.77
38181.8,169.92,85.8
77261.3,164.13,89.53
51243.9,166.17,89.08
45081.6,170.93,98.02
39720.5,165.83,93.75
89486.9,164.36,97.56
14381.5,169.07,98.57
47181.3,155.52,81.91
32568.9,173.32,80.9
24565.7,154.11,85.69
49316.7,165.03,83.87
41007.5,162.4,87.37
36667.2,158.02,86.94
23480.5,164.52,91.91
47989.5,172.08,90.44
96956.8,167.87,85.54
12440.9,167.57,87.66
50788.2,163.59,87.34
28947.6,179.23,88.55
37979.9,164.68,93.05
38213.7,167.11,97.32
62072.2,166.44,95.29
51500.7,177.58,92.19
17671.1,175.48,88.56
85817.1,165.11,88.89
8060.9,175.55,74.44
20109.1,174.72,90.23
20221.0,162.15,75.9
46452.4,170.07,97.96
29797.2,159.05,89.43
59684.2,162.46,93.45
32213.2,148.99,94.33
88352.8,156.13,94.03
12213.6,164.17,98.96
36398.5,173.56,95.54
26882.8,178.19,70.22
14304.3,160.79,89.21
52075.2,175.86,94.8
21696.4,171.23,88.54
13924.1,147.48,88.88
7010.1,171.46,95.04
81822.0,155.42,50.99
58612.7,155.65,81.7
14323.9,169.64,74.19
48377.6,159.29,83.29
32340.0,157.57,87.74
19266.6,190.87,88.53
62853.4,161.07,94.62
15529.4,153.42,92.91
27309.5,167.12,91.75
50889.3,164.92,87.91
48993.9,170.29,81.99
34307.3,180.87,99.05
51366.9,146.3,92.68
10208.5,152.04,85.25
33183.3,177.14,97.11
71474.4,173.81,97.56
11809.7,164.76,93.48
87141.9,162.36,77.84
63504.1,173.29,91.78
38550.9,184.14,92.2
82601.7,176.92,96.16
114512.9,161.5,98.32
86045.1,157.13,89.52
31752.4,171.01,96.4
127893.7,155.18,86.49
11449.0,160.96,61.86
13324.4,153.66,89.51
12660.7,169.2,90.86
54044.1,171.52,74.18
30033.3,174.54,93.93
28903.2,160.06,73.54
43220.5,168.71,80.35
39287.0,177.64,89.05
34394.5,167.84,82.54
