area,income
north,33735.0
north,34102.0
north,25193.0
north,23048.0
north,28226.0
north,36956.0
north,15902.0
north,32633.0
north,24621.0
north,35202.0
north,24610.0
north,28573.0
north,22469.0
north,25114.0
north,36929.0
north,34103.0
north,27992.0
north,25649.0
north,20531.0
north,28032.0
north,29845.0
north,29580.0
north,29531.0
north,24391.0
north,29669.0
north,29807.0
north,36453.0
north,39334.0
north,29315.0
north,26168.0
north,29675.0
north,26962.0
north,26288.0
north,29707.0
north,24783.0
north,33031.0
north,29480.0
north,31250.0
north,29085.0
north,26364.0
north,25260.0
north,28814.0
north,27256.0
north,31170.0
north,29978.0
north,23188.0
north,30336.0
north,23286.0
north,26918.0
north,28528.0
north,19624.0
north,30458.0
north,30755.0
north,29210.0
north,27878.0
north,28132.0
north,25117.0
north,28651.0
north,27237.0
north,30458.0
north,23979.0
north,31178.0
north,30716.0
north,29292.0
north,27804.0
north,32762.0
north,21677.0
north,32302.0
north,31215.0
north,31417.0
north,31917.0
north,26732.0
north,28703.0
north,33185.0
north,32153.0
north,31034.0
north,22428.0
north,32689.0
north,35847.0
north,35048.0
north,31169.0
north,22212.0
north,34713.0
north,29264.0
north,17337.0
north,31886.0
north,22539.0
north,23518.0
north,26825.0
north,36363.0
north,28146.0
north,31355.0
north,38740.0
north,37970.0
north,29483.0
north,28792.0
north,23696.0
north,26528.0
north,32127.0
north,31979.0
north,30551.0
north,34974.0
north,26138.0
north,29720.0
north,33656.0
north,32921.0
north,35355.0
north,31985.0
north,28453.0
north,31811.0
north,24987.0
south,70245.0
south,90226.0
south,84504.0
south,87776.0
south,69721.0
south,81714.0
south,79601.0
south,77222.0
south,64705.0
south,81986.0
south,93076.0
south,88429.0
south,79591.0
south,84866.0
south,91811.0
south,60156.0
south,83879.0
south,89889.0
south,91139.0
south,100307.0
south,95215.0
south,87813.0
south,87718.0
south,92083.0
south,80146.0
south,84638.0
south,93156.0
south,102617.0
south,83567.0
south,84564.0
south,86786.0
south,97089.0
south,84727.0
south,98224.0
south,76300.0
south,83326.0
south,83217.0
south,92079.0
south,94407.0
south,71415.0
south,76764.0
south,88032.0
south,79072.0
south,71298.0
south,94346.0
south,89446.0
south,89439.0
south,80721.0
south,94260.0
south,82840.0
south,94868.0
south,76795.0
south,77313.0
south,86842.0
south,78679.0
south,91079.0
south,87341.0
south,76693.0
south,85656.0
south,81839.0
south,93242.0
south,79307.0
south,81047.0
south,95901.0
south,105147.0
south,102991.0
south,85569.0
south,86970.0
south,98801.0
south,83880.0
south,76213.0
south,86052.0
south,89064.0
south,77538.0
south,70184.0
south,72069.0
south,90989.0
south,78175.0
south,83728.0
south,86913.0
south,90572.0
south,81986.0
south,89488.0
south,76989.0
south,81745.0
south,75780.0
south,95186.0
south,84756.0
south,78346.0
south,81829.0
south,83004.0
south,91305.0
south,70639.0
south,75665.0
south,81597.0
south,107791.0
south,93601.0
south,83997.0
south,91408.0
south,103517.0
south,82896.0
south,81702.0
south,95907.0
south,89448.0
south,91042.0
south,80426.0
south,102318.0
south,100386.0
south,90094.0
south,91159.0
south,66755.0
south,90739.0
south,83253.0
south,88905.0
south,91142.0
south,81928.0
south,69786.0
south,88311.0
south,78328.0
south,82028.0
south,79559.0
south,81926.0
south,64214.0
south,95953.0
south,87280.0
south,95003.0
south,102819.0
south,85203.0
south,68778.0
south,76955.0
south,74138.0
south,80483.0
south,85717.0
south,66980.0
south,88082.0
south,71407.0
south,87676.0
south,84015.0
south,82177.0
south,84343.0
south,80142.0
south,79488.0
south,69855.0
south,84733.0
south,101610.0
south,102824.0
south,96896.0
south,91352.0
south,78912.0
south,97985.0
south,84495.0
south,84380.0
south,82379.0
south,85828.0
south,81083.0
south,84246.0
south,75239.0
south,81637.0
south,105525.0
south,84374.0
south,82852.0
south,89791.0
south,91373.0
south,74976.0
south,83136.0
south,93264.0
south,87429.0
south,86098.0
south,98986.0
south,78900.0
south,85745.0
south,80319.0
south,98413.0
south,67433.0
south,78969.0
south,80238.0
south,90972.0
south,90456.0
south,97557.0
south,70834.0
south,91754.0
south,82360.0
south,79009.0
south,89856.0
south,76719.0
south,66308.0
south,81668.0
south,71520.0
south,79160.0
south,88344.0
south,87808.0
south,99282.0
south,83203.0
south,71200.0
south,78195.0
south,76726.0
south,74040.0
south,88918.0
south,79193.0
south,67204.0
south,91272.0
south,83997.0
south,88212.0
south,85951.0
south,90685.0
south,85342.0
south,96126.0
south,88825.0
south,88529.0
south,88689.0
south,71890.0
south,83518.0
south,82666.0
south,86868.0
south,72772.0
south,99707.0
south,85939.0
south,74098.0
south,69620.0
south,82468.0
south,84193.0
south,78535.0
south,85829.0
south,79229.0
south,89965.0
south,78479.0
south,84653.0
south,93810.0
south,108145.0
south,75931.0
south,80819.0
south,77441.0
south,92059.0
south,74667.0
south,80641.0
south,84734.0
south,76192.0
south,76384.0
south,80719.0
south,66096.0
south,71991.0
south,81283.0
south,86334.0
south,83328.0
south,69034.0
south,80826.0
south,92186.0
south,90003.0
south,84291.0
south,77014.0
south,90681.0
south,79790.0
south,74477.0
south,77780.0
south,98035.0
south,86982.0
south,95433.0
south,80686.0
south,93443.0
south,79586.0
south,83583.0
south,107377.0
south,91904.0
south,80489.0
south,84237.0
south,87936.0
south,95894.0
south,80598.0
south,69328.0
south,82483.0
south,85138.0
south,85986.0
south,96850.0
south,87850.0
south,92316.0
south,75090.0
south,92811.0
south,103866.0
south,91956.0
south,87282.0
south,86386.0
south,101084.0
south,76655.0
south,84000.0
south,89142.0
south,91696.0
south,81064.0
south,87766.0
south,82499.0
south,86084.0
south,83811.0
south,74726.0
south,84810.0
south,92894.0
south,76297.0
south,82830.0
south,90983.0
south,75371.0
south,86644.0
south,75459.0
south,95212.0
south,105815.0
south,103200.0
south,83027.0
south,91662.0
south,86089.0
south,85919.0
south,98930.0
south,73127.0
south,94498.0
south,84559.0
south,97677.0
south,86685.0
south,78946.0
south,87494.0
south,91624.0
south,85322.0
south,89392.0
south,80305.0
south,65795.0
south,93100.0
south,91292.0
south,86334.0
south,85616.0
south,94327.0
south,80886.0
south,78641.0
south,83303.0
south,95702.0
south,72516.0
south,95726.0
south,79247.0
south,75093.0
south,96341.0
south,84128.0
south,73298.0
south,81771.0
south,93379.0
south,95729.0
south,81156.0
south,88657.0
south,91427.0
south,79198.0
south,88195.0
south,84713.0
south,80176.0
south,80571.0
south,85603.0
south,85269.0
south,79911.0
south,81166.0
south,95020.0
south,86924.0
south,92966.0
south,95816.0
south,90300.0
south,105438.0
south,77572.0
south,92276.0
south,82137.0
south,101702.0
south,100304.0
south,67412.0
south,76280.0
south,90979.0
south,92109.0
south,91629.0
south,84362.0
south,89096.0
south,90877.0
south,84299.0
south,94246.0
south,64665.0
south,90704.0
south,75694.0
south,93628.0
south,82942.0
south,77001.0
south,88365.0
south,76798.0
south,76785.0
south,70894.0
south,84760.0
south,89471.0
south,94207.0
south,83724.0
south,94431.0
south,85162.0
south,84160.0
south,90162.0
south,94526.0
south,81927.0
south,82806.0
south,83553.0
south,85745.0
south,76896.0
south,94252.0
south,81396.0
south,89162.0
south,77571.0
