date,shop,region,amount
2024-01-25,Bandra,West,21106
2024-01-25,Colaba,South,29529
2024-01-26,Andheri,West,30164
2024-01-26,Bandra,West,26499
2024-01-26,Colaba,South,35345
2024-01-27,Andheri,West,16407
2024-01-27,Bandra,West,6814
2024-01-27,Colaba,South,10228
2024-01-28,Andheri,West,38463
2024-01-28,Bandra,West,8604
2024-01-28,Colaba,South,30203
2024-01-29,Andheri,West,20729
2024-01-29,Bandra,West,39607
2024-01-29,Colaba,South,38235
2024-01-30,Andheri,West,9157
2024-01-30,Bandra,West,5444
2024-01-30,Colaba,South,18125
2024-01-31,Andheri,West,19599
2024-01-31,Bandra,West,22578
2024-01-31,Colaba,South,11064
2024-02-01,Andheri,West,31152
2024-02-01,Bandra,West,23715
2024-02-01,Colaba,South,15886
2024-02-02,Andheri,West,8986
2024-02-02,Bandra,West,20746
2024-02-02,Colaba,South,36650
2024-02-03,Andheri,West,14665
2024-02-03,Bandra,West,15627
2024-02-03,Colaba,South,20720
2024-02-04,Andheri,West,31125
2024-02-04,Bandra,West,22849
2024-02-04,Colaba,South,26521
2024-02-05,Andheri,West,24775
2024-02-05,Bandra,West,21350
2024-02-05,Colaba,South,29646
2024-02-06,Andheri,West,35630
2024-02-06,Bandra,West,13463
2024-02-06,Colaba,South,29769
2024-02-07,Andheri,West,27067
2024-02-07,Bandra,West,12340
2024-02-07,Colaba,South,8155
2024-02-08,Andheri,West,30202
2024-02-08,Bandra,West,26386
2024-02-08,Colaba,South,22596
2024-02-09,Andheri,West,21066
2024-02-09,Bandra,West,18592
2024-02-09,Colaba,South,9719
2024-02-10,Andheri,West,18257
2024-02-10,Bandra,West,13984
2024-02-10,Colaba,South,37023
2024-02-11,Andheri,West,7270
2024-02-11,Bandra,West,39414
2024-02-11,Colaba,South,18031
2024-02-12,Andheri,West,15550
2024-02-12,Bandra,West,19132
2024-02-12,Colaba,South,21187
2024-02-13,Andheri,West,22107
2024-02-13,Bandra,West,29403
2024-02-13,Colaba,South,7445
2024-02-14,Andheri,West,35044
2024-02-14,Bandra,West,30048
2024-02-14,Colaba,South,12518
2024-02-15,Andheri,West,16162
2024-02-15,Bandra,West,34653
2024-02-15,Colaba,South,14863
2024-02-16,Andheri,West,16506
2024-02-16,Bandra,West,36197
2024-02-16,Colaba,South,18241
2024-02-17,Andheri,West,26038
2024-02-17,Bandra,West,29338
2024-02-17,Colaba,South,28053
2024-02-18,Andheri,West,24406
2024-02-18,Bandra,West,23599
2024-02-18,Colaba,South,27407
2024-02-19,Andheri,West,12566
2024-02-19,Bandra,West,35384
2024-02-19,Colaba,South,10280
2024-02-20,Andheri,West,35201
2024-02-20,Bandra,West,11445
2024-02-20,Colaba,South,23519
2024-02-21,Andheri,West,16923
2024-02-21,Bandra,West,22100
2024-02-21,Colaba,South,10952
2024-02-22,Andheri,West,17964
2024-02-22,Bandra,West,21722
2024-02-22,Colaba,South,32536
2024-02-23,Andheri,West,38857
2024-02-23,Bandra,West,33821
2024-02-23,Colaba,South,30885
2024-02-24,Andheri,West,37260
2024-02-24,Bandra,West,15882
2024-02-24,Colaba,South,38495
2024-02-25,Andheri,West,15725
2024-02-25,Bandra,West,6873
2024-02-25,Colaba,South,32373
2024-02-26,Andheri,West,13488
2024-02-26,Bandra,West,39107
2024-02-26,Colaba,South,32890
2024-02-27,Andheri,West,26506
2024-02-27,Bandra,West,24929
2024-02-27,Colaba,South,13982
2024-02-28,Andheri,West,33133
2024-02-28,Bandra,West,20729
2024-02-28,Colaba,South,36975
2024-02-29,Andheri,West,10519
2024-02-29,Bandra,West,24791
2024-02-29,Colaba,South,20197
2024-03-01,Andheri,West,8204
2024-03-01,Bandra,West,36164
2024-03-01,Colaba,South,6283
2024-03-02,Andheri,West,12093
2024-03-02,Bandra,West,11473
2024-03-02,Colaba,South,20460
2024-03-03,Andheri,West,9856
2024-03-03,Bandra,West,27128
2024-03-03,Colaba,South,7737
2024-03-04,Andheri,West,38188
2024-03-04,Bandra,West,29087
2024-03-04,Colaba,South,27029
2024-03-05,Andheri,West,36778
2024-03-05,Bandra,West,20507
2024-03-05,Colaba,South,33793
2024-03-06,Andheri,West,27866
2024-03-06,Bandra,West,21944
2024-03-06,Colaba,South,15311
2024-03-07,Andheri,West,16894
2024-03-07,Bandra,West,8466
2024-03-07,Colaba,South,10401
2024-03-08,Andheri,West,34133
2024-03-08,Bandra,West,30266
2024-03-08,Colaba,South,21331
2024-03-09,Andheri,West,20620
2024-03-09,Bandra,West,37436
2024-03-09,Colaba,South,29726
2024-03-10,Andheri,West,11573
2024-03-10,Bandra,West,32114
2024-03-10,Colaba,South,5456
2024-03-11,Andheri,West,34439
2024-03-11,Bandra,West,23020
2024-03-11,Colaba,South,31194
2024-03-12,Andheri,West,29962
2024-03-12,Bandra,West,13947
2024-03-12,Colaba,South,39639
2024-03-13,Andheri,West,11418
2024-03-13,Bandra,West,27323
2024-03-13,Colaba,South,12357
2024-03-14,Andheri,West,8221
2024-03-14,Bandra,West,5495
2024-03-14,Colaba,South,24549
2024-03-15,Andheri,West,28256
2024-03-15,Bandra,West,18517
2024-03-15,Colaba,South,27902
2024-03-16,Andheri,West,11470
2024-03-16,Bandra,West,21745
2024-03-16,Colaba,South,33669
2024-03-17,Andheri,West,5198
2024-03-17,Bandra,West,30002
2024-03-17,Colaba,South,28637
2024-03-18,Andheri,West,33297
2024-03-18,Bandra,West,14779
2024-03-18,Colaba,South,26357
2024-03-19,Andheri,West,15476
2024-03-19,Bandra,West,29417
2024-03-19,Colaba,South,25672
2024-03-20,Andheri,West,29032
2024-03-20,Bandra,West,32448
2024-03-20,Colaba,South,13884
2024-03-21,Andheri,West,33305
2024-03-21,Bandra,West,24594
2024-03-21,Colaba,South,30226
2024-03-22,Andheri,West,35538
2024-03-22,Bandra,West,11856
2024-03-22,Colaba,South,17943
2024-03-23,Andheri,West,21846
2024-03-23,Bandra,West,10831
2024-03-23,Colaba,South,24848
2024-03-24,Andheri,West,5768
2024-03-24,Bandra,West,20560
2024-03-24,Colaba,South,7765
2024-03-25,Andheri,West,19581
2024-03-25,Bandra,West,20242
2024-03-25,Colaba,South,27608
2024-03-26,Andheri,West,5690
2024-03-26,Bandra,West,14102
2024-03-26,Colaba,South,28749
2024-03-27,Andheri,West,38922
2024-03-27,Bandra,West,30343
2024-03-27,Colaba,South,22627
2024-03-28,Andheri,West,37716
2024-03-28,Bandra,West,37087
2024-03-28,Colaba,South,31001
2024-03-29,Andheri,West,26377
2024-03-29,Bandra,West,19935
2024-03-29,Colaba,South,35282
2024-03-30,Andheri,West,32178
2024-03-30,Bandra,West,24428
2024-03-30,Colaba,South,31554
2024-03-31,Andheri,West,37204
2024-03-31,Bandra,West,7295
2024-03-31,Colaba,South,17990
2024-04-01,Andheri,West,5934
2024-04-01,Bandra,West,31660
2024-04-01,Colaba,South,11787
2024-04-02,Andheri,West,27463
2024-04-02,Bandra,West,38206
2024-04-02,Colaba,South,19431
2024-04-03,Andheri,West,18330
2024-04-03,Bandra,West,20724
2024-04-03,Colaba,South,33626
2024-04-04,Andheri,West,11324
2024-04-04,Bandra,West,17760
2024-04-04,Colaba,South,21705
2024-04-05,Andheri,West,27743
2024-04-05,Bandra,West,29940
2024-04-05,Colaba,South,18064
2024-04-06,Andheri,West,22682
2024-04-06,Bandra,West,33736
2024-04-06,Colaba,South,28411
2024-04-07,Andheri,West,23042
2024-04-07,Bandra,West,12602
2024-04-07,Colaba,South,38065
2024-04-08,Andheri,West,17867
2024-04-08,Bandra,West,33429
2024-04-08,Colaba,South,14058
2024-04-09,Andheri,West,39307
2024-04-09,Bandra,West,25309
2024-04-09,Colaba,South,16602
2024-04-10,Andheri,West,22912
2024-04-10,Bandra,West,14694
2024-04-10,Colaba,South,37814
2024-04-11,Andheri,West,27643
2024-04-11,Bandra,West,23900
2024-04-11,Colaba,South,29662
2024-04-12,Andheri,West,34067
2024-04-12,Bandra,West,19910
2024-04-12,Colaba,South,30207
2024-04-13,Andheri,West,10304
2024-04-13,Bandra,West,27269
2024-04-13,Colaba,South,13717
2024-04-14,Andheri,West,28436
2024-04-14,Bandra,West,39956
2024-04-14,Colaba,South,11095
2024-04-15,Andheri,West,15722
2024-04-15,Bandra,West,6295
2024-04-15,Colaba,South,16629
2024-04-16,Andheri,West,23381
2024-04-16,Bandra,West,22993
2024-04-16,Colaba,South,33383
2024-04-17,Andheri,West,9073
2024-04-17,Bandra,West,28760
2024-04-17,Colaba,South,10273
2024-04-18,Andheri,West,35857
2024-04-18,Bandra,West,32760
2024-04-18,Colaba,South,18651
2024-04-19,Andheri,West,22216
2024-04-19,Bandra,West,15198
2024-04-19,Colaba,South,12654
2024-04-20,Andheri,West,34354
2024-04-20,Bandra,West,36719
2024-04-20,Colaba,South,11833
2024-04-21,Andheri,West,14355
2024-04-21,Bandra,West,15161
2024-04-21,Colaba,South,29002
2024-04-22,Andheri,West,6449
2024-04-22,Bandra,West,29349
2024-04-22,Colaba,South,10561
2024-04-23,Andheri,West,8318
2024-04-23,Bandra,West,10748
2024-04-23,Colaba,South,7709
2024-04-24,Andheri,West,6978
2024-04-24,Bandra,West,32049
2024-04-24,Colaba,South,36976
2024-04-25,Andheri,West,9756
2024-04-25,Bandra,West,33075
2024-04-25,Colaba,South,11846
2024-04-26,Andheri,West,33479
2024-04-26,Bandra,West,35523
2024-04-26,Colaba,South,30001
2024-04-27,Andheri,West,24279
2024-04-27,Bandra,West,36482
2024-04-27,Colaba,South,36304
2024-04-28,Andheri,West,10344
2024-04-28,Bandra,West,36039
2024-04-28,Colaba,South,10745
2024-04-29,Andheri,West,30546
2024-04-29,Bandra,West,35047
2024-04-29,Colaba,South,8022
2024-04-30,Andheri,West,23337
2024-04-30,Bandra,West,23193
2024-04-30,Colaba,South,37330
2024-05-01,Andheri,West,13945
2024-05-01,Bandra,West,21834
2024-05-01,Colaba,South,10925
2024-05-02,Andheri,West,32729
2024-05-02,Bandra,West,20167
2024-05-02,Colaba,South,36385
2024-05-03,Andheri,West,33129
2024-05-03,Bandra,West,34488
2024-05-03,Colaba,South,38062
2024-05-04,Andheri,West,5320
2024-05-04,Bandra,West,22856
2024-05-04,Colaba,South,14200
2024-05-05,Andheri,West,22778
2024-05-05,Bandra,West,5646
2024-05-05,Colaba,South,35764
2024-05-06,Andheri,West,30236
2024-05-06,Bandra,West,25341
2024-05-06,Colaba,South,38401
2024-05-07,Andheri,West,34114
2024-05-07,Bandra,West,22373
2024-05-07,Colaba,South,22403
2024-05-08,Andheri,West,5983
2024-05-08,Bandra,West,38971
2024-05-08,Colaba,South,10292
2024-05-09,Andheri,West,29716
2024-05-09,Bandra,West,22018
2024-05-09,Colaba,South,20902
2024-05-10,Andheri,West,11163
2024-05-10,Bandra,West,10668
2024-05-10,Colaba,South,39878
2024-05-11,Andheri,West,37000
2024-05-11,Bandra,West,19774
2024-05-11,Colaba,South,7084
2024-05-12,Andheri,West,28238
2024-05-12,Bandra,West,7005
2024-05-12,Colaba,South,32462
2024-05-13,Andheri,West,5601
2024-05-13,Bandra,West,29749
2024-05-13,Colaba,South,34344
2024-05-14,Andheri,West,38780
2024-05-14,Bandra,West,30190
2024-05-14,Colaba,South,23444
2024-05-15,Andheri,West,7068
2024-05-15,Bandra,West,18957
2024-05-15,Colaba,South,7037
2024-05-16,Andheri,West,26498
2024-05-16,Bandra,West,10828
2024-05-16,Colaba,South,23046
2024-05-17,Andheri,West,29230
2024-05-17,Bandra,West,7491
2024-05-17,Colaba,South,17365
2024-05-18,Andheri,West,32208
2024-05-18,Bandra,West,33362
2024-05-18,Colaba,South,13340
2024-05-19,Andheri,West,38634
2024-05-19,Bandra,West,38384
2024-05-19,Colaba,South,27809
2024-05-20,Andheri,West,21347
2024-05-20,Bandra,West,21553
2024-05-20,Colaba,South,24194
2024-05-21,Andheri,West,35482
2024-05-21,Bandra,West,18595
2024-05-21,Colaba,South,14569
2024-05-22,Andheri,West,26237
2024-05-22,Bandra,West,30208
2024-05-22,Colaba,South,30867
2024-05-23,Andheri,West,6349
2024-05-23,Bandra,West,12594
2024-05-23,Colaba,South,14225
2024-05-24,Andheri,West,5658
2024-05-24,Bandra,West,27532
2024-05-24,Colaba,South,32879
2024-05-25,Andheri,West,31180
2024-05-25,Bandra,West,19684
2024-05-25,Colaba,South,20304
2024-05-26,Andheri,West,37086
2024-05-26,Bandra,West,21326
2024-05-26,Colaba,South,29732
2024-05-27,Andheri,West,31172
2024-05-27,Bandra,West,26386
2024-05-27,Colaba,South,30749
2024-05-28,Andheri,West,36870
2024-05-28,Bandra,West,30777
2024-05-28,Colaba,South,26550
2024-05-29,Andheri,West,36575
2024-05-29,Bandra,West,13597
2024-05-29,Colaba,South,7803
2024-05-30,Andheri,West,34337
2024-05-30,Bandra,West,15242
2024-05-30,Colaba,South,33335
2024-05-31,Andheri,West,30944
2024-05-31,Bandra,West,25804
2024-05-31,Colaba,South,36298
2024-06-01,Andheri,West,15161
2024-06-01,Bandra,West,34646
2024-06-01,Colaba,South,14285
2024-06-02,Andheri,West,20705
2024-06-02,Bandra,West,34879
2024-06-02,Colaba,South,32952
2024-06-03,Andheri,West,29791
2024-06-03,Bandra,West,25576
2024-06-03,Colaba,South,24586
2024-06-04,Andheri,West,8719
2024-06-04,Bandra,West,12065
2024-06-04,Colaba,South,34544
2024-06-05,Andheri,West,14700
2024-06-05,Bandra,West,19382
2024-06-05,Colaba,South,39649
2024-06-06,Andheri,West,5490
2024-06-06,Bandra,West,12629
2024-06-06,Colaba,South,12236
2024-06-07,Andheri,West,24974
2024-06-07,Bandra,West,12838
2024-06-07,Colaba,South,6489
2024-06-08,Andheri,West,7145
2024-06-08,Bandra,West,36305
2024-06-08,Colaba,South,38640
2024-06-09,Andheri,West,13757
2024-06-09,Bandra,West,19992
2024-06-09,Colaba,South,8940
2024-06-10,Andheri,West,24538
2024-06-10,Bandra,West,15430
2024-06-10,Colaba,South,25848
2024-06-11,Andheri,West,25251
2024-06-11,Bandra,West,38024
2024-06-11,Colaba,South,6472
2024-06-12,Andheri,West,24102
2024-06-12,Bandra,West,35974
2024-06-12,Colaba,South,16969
2024-06-13,Andheri,West,12367
2024-06-13,Bandra,West,20290
2024-06-13,Colaba,South,32055
2024-06-14,Andheri,West,15806
2024-06-14,Bandra,West,26626
2024-06-14,Colaba,South,31460
2024-06-15,Andheri,West,26275
2024-06-15,Bandra,West,35476
2024-06-15,Colaba,South,29101
2024-06-16,Andheri,West,11255
2024-06-16,Bandra,West,28359
2024-06-16,Colaba,South,6042
2024-06-17,Andheri,West,35029
2024-06-17,Bandra,West,35343
2024-06-17,Colaba,South,14652
2024-06-18,Andheri,West,27681
2024-06-18,Bandra,West,17596
2024-06-18,Colaba,South,37667
2024-06-19,Andheri,West,24911
2024-06-19,Bandra,West,16735
2024-06-19,Colaba,South,10365
2024-06-20,Andheri,West,11958
2024-06-20,Bandra,West,7605
2024-06-20,Colaba,South,36473
2024-06-21,Andheri,West,32613
2024-06-21,Bandra,West,7186
2024-06-21,Colaba,South,21737
2024-06-22,Andheri,West,32419
2024-06-22,Bandra,West,33017
2024-06-22,Colaba,South,32847
2024-06-23,Andheri,West,14070
2024-06-23,Bandra,West,34446
2024-06-23,Colaba,South,30162
2024-06-24,Andheri,West,21136
2024-06-24,Bandra,West,35629
2024-06-24,Colaba,South,12882
2024-06-25,Andheri,West,23180
2024-06-25,Bandra,West,6049
2024-06-25,Colaba,South,23008
2024-06-26,Andheri,West,21440
2024-06-26,Bandra,West,6288
2024-06-26,Colaba,South,39915
2024-06-27,Andheri,West,37816
2024-06-27,Bandra,West,17052
2024-06-27,Colaba,South,34435
2024-06-28,Andheri,West,23710
2024-06-28,Bandra,West,30925
2024-06-28,Colaba,South,10097
2024-06-29,Andheri,West,8465
2024-06-29,Bandra,West,29055
2024-06-29,Colaba,South,10609
2024-06-30,Andheri,West,34281
2024-06-30,Bandra,West,37223
2024-06-30,Colaba,South,15728
